Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.7722199999999999;0.7061852197046419;2.227;-0.005;289.03680298360575;-0.4500450045004323

Result table values
power_instruction;488_power;488_error
1.0;20.0;2.0
5.0;102.0;10.2
10.0;206.0;20.6
20.0;416.0;41.6
30.0;622.0;62.2
40.0;832.0;83.2
50.0;1043.0;104.3
60.0;1253.0;125.3
70.0;1453.0;145.3
80.0;1689.0;168.9
90.0;1928.0;192.8
100.0;2216.0;221.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-5.0E-4;-0.005
1.0;-4.0E-4;-0.004
2.0;-4.0E-4;-0.004
3.0;4.0E-4;0.004
4.0;4.0E-4;0.004
5.0;4.0E-4;0.004
6.0;4.0E-4;0.004
7.0;-0.0;-0.0
8.0;0.0;0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;2.0E-4;0.002
14.0;0.002;0.02
15.0;0.002;0.02
16.0;0.002;0.02
17.0;0.002;0.02
18.0;0.002;0.02
19.0;0.002;0.02
20.0;0.002;0.02
21.0;0.002;0.02
22.0;0.0085;0.085
23.0;0.0103;0.103
24.0;0.0104;0.104
25.0;0.0102;0.102
26.0;0.0103;0.103
27.0;0.0103;0.103
28.0;0.0103;0.103
29.0;0.0103;0.103
30.0;0.016;0.16
31.0;0.0205;0.205
32.0;0.0206;0.206
33.0;0.0206;0.206
34.0;0.0206;0.206
35.0;0.0206;0.206
36.0;0.0206;0.206
37.0;0.031900000000000005;0.319
38.0;0.0411;0.411
39.0;0.0416;0.416
40.0;0.0416;0.416
41.0;0.0415;0.415
42.0;0.0416;0.416
43.0;0.0416;0.416
44.0;0.0416;0.416
45.0;0.05280000000000001;0.528
46.0;0.0621;0.621
47.0;0.062200000000000005;0.622
48.0;0.062200000000000005;0.622
49.0;0.062200000000000005;0.622
50.0;0.0623;0.623
51.0;0.0616;0.616
52.0;0.062200000000000005;0.622
53.0;0.06899999999999999;0.69
54.0;0.08310000000000001;0.831
55.0;0.0832;0.832
56.0;0.0833;0.833
57.0;0.0832;0.832
58.0;0.0829;0.829
59.0;0.0832;0.832
60.0;0.09210000000000002;0.921
61.0;0.10400000000000001;1.04
62.0;0.10400000000000001;1.04
63.0;0.1043;1.043
64.0;0.1031;1.031
65.0;0.1041;1.041
66.0;0.1041;1.041
67.0;0.1041;1.041
68.0;0.12210000000000001;1.221
69.0;0.1252;1.252
70.0;0.1253;1.253
71.0;0.124;1.24
72.0;0.1251;1.251
73.0;0.12490000000000001;1.249
74.0;0.1251;1.251
75.0;0.1402;1.402
76.0;0.1472;1.472
77.0;0.1453;1.453
78.0;0.14670000000000002;1.467
79.0;0.1468;1.468
80.0;0.14670000000000002;1.467
81.0;0.1471;1.471
82.0;0.1549;1.549
83.0;0.16920000000000002;1.692
84.0;0.1675;1.675
85.0;0.16890000000000002;1.689
86.0;0.1688;1.688
87.0;0.1693;1.693
88.0;0.16910000000000003;1.691
89.0;0.16920000000000002;1.692
90.0;0.1834;1.834
91.0;0.1925;1.925
92.0;0.1928;1.928
93.0;0.193;1.93
94.0;0.1932;1.932
95.0;0.2167;2.167
96.0;0.22080000000000002;2.208
97.0;0.22160000000000002;2.216
98.0;0.22250000000000003;2.225
99.0;0.2227;2.227
