Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.8881707317073171;0.6866965550706485;2.144;0.0;241.39502952080187;0.0

Result table values
power_instruction;561_power;561_error
1.0;19.0;1.9
5.0;99.0;9.9
10.0;196.0;19.6
20.0;388.0;38.8
30.0;580.0;58.0
40.0;901.0;90.1
50.0;987.0;98.7
60.0;1221.0;122.1
70.0;1400.0;140.0
80.0;1605.0;160.5
90.0;1937.0;193.7
100.0;2090.0;209.0
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;0.0;0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;0.0016;0.016
5.0;0.0021000000000000003;0.021
6.0;0.002;0.02
7.0;0.0019;0.019
8.0;0.002;0.02
9.0;0.0019;0.019
10.0;0.0019;0.019
11.0;0.0082;0.082
12.0;0.0099;0.099
13.0;0.009800000000000001;0.098
14.0;0.0099;0.099
15.0;0.0097;0.097
16.0;0.013800000000000002;0.138
17.0;0.019600000000000003;0.196
18.0;0.019600000000000003;0.196
19.0;0.0207;0.207
20.0;0.0213;0.213
21.0;0.0221;0.221
22.0;0.032400000000000005;0.324
23.0;0.03950000000000001;0.395
24.0;0.0388;0.388
25.0;0.0393;0.393
26.0;0.0388;0.388
27.0;0.0393;0.393
28.0;0.039200000000000006;0.392
29.0;0.052500000000000005;0.525
30.0;0.058499999999999996;0.585
31.0;0.058499999999999996;0.585
32.0;0.057999999999999996;0.58
33.0;0.0584;0.584
34.0;0.0589;0.589
35.0;0.0591;0.591
36.0;0.0781;0.781
37.0;0.08360000000000001;0.836
38.0;0.09010000000000001;0.901
39.0;0.0813;0.813
40.0;0.0786;0.786
41.0;0.07690000000000001;0.769
42.0;0.08090000000000001;0.809
43.0;0.0969;0.969
44.0;0.0978;0.978
45.0;0.09870000000000001;0.987
46.0;0.0964;0.964
47.0;0.0981;0.981
48.0;0.09860000000000001;0.986
49.0;0.0965;0.965
50.0;0.10520000000000002;1.052
51.0;0.1188;1.188
52.0;0.12210000000000001;1.221
53.0;0.12560000000000002;1.256
54.0;0.12860000000000002;1.286
55.0;0.1353;1.353
56.0;0.12250000000000001;1.225
57.0;0.137;1.37
58.0;0.13899999999999998;1.39
59.0;0.13999999999999999;1.4
60.0;0.137;1.37
61.0;0.1391;1.391
62.0;0.1402;1.402
63.0;0.1464;1.464
64.0;0.1613;1.613
65.0;0.1605;1.605
66.0;0.1575;1.575
67.0;0.1617;1.617
68.0;0.1607;1.607
69.0;0.16720000000000002;1.672
70.0;0.1956;1.956
71.0;0.21190000000000003;2.119
72.0;0.1937;1.937
73.0;0.1854;1.854
74.0;0.18020000000000003;1.802
75.0;0.1839;1.839
76.0;0.1844;1.844
77.0;0.1899;1.899
78.0;0.21440000000000003;2.144
79.0;0.2134;2.134
80.0;0.209;2.09
81.0;0.2138;2.138
