Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_8_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_8_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.236303370786517;1.8062435201997014;5.376;0.0;240.39672211866494;0.0

Result table values
power_instruction;405_power;405_error
1.0;65.0;6.5
5.0;301.0;30.1
10.0;594.0;59.4
20.0;1176.0;117.6
30.0;1751.0;175.1
40.0;2311.0;231.1
50.0;2884.0;288.4
60.0;3454.0;345.4
70.0;4013.0;401.3
80.0;4548.0;454.8
90.0;5045.0;504.5
100.0;5376.0;537.6
time;measured_optical_power_error;measured_optical_power_average
0.0;4.0E-4;0.004
1.0;4.0E-4;0.004
2.0;4.0E-4;0.004
3.0;4.0E-4;0.004
4.0;3.0000000000000003E-4;0.003
5.0;0.0;0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.005600000000000001;0.056
11.0;0.006500000000000001;0.065
12.0;0.006500000000000001;0.065
13.0;0.006500000000000001;0.065
14.0;0.006500000000000001;0.065
15.0;0.2239;2.239
16.0;0.5348;5.348
17.0;0.4818;4.818
18.0;0.0302;0.302
19.0;0.03;0.3
20.0;0.030100000000000002;0.301
21.0;0.0302;0.302
22.0;0.0302;0.302
23.0;0.0299;0.299
24.0;0.034;0.34
25.0;0.0592;0.592
26.0;0.0589;0.589
27.0;0.0594;0.594
28.0;0.0594;0.594
29.0;0.059;0.59
30.0;0.059;0.59
31.0;0.0644;0.644
32.0;0.11710000000000001;1.171
33.0;0.11710000000000001;1.171
34.0;0.1176;1.176
35.0;0.1172;1.172
36.0;0.11610000000000001;1.161
37.0;0.1168;1.168
38.0;0.1172;1.172
39.0;0.1716;1.716
40.0;0.17520000000000002;1.752
41.0;0.1751;1.751
42.0;0.17370000000000002;1.737
43.0;0.17420000000000002;1.742
44.0;0.1744;1.744
45.0;0.17390000000000003;1.739
46.0;0.20650000000000002;2.065
47.0;0.2328;2.328
48.0;0.23199999999999998;2.32
49.0;0.2311;2.311
50.0;0.23170000000000002;2.317
51.0;0.2318;2.318
52.0;0.231;2.31
53.0;0.23270000000000002;2.327
54.0;0.2867;2.867
55.0;0.28740000000000004;2.874
56.0;0.2884;2.884
57.0;0.2888;2.888
58.0;0.28950000000000004;2.895
59.0;0.2891;2.891
60.0;0.2898;2.898
61.0;0.3437;3.437
62.0;0.342;3.42
63.0;0.34540000000000004;3.454
64.0;0.34590000000000004;3.459
65.0;0.3446;3.446
66.0;0.34620000000000006;3.462
67.0;0.34600000000000003;3.46
68.0;0.39740000000000003;3.974
69.0;0.39990000000000003;3.999
70.0;0.4013;4.013
71.0;0.40149999999999997;4.015
72.0;0.3993;3.993
73.0;0.4;4.0
74.0;0.41130000000000005;4.113
75.0;0.4507;4.507
76.0;0.45480000000000004;4.548
77.0;0.4554;4.554
78.0;0.4521;4.521
79.0;0.4531;4.531
80.0;0.46630000000000005;4.663
81.0;0.5008;5.008
82.0;0.5045000000000001;5.045
83.0;0.5054000000000001;5.054
84.0;0.505;5.05
85.0;0.5251;5.251
86.0;0.5373;5.373
87.0;0.5376000000000001;5.376
88.0;0.5361;5.361
