Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.145721518987342;1.6401664264776297;5.09;-0.0;237.21624427769123;0.0

Result table values
power_instruction;633_power;633_error
1.0;54.0;5.4
5.0;276.0;27.6
10.0;543.0;54.3
20.0;1087.0;108.7
30.0;1614.0;161.4
40.0;2152.0;215.2
50.0;2660.0;266.0
60.0;3180.0;318.0
70.0;3661.0;366.1
80.0;4168.0;416.8
90.0;4649.0;464.9
100.0;5090.0;509.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;0.004900000000000001;0.049
5.0;0.0054;0.054
6.0;0.0055000000000000005;0.055
7.0;0.0055000000000000005;0.055
8.0;0.0055000000000000005;0.055
9.0;0.0055000000000000005;0.055
10.0;0.016200000000000003;0.162
11.0;0.027500000000000004;0.275
12.0;0.027500000000000004;0.275
13.0;0.027600000000000003;0.276
14.0;0.027500000000000004;0.275
15.0;0.027600000000000003;0.276
16.0;0.027700000000000002;0.277
17.0;0.053500000000000006;0.535
18.0;0.05410000000000001;0.541
19.0;0.05430000000000001;0.543
20.0;0.054400000000000004;0.544
21.0;0.054200000000000005;0.542
22.0;0.05460000000000001;0.546
23.0;0.0858;0.858
24.0;0.1081;1.081
25.0;0.1085;1.085
26.0;0.1087;1.087
27.0;0.1089;1.089
28.0;0.10880000000000001;1.088
29.0;0.10880000000000001;1.088
30.0;0.1466;1.466
31.0;0.16010000000000002;1.601
32.0;0.16140000000000002;1.614
33.0;0.16200000000000003;1.62
34.0;0.1613;1.613
35.0;0.16180000000000003;1.618
36.0;0.1706;1.706
37.0;0.213;2.13
38.0;0.2149;2.149
39.0;0.21520000000000003;2.152
40.0;0.21450000000000002;2.145
41.0;0.215;2.15
42.0;0.21480000000000002;2.148
43.0;0.22340000000000002;2.234
44.0;0.2649;2.649
45.0;0.2676;2.676
46.0;0.26789999999999997;2.679
47.0;0.266;2.66
48.0;0.2669;2.669
49.0;0.2661;2.661
50.0;0.26530000000000004;2.653
51.0;0.2916;2.916
52.0;0.31880000000000003;3.188
53.0;0.31800000000000006;3.18
54.0;0.3167;3.167
55.0;0.3175;3.175
56.0;0.3178;3.178
57.0;0.3166;3.166
58.0;0.3489;3.489
59.0;0.3703;3.703
60.0;0.36610000000000004;3.661
61.0;0.36860000000000004;3.686
62.0;0.3698;3.698
63.0;0.36860000000000004;3.686
64.0;0.38410000000000005;3.841
65.0;0.4201;4.201
66.0;0.41840000000000005;4.184
67.0;0.41680000000000006;4.168
68.0;0.41950000000000004;4.195
69.0;0.4199;4.199
70.0;0.4181;4.181
71.0;0.46540000000000004;4.654
72.0;0.46820000000000006;4.682
73.0;0.46490000000000004;4.649
74.0;0.4686;4.686
75.0;0.49660000000000004;4.966
76.0;0.5079;5.079
77.0;0.509;5.09
78.0;0.5085000000000001;5.085
