Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
SP8 Icahn_measured_optical_power_vs_acquisition_duration.jpg;SP8 Icahn_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.8185638297872339;0.6990814238765166;2.06;-0.004;252.14893755279752;-0.3891050583657574

Result table values
power_instruction;488_power;488_error
1.0;23.0;2.3
5.0;113.0;11.3
10.0;223.0;22.3
20.0;451.0;45.1
30.0;672.0;67.2
40.0;887.0;88.7
50.0;1113.0;111.3
60.0;1333.0;133.3
70.0;1532.0;153.2
80.0;1731.0;173.1
90.0;1933.0;193.3
100.0;2041.0;204.1
time;measured_optical_power_error;measured_optical_power_average
0.0;6.000000000000001E-4;0.006
1.0;4.0E-4;0.004
2.0;4.0E-4;0.004
3.0;4.0E-4;0.004
4.0;-2.0E-4;-0.002
5.0;-4.0E-4;-0.004
6.0;-3.0000000000000003E-4;-0.003
7.0;-4.0E-4;-0.004
8.0;-4.0E-4;-0.004
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;1.0E-4;0.001
13.0;0.0018;0.018
14.0;0.0023;0.023
15.0;0.0023;0.023
16.0;0.0023;0.023
17.0;0.0023;0.023
18.0;0.0023;0.023
19.0;0.006;0.06
20.0;0.011300000000000001;0.113
21.0;0.011300000000000001;0.113
22.0;0.011200000000000002;0.112
23.0;0.011300000000000001;0.113
24.0;0.011300000000000001;0.113
25.0;0.011200000000000002;0.112
26.0;0.012;0.12
27.0;0.0223;0.223
28.0;0.0222;0.222
29.0;0.0223;0.223
30.0;0.022400000000000003;0.224
31.0;0.0223;0.223
32.0;0.0223;0.223
33.0;0.0352;0.352
34.0;0.045000000000000005;0.45
35.0;0.044800000000000006;0.448
36.0;0.0451;0.451
37.0;0.045200000000000004;0.452
38.0;0.0451;0.451
39.0;0.045000000000000005;0.45
40.0;0.05210000000000001;0.521
41.0;0.0674;0.674
42.0;0.06680000000000001;0.668
43.0;0.06730000000000001;0.673
44.0;0.06720000000000001;0.672
45.0;0.06680000000000001;0.668
46.0;0.0674;0.674
47.0;0.0674;0.674
48.0;0.067;0.67
49.0;0.0883;0.883
50.0;0.08960000000000001;0.896
51.0;0.0897;0.897
52.0;0.0887;0.887
53.0;0.08950000000000001;0.895
54.0;0.0897;0.897
55.0;0.0889;0.889
56.0;0.10700000000000001;1.07
57.0;0.1115;1.115
58.0;0.11060000000000002;1.106
59.0;0.11130000000000001;1.113
60.0;0.11160000000000002;1.116
61.0;0.11170000000000001;1.117
62.0;0.11130000000000001;1.113
63.0;0.1318;1.318
64.0;0.1331;1.331
65.0;0.1325;1.325
66.0;0.1333;1.333
67.0;0.13340000000000002;1.334
68.0;0.1332;1.332
69.0;0.1332;1.332
70.0;0.147;1.47
71.0;0.15460000000000002;1.546
72.0;0.1532;1.532
73.0;0.1544;1.544
74.0;0.1547;1.547
75.0;0.15380000000000002;1.538
76.0;0.15460000000000002;1.546
77.0;0.17250000000000001;1.725
78.0;0.1743;1.743
79.0;0.17310000000000003;1.731
80.0;0.17450000000000002;1.745
81.0;0.17450000000000002;1.745
82.0;0.1734;1.734
83.0;0.1748;1.748
84.0;0.17420000000000002;1.742
85.0;0.1807;1.807
86.0;0.1932;1.932
87.0;0.19330000000000003;1.933
88.0;0.19340000000000002;1.934
89.0;0.1922;1.922
90.0;0.20450000000000002;2.045
91.0;0.20590000000000003;2.059
92.0;0.2041;2.041
93.0;0.20600000000000002;2.06
