Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.34679999999999994;0.3787269578784341;1.145;-0.001;330.4498269896194;-0.17482517482516613

Result table values
power_instruction;405_power;405_error
1.0;13.0;1.3
5.0;62.0;6.2
10.0;123.0;12.3
20.0;244.0;24.4
30.0;361.0;36.1
40.0;477.0;47.7
50.0;593.0;59.3
60.0;710.0;71.0
70.0;830.0;83.0
80.0;944.0;94.4
90.0;1050.0;105.0
100.0;1144.0;114.4
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;1.0E-4;0.001
2.0;-0.0;-0.0
3.0;0.0;0.0
4.0;-0.0;-0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;1.0E-4;0.001
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;1.0E-4;0.001
21.0;0.0;0.0
22.0;1.0E-4;0.001
23.0;0.0;0.0
24.0;1.0E-4;0.001
25.0;1.0E-4;0.001
26.0;-1.0E-4;-0.001
27.0;-0.0;-0.0
28.0;-0.0;-0.0
29.0;-0.0;-0.0
30.0;-0.0;-0.0
31.0;-0.0;-0.0
32.0;-1.0E-4;-0.001
33.0;-0.0;-0.0
34.0;7.000000000000001E-4;0.007
35.0;0.0013;0.013
36.0;0.0013;0.013
37.0;0.0012000000000000001;0.012
38.0;0.0013;0.013
39.0;0.0013;0.013
40.0;0.005600000000000001;0.056
41.0;0.0061;0.061
42.0;0.006200000000000001;0.062
43.0;0.006200000000000001;0.062
44.0;0.006200000000000001;0.062
45.0;0.006200000000000001;0.062
46.0;0.011000000000000001;0.11
47.0;0.0122;0.122
48.0;0.0122;0.122
49.0;0.0121;0.121
50.0;0.0123;0.123
51.0;0.0123;0.123
52.0;0.0121;0.121
53.0;0.0122;0.122
54.0;0.0193;0.193
55.0;0.024300000000000002;0.243
56.0;0.024300000000000002;0.243
57.0;0.0244;0.244
58.0;0.024300000000000002;0.243
59.0;0.0242;0.242
60.0;0.024300000000000002;0.243
61.0;0.0355;0.355
62.0;0.0359;0.359
63.0;0.0361;0.361
64.0;0.0361;0.361
65.0;0.0361;0.361
66.0;0.036;0.36
67.0;0.039400000000000004;0.394
68.0;0.0477;0.477
69.0;0.0472;0.472
70.0;0.0476;0.476
71.0;0.0477;0.477
72.0;0.0472;0.472
73.0;0.0476;0.476
74.0;0.0477;0.477
75.0;0.0472;0.472
76.0;0.05410000000000001;0.541
77.0;0.0593;0.593
78.0;0.0593;0.593
79.0;0.0588;0.588
80.0;0.0593;0.593
81.0;0.0592;0.592
82.0;0.059;0.59
83.0;0.0704;0.704
84.0;0.071;0.71
85.0;0.071;0.71
86.0;0.071;0.71
87.0;0.0711;0.711
88.0;0.0727;0.727
89.0;0.0824;0.824
90.0;0.0829;0.829
91.0;0.083;0.83
92.0;0.083;0.83
93.0;0.0827;0.827
94.0;0.0838;0.838
95.0;0.0944;0.944
96.0;0.0937;0.937
97.0;0.0944;0.944
98.0;0.0942;0.942
99.0;0.09350000000000001;0.935
100.0;0.0942;0.942
101.0;0.10189999999999999;1.019
102.0;0.1044;1.044
103.0;0.10500000000000001;1.05
104.0;0.1051;1.051
105.0;0.10500000000000001;1.05
106.0;0.11230000000000001;1.123
107.0;0.1145;1.145
108.0;0.1144;1.144
109.0;0.1134;1.134
