Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633)POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633)POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.3931342281879187;1.585762384412879;4.374;-0.0;313.9683105546377;0.0

Result table values
power_instruction;633_power;633_error
1.0;45.0;4.5
5.0;229.0;22.9
10.0;457.0;45.7
20.0;914.0;91.4
30.0;1356.0;135.6
40.0;1811.0;181.1
50.0;2282.0;228.2
60.0;2732.0;273.2
70.0;3174.0;317.4
80.0;3594.0;359.4
90.0;4006.0;400.6
100.0;4366.0;436.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;0.0;0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;0.0;0.0
9.0;1.0E-4;0.001
10.0;1.0E-4;0.001
11.0;1.0E-4;0.001
12.0;1.0E-4;0.001
13.0;1.0E-4;0.001
14.0;1.0E-4;0.001
15.0;1.0E-4;0.001
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;0.0;0.0
27.0;-0.0;-0.0
28.0;-0.0;-0.0
29.0;-0.0;-0.0
30.0;-0.0;-0.0
31.0;-0.0;-0.0
32.0;3.0000000000000003E-4;0.003
33.0;8.0E-4;0.008
34.0;8.0E-4;0.008
35.0;8.0E-4;0.008
36.0;0.0033000000000000004;0.033
37.0;0.0078000000000000005;0.078
38.0;0.0078000000000000005;0.078
39.0;0.0078000000000000005;0.078
40.0;0.0078000000000000005;0.078
41.0;0.0036;0.036
42.0;-0.0;-0.0
43.0;-0.0;-0.0
44.0;-0.0;-0.0
45.0;-0.0;-0.0
46.0;-0.0;-0.0
47.0;-0.0;-0.0
48.0;0.0;0.0
49.0;0.0;0.0
50.0;-0.0;-0.0
51.0;-0.0;-0.0
52.0;-0.0;-0.0
53.0;-0.0;-0.0
54.0;0.2922;2.922
55.0;0.41020000000000006;4.102
56.0;0.40599999999999997;4.06
57.0;0.40890000000000004;4.089
58.0;0.4093;4.093
59.0;0.1996;1.996
60.0;1.0E-4;0.001
61.0;1.0E-4;0.001
62.0;0.1523;1.523
63.0;0.4313;4.313
64.0;0.43520000000000003;4.352
65.0;0.43520000000000003;4.352
66.0;0.4148;4.148
67.0;0.0051;0.051
68.0;0.0045;0.045
69.0;0.0045;0.045
70.0;0.0045;0.045
71.0;0.0045;0.045
72.0;0.0045;0.045
73.0;0.0045;0.045
74.0;0.0213;0.213
75.0;0.023100000000000002;0.231
76.0;0.022900000000000004;0.229
77.0;0.023000000000000003;0.23
78.0;0.023000000000000003;0.23
79.0;0.023000000000000003;0.23
80.0;0.034100000000000005;0.341
81.0;0.045700000000000005;0.457
82.0;0.045700000000000005;0.457
83.0;0.04530000000000001;0.453
84.0;0.045700000000000005;0.457
85.0;0.0456;0.456
86.0;0.052700000000000004;0.527
87.0;0.0918;0.918
88.0;0.0918;0.918
89.0;0.09140000000000001;0.914
90.0;0.09160000000000001;0.916
91.0;0.09190000000000001;0.919
92.0;0.09190000000000001;0.919
93.0;0.0913;0.913
94.0;0.13520000000000001;1.352
95.0;0.137;1.37
96.0;0.13560000000000003;1.356
97.0;0.1369;1.369
98.0;0.137;1.37
99.0;0.1368;1.368
100.0;0.1363;1.363
101.0;0.1777;1.777
102.0;0.1829;1.829
103.0;0.1811;1.811
104.0;0.1827;1.827
105.0;0.1829;1.829
106.0;0.18120000000000003;1.812
107.0;0.1826;1.826
108.0;0.18300000000000002;1.83
109.0;0.18230000000000002;1.823
110.0;0.227;2.27
111.0;0.22820000000000001;2.282
112.0;0.22820000000000001;2.282
113.0;0.2267;2.267
114.0;0.22820000000000001;2.282
115.0;0.22820000000000001;2.282
116.0;0.2271;2.271
117.0;0.2691;2.691
118.0;0.27290000000000003;2.729
119.0;0.27320000000000005;2.732
120.0;0.2717;2.717
121.0;0.27290000000000003;2.729
122.0;0.27320000000000005;2.732
123.0;0.30720000000000003;3.072
124.0;0.31720000000000004;3.172
125.0;0.3174;3.174
126.0;0.3155;3.155
127.0;0.31720000000000004;3.172
128.0;0.31760000000000005;3.176
129.0;0.3385;3.385
130.0;0.3569;3.569
131.0;0.3593;3.593
132.0;0.3594;3.594
133.0;0.35710000000000003;3.571
134.0;0.3593;3.593
135.0;0.359;3.59
136.0;0.3638;3.638
137.0;0.40030000000000004;4.003
138.0;0.4004;4.004
139.0;0.40060000000000007;4.006
140.0;0.399;3.99
141.0;0.40030000000000004;4.003
142.0;0.4154;4.154
143.0;0.43390000000000006;4.339
144.0;0.43670000000000003;4.367
145.0;0.4374;4.374
146.0;0.4366;4.366
147.0;0.43520000000000003;4.352
148.0;0.43710000000000004;4.371
