Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
0.2274;0.1786;0.5340;-0.0010;235.2215;-0.3752

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;405_power;405_error
1.0;6.0;1.0
5.0;29.0;3.0
10.0;57.0;6.0
20.0;114.0;11.0
30.0;168.0;17.0
40.0;224.0;22.0
50.0;280.0;28.0
60.0;333.0;33.0
70.0;384.0;38.0
80.0;436.0;44.0
90.0;491.0;49.0
100.0;533.0;53.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.0040;0.0000
1.0000;0.0020;0.0000
2.0000;0.0020;0.0000
3.0000;0.0030;0.0000
4.0000;0.0000;0.0000
5.0000;-0.0000;-0.0000
6.0000;-0.0010;-0.0000
7.0000;0.0020;0.0000
8.0000;0.0060;0.0010
9.0000;0.0060;0.0010
10.0000;0.0060;0.0010
11.0000;0.0050;0.0010
12.0000;0.0050;0.0010
13.0000;0.0050;0.0010
14.0000;0.0120;0.0010
15.0000;0.0290;0.0030
16.0000;0.0290;0.0030
17.0000;0.0290;0.0030
18.0000;0.0290;0.0030
19.0000;0.0280;0.0030
20.0000;0.0280;0.0030
21.0000;0.0400;0.0040
22.0000;0.0570;0.0060
23.0000;0.0560;0.0060
24.0000;0.0570;0.0060
25.0000;0.0570;0.0060
26.0000;0.0570;0.0060
27.0000;0.0570;0.0060
28.0000;0.0570;0.0060
29.0000;0.0580;0.0060
30.0000;0.0670;0.0070
31.0000;0.1130;0.0110
32.0000;0.1140;0.0110
33.0000;0.1130;0.0110
34.0000;0.1140;0.0110
35.0000;0.1140;0.0110
36.0000;0.1130;0.0110
37.0000;0.1130;0.0110
38.0000;0.1140;0.0110
39.0000;0.1620;0.0160
40.0000;0.1670;0.0170
41.0000;0.1680;0.0170
42.0000;0.1700;0.0170
43.0000;0.1690;0.0170
44.0000;0.1670;0.0170
45.0000;0.1690;0.0170
46.0000;0.2030;0.0200
47.0000;0.2230;0.0220
48.0000;0.2240;0.0220
49.0000;0.2240;0.0220
50.0000;0.2230;0.0220
51.0000;0.2240;0.0220
52.0000;0.2240;0.0220
53.0000;0.2400;0.0240
54.0000;0.2760;0.0280
55.0000;0.2790;0.0280
56.0000;0.2800;0.0280
57.0000;0.2770;0.0280
58.0000;0.2770;0.0280
59.0000;0.2790;0.0280
60.0000;0.2800;0.0280
61.0000;0.3290;0.0330
62.0000;0.3320;0.0330
63.0000;0.3330;0.0330
64.0000;0.3310;0.0330
65.0000;0.3330;0.0330
66.0000;0.3340;0.0330
67.0000;0.3340;0.0330
68.0000;0.3510;0.0350
69.0000;0.3880;0.0390
70.0000;0.3890;0.0390
71.0000;0.3840;0.0380
72.0000;0.3860;0.0390
73.0000;0.3870;0.0390
74.0000;0.3890;0.0390
75.0000;0.4100;0.0410
76.0000;0.4390;0.0440
77.0000;0.4400;0.0440
78.0000;0.4360;0.0440
79.0000;0.4390;0.0440
80.0000;0.4400;0.0440
81.0000;0.4370;0.0440
82.0000;0.4360;0.0440
83.0000;0.4480;0.0450
84.0000;0.4930;0.0490
85.0000;0.4850;0.0490
86.0000;0.4880;0.0490
87.0000;0.4910;0.0490
88.0000;0.4880;0.0490
89.0000;0.4890;0.0490
90.0000;0.5100;0.0510
91.0000;0.5320;0.0530
92.0000;0.5260;0.0530
93.0000;0.5330;0.0530
94.0000;0.5340;0.0530
95.0000;0.5270;0.0530
