Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
2.0272;1.6711;5.0000;0.0000;246.6489;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;561_power;561_error
1.0;58.0;6.0
5.0;276.0;28.0
10.0;538.0;54.0
20.0;1061.0;106.0
30.0;1572.0;157.0
40.0;2097.0;210.0
50.0;2615.0;261.0
60.0;3129.0;313.0
70.0;3633.0;363.0
80.0;4150.0;415.0
90.0;4606.0;461.0
100.0;4941.0;494.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;1.6130;0.1610
1.0000;0.0010;0.0000
2.0000;0.0010;0.0000
3.0000;0.0010;0.0000
4.0000;0.0010;0.0000
5.0000;0.0000;0.0000
6.0000;0.0000;0.0000
7.0000;0.0000;0.0000
8.0000;0.0010;0.0000
9.0000;0.0010;0.0000
10.0000;0.0000;0.0000
11.0000;0.0120;0.0010
12.0000;0.0570;0.0060
13.0000;0.0580;0.0060
14.0000;0.0570;0.0060
15.0000;0.0570;0.0060
16.0000;0.0580;0.0060
17.0000;0.1240;0.0120
18.0000;0.2720;0.0270
19.0000;0.2760;0.0280
20.0000;0.2770;0.0280
21.0000;0.2740;0.0270
22.0000;0.2740;0.0270
23.0000;0.2760;0.0280
24.0000;0.2770;0.0280
25.0000;0.5240;0.0520
26.0000;0.5370;0.0540
27.0000;0.5390;0.0540
28.0000;0.5350;0.0530
29.0000;0.5380;0.0540
30.0000;0.5400;0.0540
31.0000;0.5400;0.0540
32.0000;0.5300;0.0530
33.0000;0.8520;0.0850
34.0000;1.0720;0.1070
35.0000;1.0570;0.1060
36.0000;1.0610;0.1060
37.0000;1.0650;0.1070
38.0000;1.0690;0.1070
39.0000;1.0570;0.1060
40.0000;1.0670;0.1070
41.0000;1.0680;0.1070
42.0000;1.5290;0.1530
43.0000;1.5790;0.1580
44.0000;1.5880;0.1590
45.0000;1.5720;0.1570
46.0000;1.5690;0.1570
47.0000;1.5780;0.1580
48.0000;1.6090;0.1610
49.0000;2.0780;0.2080
50.0000;2.0930;0.2090
51.0000;2.0970;0.2100
52.0000;2.0790;0.2080
53.0000;2.0850;0.2090
54.0000;2.1030;0.2100
55.0000;2.1070;0.2110
56.0000;2.4440;0.2440
57.0000;2.5960;0.2600
58.0000;2.6150;0.2610
59.0000;2.5970;0.2600
60.0000;2.5960;0.2600
61.0000;2.6030;0.2600
62.0000;2.6090;0.2610
63.0000;3.0390;0.3040
64.0000;3.1230;0.3120
65.0000;3.1290;0.3130
66.0000;3.0840;0.3080
67.0000;3.1050;0.3100
68.0000;3.1260;0.3130
69.0000;3.1340;0.3130
70.0000;3.5590;0.3560
71.0000;3.6220;0.3620
72.0000;3.6330;0.3630
73.0000;3.5990;0.3600
74.0000;3.6330;0.3630
75.0000;3.6440;0.3640
76.0000;3.6080;0.3610
77.0000;4.0090;0.4010
78.0000;4.1320;0.4130
79.0000;4.1500;0.4150
80.0000;4.0810;0.4080
81.0000;4.1090;0.4110
82.0000;4.1270;0.4130
83.0000;4.1120;0.4110
84.0000;4.1100;0.4110
85.0000;4.3890;0.4390
86.0000;4.6180;0.4620
87.0000;4.5390;0.4540
88.0000;4.6060;0.4610
89.0000;4.6250;0.4630
90.0000;4.5790;0.4580
91.0000;4.7560;0.4760
92.0000;4.9750;0.4980
93.0000;5.0000;0.5000
94.0000;4.9410;0.4940
95.0000;4.9870;0.4990
