Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.0165280898876403;0.757122299605747;2.286;-0.0;224.88311171535634;0.0

Result table values
power_instruction;633_power;633_error
1.0;23.0;2.3
5.0;116.0;11.6
10.0;232.0;23.2
20.0;498.0;49.8
30.0;699.0;69.9
40.0;928.0;92.8
50.0;1153.0;115.3
60.0;1379.0;137.9
70.0;1606.0;160.6
80.0;1814.0;181.4
90.0;2030.0;203.0
100.0;2213.0;221.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;0.0;0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;7.000000000000001E-4;0.007
6.0;0.0022;0.022
7.0;0.0023;0.023
8.0;0.0023;0.023
9.0;0.0024000000000000002;0.024
10.0;0.0024000000000000002;0.024
11.0;0.008100000000000001;0.081
12.0;0.0123;0.123
13.0;0.011600000000000001;0.116
14.0;0.011700000000000002;0.117
15.0;0.011600000000000001;0.116
16.0;0.0114;0.114
17.0;0.013000000000000001;0.13
18.0;0.0227;0.227
19.0;0.0233;0.233
20.0;0.023200000000000002;0.232
21.0;0.022900000000000004;0.229
22.0;0.023400000000000004;0.234
23.0;0.0228;0.228
24.0;0.024300000000000002;0.243
25.0;0.04680000000000001;0.468
26.0;0.051300000000000005;0.513
27.0;0.049800000000000004;0.498
28.0;0.0524;0.524
29.0;0.0484;0.484
30.0;0.0461;0.461
31.0;0.0469;0.469
32.0;0.06830000000000001;0.683
33.0;0.06820000000000001;0.682
34.0;0.0699;0.699
35.0;0.06860000000000001;0.686
36.0;0.0694;0.694
37.0;0.06999999999999999;0.7
38.0;0.06820000000000001;0.682
39.0;0.09140000000000001;0.914
40.0;0.0917;0.917
41.0;0.09280000000000001;0.928
42.0;0.09620000000000001;0.962
43.0;0.1008;1.008
44.0;0.0989;0.989
45.0;0.10980000000000001;1.098
46.0;0.1179;1.179
47.0;0.11410000000000001;1.141
48.0;0.11530000000000001;1.153
49.0;0.1135;1.135
50.0;0.11610000000000001;1.161
51.0;0.11610000000000001;1.161
52.0;0.1135;1.135
53.0;0.12270000000000002;1.227
54.0;0.13620000000000002;1.362
55.0;0.13870000000000002;1.387
56.0;0.1379;1.379
57.0;0.13560000000000003;1.356
58.0;0.13970000000000002;1.397
59.0;0.1451;1.451
60.0;0.1502;1.502
61.0;0.1705;1.705
62.0;0.1794;1.794
63.0;0.16060000000000002;1.606
64.0;0.1585;1.585
65.0;0.16110000000000002;1.611
66.0;0.16000000000000003;1.6
67.0;0.1574;1.574
68.0;0.1784;1.784
69.0;0.17920000000000003;1.792
70.0;0.1814;1.814
71.0;0.17900000000000002;1.79
72.0;0.1811;1.811
73.0;0.1824;1.824
74.0;0.17830000000000001;1.783
75.0;0.18300000000000002;1.83
76.0;0.19240000000000002;1.924
77.0;0.22860000000000003;2.286
78.0;0.22000000000000003;2.2
79.0;0.21840000000000004;2.184
80.0;0.20299999999999999;2.03
81.0;0.19810000000000003;1.981
82.0;0.209;2.09
83.0;0.22010000000000002;2.201
84.0;0.21760000000000002;2.176
85.0;0.2215;2.215
86.0;0.2162;2.162
87.0;0.22130000000000002;2.213
88.0;0.2175;2.175
