Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter405_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter405_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.26211926605504593;0.24384933795691002;0.726;0.0;276.97315459731885;0.0

Result table values
power_instruction;405_power;405_error
1.0;9.0;0.9
5.0;40.0;4.0
10.0;79.0;7.9
20.0;156.0;15.6
30.0;232.0;23.2
40.0;304.0;30.4
50.0;379.0;37.9
60.0;452.0;45.2
70.0;529.0;52.9
80.0;600.0;60.0
90.0;663.0;66.3
100.0;718.0;71.8
time;measured_optical_power_error;measured_optical_power_average
0.0;6.000000000000001E-4;0.006
1.0;5.0E-4;0.005
2.0;5.0E-4;0.005
3.0;5.0E-4;0.005
4.0;5.0E-4;0.005
5.0;5.0E-4;0.005
6.0;6.000000000000001E-4;0.006
7.0;5.0E-4;0.005
8.0;5.0E-4;0.005
9.0;5.0E-4;0.005
10.0;0.0;0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;4.0E-4;0.004
14.0;8.0E-4;0.008
15.0;9.0E-4;0.009
16.0;9.0E-4;0.009
17.0;8.0E-4;0.008
18.0;6.000000000000001E-4;0.006
19.0;0.0;0.0
20.0;-0.0;-0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;9.0E-4;0.009
24.0;8.0E-4;0.008
25.0;9.0E-4;0.009
26.0;8.0E-4;0.008
27.0;9.0E-4;0.009
28.0;9.0E-4;0.009
29.0;0.0015;0.015
30.0;0.004;0.04
31.0;0.004;0.04
32.0;0.004;0.04
33.0;0.004;0.04
34.0;0.004;0.04
35.0;0.004;0.04
36.0;0.0047;0.047
37.0;0.0079;0.079
38.0;0.0079;0.079
39.0;0.0079;0.079
40.0;0.0079;0.079
41.0;0.0079;0.079
42.0;0.0078000000000000005;0.078
43.0;0.0079;0.079
44.0;0.0094;0.094
45.0;0.0154;0.154
46.0;0.0155;0.155
47.0;0.015600000000000001;0.156
48.0;0.0154;0.154
49.0;0.0155;0.155
50.0;0.0155;0.155
51.0;0.0155;0.155
52.0;0.0222;0.222
53.0;0.023100000000000002;0.231
54.0;0.023200000000000002;0.232
55.0;0.022900000000000004;0.229
56.0;0.023000000000000003;0.23
57.0;0.023100000000000002;0.231
58.0;0.0228;0.228
59.0;0.023000000000000003;0.23
60.0;0.030600000000000002;0.306
61.0;0.0304;0.304
62.0;0.0304;0.304
63.0;0.0304;0.304
64.0;0.0305;0.305
65.0;0.0303;0.303
66.0;0.0305;0.305
67.0;0.031200000000000002;0.312
68.0;0.037700000000000004;0.377
69.0;0.0378;0.378
70.0;0.0379;0.379
71.0;0.0376;0.376
72.0;0.0379;0.379
73.0;0.0381;0.381
74.0;0.037700000000000004;0.377
75.0;0.0442;0.442
76.0;0.045200000000000004;0.452
77.0;0.045200000000000004;0.452
78.0;0.045200000000000004;0.452
79.0;0.045500000000000006;0.455
80.0;0.045500000000000006;0.455
81.0;0.0451;0.451
82.0;0.045200000000000004;0.452
83.0;0.0494;0.494
84.0;0.05210000000000001;0.521
85.0;0.05260000000000001;0.526
86.0;0.0529;0.529
87.0;0.052500000000000005;0.525
88.0;0.052300000000000006;0.523
89.0;0.05260000000000001;0.526
90.0;0.052500000000000005;0.525
91.0;0.0594;0.594
92.0;0.06;0.6
93.0;0.06;0.6
94.0;0.0593;0.593
95.0;0.0596;0.596
96.0;0.0598;0.598
97.0;0.0592;0.592
98.0;0.0598;0.598
99.0;0.0661;0.661
100.0;0.06630000000000001;0.663
101.0;0.06630000000000001;0.663
102.0;0.0665;0.665
103.0;0.06620000000000001;0.662
104.0;0.0713;0.713
105.0;0.0725;0.725
106.0;0.0726;0.726
107.0;0.0718;0.718
108.0;0.0721;0.721
