Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_SLPM-161_488_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_SLPM-161_488_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.8532038834951458;0.666999923459279;1.987;0.0;232.88689121529356;0.0

Result table values
power_instruction;488_power;488_error
1.0;22.0;2.2
5.0;112.0;11.2
10.0;222.0;22.2
20.0;446.0;44.6
30.0;668.0;66.8
40.0;881.0;88.1
50.0;1104.0;110.4
60.0;1299.0;129.9
70.0;1496.0;149.6
80.0;1681.0;168.1
90.0;1870.0;187.0
100.0;1982.0;198.2
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;3.0000000000000003E-4;0.003
5.0;3.0000000000000003E-4;0.003
6.0;-0.0;-0.0
7.0;0.0;0.0
8.0;-0.0;-0.0
9.0;0.0;0.0
10.0;4.0E-4;0.004
11.0;0.0023;0.023
12.0;0.0022;0.022
13.0;0.0023;0.023
14.0;0.0023;0.023
15.0;0.0023;0.023
16.0;0.0046;0.046
17.0;0.011300000000000001;0.113
18.0;0.011300000000000001;0.113
19.0;0.011200000000000002;0.112
20.0;0.011200000000000002;0.112
21.0;0.011200000000000002;0.112
22.0;0.011200000000000002;0.112
23.0;0.011200000000000002;0.112
24.0;0.0114;0.114
25.0;0.0221;0.221
26.0;0.0222;0.222
27.0;0.0223;0.223
28.0;0.0222;0.222
29.0;0.0221;0.221
30.0;0.0222;0.222
31.0;0.0223;0.223
32.0;0.033900000000000007;0.339
33.0;0.044800000000000006;0.448
34.0;0.0449;0.449
35.0;0.0442;0.442
36.0;0.0446;0.446
37.0;0.044800000000000006;0.448
38.0;0.044700000000000004;0.447
39.0;0.044700000000000004;0.447
40.0;0.061900000000000004;0.619
41.0;0.0665;0.665
42.0;0.0664;0.664
43.0;0.06680000000000001;0.668
44.0;0.06680000000000001;0.668
45.0;0.06630000000000001;0.663
46.0;0.0669;0.669
47.0;0.06680000000000001;0.668
48.0;0.084;0.84
49.0;0.0884;0.884
50.0;0.08900000000000001;0.89
51.0;0.0884;0.884
52.0;0.0888;0.888
53.0;0.0889;0.889
54.0;0.0882;0.882
55.0;0.08810000000000001;0.881
56.0;0.08860000000000001;0.886
57.0;0.08900000000000001;0.89
58.0;0.08850000000000001;0.885
59.0;0.09160000000000001;0.916
60.0;0.11060000000000002;1.106
61.0;0.1091;1.091
62.0;0.11000000000000001;1.1
63.0;0.11040000000000001;1.104
64.0;0.11020000000000002;1.102
65.0;0.1105;1.105
66.0;0.11060000000000002;1.106
67.0;0.1101;1.101
68.0;0.1255;1.255
69.0;0.1305;1.305
70.0;0.1311;1.311
71.0;0.1299;1.299
72.0;0.1308;1.308
73.0;0.131;1.31
74.0;0.12940000000000002;1.294
75.0;0.1401;1.401
76.0;0.1514;1.514
77.0;0.1511;1.511
78.0;0.15100000000000002;1.51
79.0;0.1513;1.513
80.0;0.15080000000000002;1.508
81.0;0.1496;1.496
82.0;0.15080000000000002;1.508
83.0;0.1511;1.511
84.0;0.14980000000000002;1.498
85.0;0.16510000000000002;1.651
86.0;0.1695;1.695
87.0;0.16810000000000003;1.681
88.0;0.16970000000000002;1.697
89.0;0.17;1.7
90.0;0.169;1.69
91.0;0.16890000000000002;1.689
92.0;0.18560000000000001;1.856
93.0;0.1865;1.865
94.0;0.18700000000000003;1.87
95.0;0.1877;1.877
96.0;0.1884;1.884
97.0;0.19690000000000002;1.969
98.0;0.1975;1.975
99.0;0.1985;1.985
100.0;0.1968;1.968
101.0;0.19820000000000002;1.982
102.0;0.19870000000000002;1.987
