Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_SLPM-161_561_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_SLPM-161_561_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.7865179856115105;1.7841743253725166;5.206;-0.001;291.4608216618478;-0.03842459173872825

Result table values
power_instruction;561_power;561_error
1.0;60.0;6.0
5.0;290.0;29.0
10.0;564.0;56.4
20.0;1116.0;111.6
30.0;1648.0;164.8
40.0;2179.0;217.9
50.0;2742.0;274.2
60.0;3274.0;327.4
70.0;3789.0;378.9
80.0;4325.0;432.5
90.0;4786.0;478.6
100.0;5195.0;519.5
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-0.0;-0.0
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-0.0;-0.0
9.0;-1.0E-4;-0.001
10.0;-1.0E-4;-0.001
11.0;-1.0E-4;-0.001
12.0;-1.0E-4;-0.001
13.0;-1.0E-4;-0.001
14.0;-1.0E-4;-0.001
15.0;-1.0E-4;-0.001
16.0;-1.0E-4;-0.001
17.0;-0.0;-0.0
18.0;-1.0E-4;-0.001
19.0;-1.0E-4;-0.001
20.0;-1.0E-4;-0.001
21.0;-1.0E-4;-0.001
22.0;-1.0E-4;-0.001
23.0;1.0E-4;0.001
24.0;3.0000000000000003E-4;0.003
25.0;2.0E-4;0.002
26.0;2.0E-4;0.002
27.0;2.0E-4;0.002
28.0;2.0E-4;0.002
29.0;0.0;0.0
30.0;0.0;0.0
31.0;-0.0;-0.0
32.0;0.0;0.0
33.0;-0.0;-0.0
34.0;-0.0;-0.0
35.0;0.0;0.0
36.0;-0.0;-0.0
37.0;0.0046;0.046
38.0;0.006;0.06
39.0;0.006;0.06
40.0;0.006;0.06
41.0;0.006;0.06
42.0;0.006;0.06
43.0;0.0059;0.059
44.0;0.006;0.06
45.0;0.023100000000000002;0.231
46.0;0.0286;0.286
47.0;0.0289;0.289
48.0;0.028999999999999998;0.29
49.0;0.0289;0.289
50.0;0.0288;0.288
51.0;0.0289;0.289
52.0;0.0287;0.287
53.0;0.0288;0.288
54.0;0.048600000000000004;0.486
55.0;0.0567;0.567
56.0;0.05620000000000001;0.562
57.0;0.0564;0.564
58.0;0.0566;0.566
59.0;0.055900000000000005;0.559
60.0;0.0564;0.564
61.0;0.07550000000000001;0.755
62.0;0.1115;1.115
63.0;0.11170000000000001;1.117
64.0;0.11200000000000002;1.12
65.0;0.1111;1.111
66.0;0.11160000000000002;1.116
67.0;0.11230000000000001;1.123
68.0;0.11230000000000001;1.123
69.0;0.1115;1.115
70.0;0.11170000000000001;1.117
71.0;0.16000000000000003;1.6
72.0;0.16490000000000002;1.649
73.0;0.16620000000000001;1.662
74.0;0.1665;1.665
75.0;0.1648;1.648
76.0;0.1652;1.652
77.0;0.1655;1.655
78.0;0.1663;1.663
79.0;0.20750000000000002;2.075
80.0;0.2203;2.203
81.0;0.2203;2.203
82.0;0.21789999999999998;2.179
83.0;0.2194;2.194
84.0;0.22050000000000003;2.205
85.0;0.21850000000000003;2.185
86.0;0.22000000000000003;2.2
87.0;0.22360000000000002;2.236
88.0;0.27040000000000003;2.704
89.0;0.2727;2.727
90.0;0.2743;2.743
91.0;0.2742;2.742
92.0;0.2717;2.717
93.0;0.2735;2.735
94.0;0.27290000000000003;2.729
95.0;0.2706;2.706
96.0;0.3178;3.178
97.0;0.3279;3.279
98.0;0.32530000000000003;3.253
99.0;0.32630000000000003;3.263
100.0;0.32630000000000003;3.263
101.0;0.3249;3.249
102.0;0.32630000000000003;3.263
103.0;0.3276;3.276
104.0;0.3274;3.274
105.0;0.3249;3.249
106.0;0.32620000000000005;3.262
107.0;0.327;3.27
108.0;0.32420000000000004;3.242
109.0;0.3753;3.753
110.0;0.38170000000000004;3.817
111.0;0.37660000000000005;3.766
112.0;0.3789;3.789
113.0;0.3812;3.812
114.0;0.3793;3.793
115.0;0.38010000000000005;3.801
116.0;0.3815;3.815
117.0;0.431;4.31
118.0;0.42830000000000007;4.283
119.0;0.4319;4.319
120.0;0.43250000000000005;4.325
121.0;0.4294;4.294
122.0;0.4316;4.316
123.0;0.43200000000000005;4.32
124.0;0.4272;4.272
125.0;0.431;4.31
126.0;0.47009999999999996;4.701
127.0;0.48070000000000007;4.807
128.0;0.4811;4.811
129.0;0.48150000000000004;4.815
130.0;0.47859999999999997;4.786
131.0;0.4801;4.801
132.0;0.4827;4.827
133.0;0.506;5.06
134.0;0.5187;5.187
135.0;0.5197;5.197
136.0;0.5195000000000001;5.195
137.0;0.5165000000000001;5.165
138.0;0.5206000000000001;5.206
