Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
POWER_HM_power_meter_SLPM-161_633_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;POWER_HM_power_meter_SLPM-161_633_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.8154105263157894;1.4324000034480588;4.376;-0.0;241.04740699508307;0.0

Result table values
power_instruction;633_power;633_error
1.0;46.0;4.6
5.0;236.0;23.6
10.0;469.0;46.9
20.0;941.0;94.1
30.0;1408.0;140.8
40.0;1850.0;185.0
50.0;2336.0;233.6
60.0;2767.0;276.7
70.0;3201.0;320.1
80.0;3636.0;363.6
90.0;4010.0;401.0
100.0;4376.0;437.6
time;measured_optical_power_error;measured_optical_power_average
0.0;2.0E-4;0.002
1.0;2.0E-4;0.002
2.0;2.0E-4;0.002
3.0;2.0E-4;0.002
4.0;2.0E-4;0.002
5.0;2.0E-4;0.002
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;0.0041;0.041
9.0;0.0046;0.046
10.0;0.0046;0.046
11.0;0.0046;0.046
12.0;0.0046;0.046
13.0;0.0046;0.046
14.0;0.013700000000000002;0.137
15.0;0.0237;0.237
16.0;0.0237;0.237
17.0;0.0236;0.236
18.0;0.0236;0.236
19.0;0.0237;0.237
20.0;0.023400000000000004;0.234
21.0;0.0236;0.236
22.0;0.037700000000000004;0.377
23.0;0.04680000000000001;0.468
24.0;0.0469;0.469
25.0;0.0469;0.469
26.0;0.0466;0.466
27.0;0.0469;0.469
28.0;0.0471;0.471
29.0;0.0869;0.869
30.0;0.0942;0.942
31.0;0.0943;0.943
32.0;0.094;0.94
33.0;0.0941;0.941
34.0;0.0945;0.945
35.0;0.0946;0.946
36.0;0.0941;0.941
37.0;0.1267;1.267
38.0;0.1403;1.403
39.0;0.1399;1.399
40.0;0.1405;1.405
41.0;0.1408;1.408
42.0;0.1405;1.405
43.0;0.1394;1.394
44.0;0.1399;1.399
45.0;0.1409;1.409
46.0;0.1402;1.402
47.0;0.1653;1.653
48.0;0.1877;1.877
49.0;0.18500000000000003;1.85
50.0;0.18620000000000003;1.862
51.0;0.18730000000000002;1.873
52.0;0.18680000000000002;1.868
53.0;0.18720000000000003;1.872
54.0;0.2169;2.169
55.0;0.23210000000000003;2.321
56.0;0.2311;2.311
57.0;0.23250000000000004;2.325
58.0;0.2336;2.336
59.0;0.23090000000000002;2.309
60.0;0.23250000000000004;2.325
61.0;0.2324;2.324
62.0;0.2299;2.299
63.0;0.273;2.73
64.0;0.2783;2.783
65.0;0.2767;2.767
66.0;0.2762;2.762
67.0;0.2767;2.767
68.0;0.2763;2.763
69.0;0.2763;2.763
70.0;0.3148;3.148
71.0;0.3227;3.227
72.0;0.3191;3.191
73.0;0.32010000000000005;3.201
74.0;0.32160000000000005;3.216
75.0;0.3185;3.185
76.0;0.321;3.21
77.0;0.36050000000000004;3.605
78.0;0.36060000000000003;3.606
79.0;0.3613;3.613
80.0;0.36360000000000003;3.636
81.0;0.3632;3.632
82.0;0.3612;3.612
83.0;0.3639;3.639
84.0;0.36360000000000003;3.636
85.0;0.38380000000000003;3.838
86.0;0.4025000000000001;4.025
87.0;0.40480000000000005;4.048
88.0;0.401;4.01
89.0;0.40359999999999996;4.036
90.0;0.41870000000000007;4.187
91.0;0.43360000000000004;4.336
92.0;0.43510000000000004;4.351
93.0;0.43760000000000004;4.376
94.0;0.43710000000000004;4.371
