Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.20750476190476191;0.181874916701863;0.546;-0.0;263.12649164677805;0.0

Result table values
power_instruction;405_power;405_error
1.0;7.0;0.7
5.0;30.0;3.0
10.0;60.0;6.0
20.0;117.0;11.7
30.0;176.0;17.6
40.0;234.0;23.4
50.0;286.0;28.6
60.0;345.0;34.5
70.0;399.0;39.9
80.0;455.0;45.5
90.0;506.0;50.6
100.0;543.0;54.3
time;measured_optical_power_error;measured_optical_power_average
0.0;5.0E-4;0.005
1.0;5.0E-4;0.005
2.0;5.0E-4;0.005
3.0;6.000000000000001E-4;0.006
4.0;6.000000000000001E-4;0.006
5.0;5.0E-4;0.005
6.0;6.000000000000001E-4;0.006
7.0;6.000000000000001E-4;0.006
8.0;5.0E-4;0.005
9.0;5.0E-4;0.005
10.0;6.000000000000001E-4;0.006
11.0;6.000000000000001E-4;0.006
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;6.000000000000001E-4;0.006
18.0;6.000000000000001E-4;0.006
19.0;7.000000000000001E-4;0.007
20.0;6.000000000000001E-4;0.006
21.0;6.000000000000001E-4;0.006
22.0;7.000000000000001E-4;0.007
23.0;7.000000000000001E-4;0.007
24.0;0.003;0.03
25.0;0.0031000000000000003;0.031
26.0;0.003;0.03
27.0;0.0031000000000000003;0.031
28.0;0.0031000000000000003;0.031
29.0;0.0031000000000000003;0.031
30.0;0.003;0.03
31.0;0.0041;0.041
32.0;0.006;0.06
33.0;0.006;0.06
34.0;0.006;0.06
35.0;0.006;0.06
36.0;0.006;0.06
37.0;0.006;0.06
38.0;0.0061;0.061
39.0;0.006500000000000001;0.065
40.0;0.0118;0.118
41.0;0.0118;0.118
42.0;0.011600000000000001;0.116
43.0;0.011700000000000002;0.117
44.0;0.011700000000000002;0.117
45.0;0.011700000000000002;0.117
46.0;0.011700000000000002;0.117
47.0;0.0118;0.118
48.0;0.014000000000000002;0.14
49.0;0.0174;0.174
50.0;0.017499999999999998;0.175
51.0;0.0176;0.176
52.0;0.0174;0.174
53.0;0.017499999999999998;0.175
54.0;0.0176;0.176
55.0;0.020100000000000003;0.201
56.0;0.023200000000000002;0.232
57.0;0.023200000000000002;0.232
58.0;0.023400000000000004;0.234
59.0;0.023100000000000002;0.231
60.0;0.0233;0.233
61.0;0.023200000000000002;0.232
62.0;0.024300000000000002;0.243
63.0;0.0288;0.288
64.0;0.0289;0.289
65.0;0.0286;0.286
66.0;0.0288;0.288
67.0;0.0288;0.288
68.0;0.0288;0.288
69.0;0.028399999999999998;0.284
70.0;0.0287;0.287
71.0;0.031200000000000002;0.312
72.0;0.034100000000000005;0.341
73.0;0.0344;0.344
74.0;0.034499999999999996;0.345
75.0;0.034499999999999996;0.345
76.0;0.034100000000000005;0.341
77.0;0.034499999999999996;0.345
78.0;0.0368;0.368
79.0;0.039700000000000006;0.397
80.0;0.040100000000000004;0.401
81.0;0.0403;0.403
82.0;0.039900000000000005;0.399
83.0;0.04000000000000001;0.4
84.0;0.04020000000000001;0.402
85.0;0.04020000000000001;0.402
86.0;0.039900000000000005;0.399
87.0;0.0417;0.417
88.0;0.045700000000000005;0.457
89.0;0.045200000000000004;0.452
90.0;0.045500000000000006;0.455
91.0;0.0456;0.456
92.0;0.045200000000000004;0.452
93.0;0.04530000000000001;0.453
94.0;0.0454;0.454
95.0;0.045500000000000006;0.455
96.0;0.048;0.48
97.0;0.0504;0.504
98.0;0.050600000000000006;0.506
99.0;0.0499;0.499
100.0;0.051500000000000004;0.515
101.0;0.05460000000000001;0.546
102.0;0.054000000000000006;0.54
103.0;0.05430000000000001;0.543
104.0;0.054400000000000004;0.544
