Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.6807857142857143;0.5429308559266762;1.598;-0.003;235.16944706746403;-0.37617554858933033

Result table values
power_instruction;488_power;488_error
1.0;18.0;1.8
5.0;90.0;9.0
10.0;179.0;17.9
20.0;357.0;35.7
30.0;537.0;53.7
40.0;709.0;70.9
50.0;873.0;87.3
60.0;1050.0;105.0
70.0;1201.0;120.1
80.0;1360.0;136.0
90.0;1493.0;149.3
100.0;1587.0;158.7
time;measured_optical_power_error;measured_optical_power_average
0.0;-3.0000000000000003E-4;-0.003
1.0;-3.0000000000000003E-4;-0.003
2.0;-1.0E-4;-0.001
3.0;3.0000000000000003E-4;0.003
4.0;3.0000000000000003E-4;0.003
5.0;3.0000000000000003E-4;0.003
6.0;0.0;0.0
7.0;-0.0;-0.0
8.0;7.000000000000001E-4;0.007
9.0;0.0018;0.018
10.0;0.0018;0.018
11.0;0.0018;0.018
12.0;0.0018;0.018
13.0;0.0018;0.018
14.0;0.0018;0.018
15.0;0.0021000000000000003;0.021
16.0;0.009;0.09
17.0;0.0091;0.091
18.0;0.009;0.09
19.0;0.0091;0.091
20.0;0.0091;0.091
21.0;0.009600000000000001;0.096
22.0;0.0108;0.108
23.0;0.0147;0.147
24.0;0.0178;0.178
25.0;0.0179;0.179
26.0;0.0179;0.179
27.0;0.0179;0.179
28.0;0.0178;0.178
29.0;0.0179;0.179
30.0;0.0179;0.179
31.0;0.020100000000000003;0.201
32.0;0.0358;0.358
33.0;0.036;0.36
34.0;0.0356;0.356
35.0;0.0357;0.357
36.0;0.0359;0.359
37.0;0.036;0.36
38.0;0.0354;0.354
39.0;0.0358;0.358
40.0;0.043300000000000005;0.433
41.0;0.05310000000000001;0.531
42.0;0.053500000000000006;0.535
43.0;0.05380000000000001;0.538
44.0;0.053700000000000005;0.537
45.0;0.05330000000000001;0.533
46.0;0.05380000000000001;0.538
47.0;0.0539;0.539
48.0;0.06899999999999999;0.69
49.0;0.0714;0.714
50.0;0.0717;0.717
51.0;0.0709;0.709
52.0;0.0713;0.713
53.0;0.0715;0.715
54.0;0.0715;0.715
55.0;0.07650000000000001;0.765
56.0;0.08860000000000001;0.886
57.0;0.0887;0.887
58.0;0.0873;0.873
59.0;0.0883;0.883
60.0;0.0887;0.887
61.0;0.08750000000000001;0.875
62.0;0.08810000000000001;0.881
63.0;0.08850000000000001;0.885
64.0;0.08860000000000001;0.886
65.0;0.1014;1.014
66.0;0.10500000000000001;1.05
67.0;0.10500000000000001;1.05
68.0;0.1033;1.033
69.0;0.1047;1.047
70.0;0.10520000000000002;1.052
71.0;0.1043;1.043
72.0;0.1158;1.158
73.0;0.1216;1.216
74.0;0.1216;1.216
75.0;0.12010000000000001;1.201
76.0;0.1212;1.212
77.0;0.12190000000000001;1.219
78.0;0.12010000000000001;1.201
79.0;0.1264;1.264
80.0;0.1369;1.369
81.0;0.1363;1.363
82.0;0.136;1.36
83.0;0.1369;1.369
84.0;0.1369;1.369
85.0;0.1349;1.349
86.0;0.1421;1.421
87.0;0.1507;1.507
88.0;0.14930000000000002;1.493
89.0;0.1503;1.503
90.0;0.1513;1.513
91.0;0.1502;1.502
92.0;0.15560000000000002;1.556
93.0;0.15900000000000003;1.59
94.0;0.15980000000000003;1.598
95.0;0.1577;1.577
96.0;0.1587;1.587
97.0;0.15940000000000001;1.594
