Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
633POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;633POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.5496732673267333;1.3795818114678398;4.108;0.0;265.08813739082643;0.0

Result table values
power_instruction;633_power;633_error
1.0;43.0;4.3
5.0;221.0;22.1
10.0;436.0;43.6
20.0;874.0;87.4
30.0;1308.0;130.8
40.0;1754.0;175.4
50.0;2169.0;216.9
60.0;2599.0;259.9
70.0;3021.0;302.1
80.0;3412.0;341.2
90.0;3777.0;377.7
100.0;4079.0;407.9
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;1.0E-4;0.001
2.0;2.0E-4;0.002
3.0;2.0E-4;0.002
4.0;2.0E-4;0.002
5.0;2.0E-4;0.002
6.0;2.0E-4;0.002
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;8.0E-4;0.008
13.0;0.0043;0.043
14.0;0.0043;0.043
15.0;0.0043;0.043
16.0;0.0043;0.043
17.0;0.0043;0.043
18.0;0.0043;0.043
19.0;0.0064;0.064
20.0;0.0222;0.222
21.0;0.0223;0.223
22.0;0.0221;0.221
23.0;0.0221;0.221
24.0;0.0223;0.223
25.0;0.0223;0.223
26.0;0.022000000000000002;0.22
27.0;0.0415;0.415
28.0;0.044300000000000006;0.443
29.0;0.0436;0.436
30.0;0.044000000000000004;0.44
31.0;0.0441;0.441
32.0;0.043800000000000006;0.438
33.0;0.0649;0.649
34.0;0.08860000000000001;0.886
35.0;0.08860000000000001;0.886
36.0;0.0874;0.874
37.0;0.0883;0.883
38.0;0.0887;0.887
39.0;0.08760000000000001;0.876
40.0;0.08810000000000001;0.881
41.0;0.12330000000000002;1.233
42.0;0.131;1.31
43.0;0.1308;1.308
44.0;0.13160000000000002;1.316
45.0;0.1321;1.321
46.0;0.13040000000000002;1.304
47.0;0.13160000000000002;1.316
48.0;0.1322;1.322
49.0;0.15380000000000002;1.538
50.0;0.17500000000000002;1.75
51.0;0.1759;1.759
52.0;0.1754;1.754
53.0;0.17470000000000002;1.747
54.0;0.1757;1.757
55.0;0.1763;1.763
56.0;0.18320000000000003;1.832
57.0;0.2182;2.182
58.0;0.21960000000000002;2.196
59.0;0.2169;2.169
60.0;0.21760000000000002;2.176
61.0;0.2182;2.182
62.0;0.219;2.19
63.0;0.2177;2.177
64.0;0.2556;2.556
65.0;0.26120000000000004;2.612
66.0;0.2577;2.577
67.0;0.2599;2.599
68.0;0.26080000000000003;2.608
69.0;0.2596;2.596
70.0;0.2598;2.598
71.0;0.26080000000000003;2.608
72.0;0.27599999999999997;2.76
73.0;0.3005;3.005
74.0;0.30210000000000004;3.021
75.0;0.3028;3.028
76.0;0.2982;2.982
77.0;0.3017;3.017
78.0;0.3024;3.024
79.0;0.3306;3.306
80.0;0.3393;3.393
81.0;0.3412;3.412
82.0;0.3412;3.412
83.0;0.3396;3.396
84.0;0.3407;3.407
85.0;0.3415;3.415
86.0;0.35710000000000003;3.571
87.0;0.37770000000000004;3.777
88.0;0.3783;3.783
89.0;0.3758;3.758
90.0;0.3919;3.919
91.0;0.41;4.1
92.0;0.4081000000000001;4.081
93.0;0.4079;4.079
94.0;0.40970000000000006;4.097
95.0;0.4108;4.108
96.0;0.0978;0.978
97.0;1.0E-4;0.001
98.0;1.0E-4;0.001
99.0;1.0E-4;0.001
100.0;0.0;0.0
