Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
SP8 STED QC_measured_optical_power_vs_acquisition_duration.jpg;SP8 STED QC_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.07639316239316242;0.060979492722351834;0.19;0.002;246.0953233385544;2.083333333333337

Result table values
power_instruction;488_power;488_error
1.0;2.0;0.2
5.0;11.0;1.1
10.0;21.0;2.1
20.0;40.0;4.0
30.0;60.0;6.0
40.0;79.0;7.9
50.0;99.0;9.9
60.0;118.0;11.8
70.0;137.0;13.7
80.0;155.0;15.5
90.0;173.0;17.3
100.0;189.0;18.9
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0038;0.038
1.0;0.0039000000000000003;0.039
2.0;0.0039000000000000003;0.039
3.0;0.0039000000000000003;0.039
4.0;0.0039000000000000003;0.039
5.0;0.004;0.04
6.0;0.004;0.04
7.0;0.0039000000000000003;0.039
8.0;0.004;0.04
9.0;0.0039000000000000003;0.039
10.0;0.004;0.04
11.0;0.0023;0.023
12.0;0.002;0.02
13.0;0.002;0.02
14.0;0.002;0.02
15.0;0.0021000000000000003;0.021
16.0;0.002;0.02
17.0;0.002;0.02
18.0;0.002;0.02
19.0;0.002;0.02
20.0;0.002;0.02
21.0;0.002;0.02
22.0;0.002;0.02
23.0;0.002;0.02
24.0;0.002;0.02
25.0;0.002;0.02
26.0;0.002;0.02
27.0;0.0019;0.019
28.0;2.0E-4;0.002
29.0;2.0E-4;0.002
30.0;2.0E-4;0.002
31.0;2.0E-4;0.002
32.0;2.0E-4;0.002
33.0;2.0E-4;0.002
34.0;6.000000000000001E-4;0.006
35.0;0.0011;0.011
36.0;0.0011;0.011
37.0;0.0011;0.011
38.0;0.001;0.01
39.0;0.0011;0.011
40.0;0.0011;0.011
41.0;0.0011;0.011
42.0;0.0014000000000000002;0.014
43.0;0.002;0.02
44.0;0.002;0.02
45.0;0.0021000000000000003;0.021
46.0;0.0021000000000000003;0.021
47.0;0.002;0.02
48.0;0.002;0.02
49.0;0.0021000000000000003;0.021
50.0;0.0038;0.038
51.0;0.004;0.04
52.0;0.004;0.04
53.0;0.004;0.04
54.0;0.004;0.04
55.0;0.004;0.04
56.0;0.0047;0.047
57.0;0.006;0.06
58.0;0.006;0.06
59.0;0.006;0.06
60.0;0.006;0.06
61.0;0.006;0.06
62.0;0.006;0.06
63.0;0.0076;0.076
64.0;0.0079;0.079
65.0;0.0079;0.079
66.0;0.0079;0.079
67.0;0.0079;0.079
68.0;0.0078000000000000005;0.078
69.0;0.0077;0.077
70.0;0.0083;0.083
71.0;0.009800000000000001;0.098
72.0;0.009800000000000001;0.098
73.0;0.0099;0.099
74.0;0.0097;0.097
75.0;0.0099;0.099
76.0;0.0099;0.099
77.0;0.0106;0.106
78.0;0.011700000000000002;0.117
79.0;0.0118;0.118
80.0;0.0118;0.118
81.0;0.011700000000000002;0.117
82.0;0.0118;0.118
83.0;0.0118;0.118
84.0;0.011700000000000002;0.117
85.0;0.0123;0.123
86.0;0.013700000000000002;0.137
87.0;0.013600000000000001;0.136
88.0;0.013600000000000001;0.136
89.0;0.013700000000000002;0.137
90.0;0.013700000000000002;0.137
91.0;0.013600000000000001;0.136
92.0;0.013700000000000002;0.137
93.0;0.013700000000000002;0.137
94.0;0.013600000000000001;0.136
95.0;0.0154;0.154
96.0;0.0155;0.155
97.0;0.0155;0.155
98.0;0.0154;0.154
99.0;0.0155;0.155
100.0;0.0155;0.155
101.0;0.015300000000000001;0.153
102.0;0.017;0.17
103.0;0.0173;0.173
104.0;0.0171;0.171
105.0;0.0172;0.172
106.0;0.0173;0.173
107.0;0.0173;0.173
108.0;0.0171;0.171
109.0;0.0173;0.173
110.0;0.0177;0.177
111.0;0.018600000000000002;0.186
112.0;0.019000000000000003;0.19
113.0;0.019000000000000003;0.19
114.0;0.0188;0.188
115.0;0.0189;0.189
116.0;0.0189;0.189
