Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.10844791666666664;0.08364553596247203;0.254;0.001;233.29171069061576;0.7843137254901933

Result table values
power_instruction;488_power;488_error
1.0;4.0;0.4
5.0;15.0;1.5
10.0;28.0;2.8
20.0;55.0;5.5
30.0;82.0;8.2
40.0;108.0;10.8
50.0;134.0;13.4
60.0;159.0;15.9
70.0;184.0;18.4
80.0;209.0;20.9
90.0;234.0;23.4
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;1.0E-4;0.001
7.0;3.0000000000000003E-4;0.003
8.0;4.0E-4;0.004
9.0;4.0E-4;0.004
10.0;4.0E-4;0.004
11.0;4.0E-4;0.004
12.0;4.0E-4;0.004
13.0;0.0014000000000000002;0.014
14.0;0.0015;0.015
15.0;0.0015;0.015
16.0;0.0015;0.015
17.0;0.0015;0.015
18.0;0.0015;0.015
19.0;0.0015;0.015
20.0;0.0015;0.015
21.0;0.0024000000000000002;0.024
22.0;0.0029000000000000002;0.029
23.0;0.0028000000000000004;0.028
24.0;0.0028000000000000004;0.028
25.0;0.0028000000000000004;0.028
26.0;0.0028000000000000004;0.028
27.0;0.0029000000000000002;0.029
28.0;0.0029000000000000002;0.029
29.0;0.0044;0.044
30.0;0.0055000000000000005;0.055
31.0;0.0055000000000000005;0.055
32.0;0.0055000000000000005;0.055
33.0;0.0055000000000000005;0.055
34.0;0.0055000000000000005;0.055
35.0;0.005600000000000001;0.056
36.0;0.0055000000000000005;0.055
37.0;0.0061;0.061
38.0;0.0082;0.082
39.0;0.008100000000000001;0.081
40.0;0.0082;0.082
41.0;0.0082;0.082
42.0;0.008100000000000001;0.081
43.0;0.0082;0.082
44.0;0.0082;0.082
45.0;0.0082;0.082
46.0;0.0106;0.106
47.0;0.0108;0.108
48.0;0.0108;0.108
49.0;0.0108;0.108
50.0;0.0108;0.108
51.0;0.0108;0.108
52.0;0.010700000000000001;0.107
53.0;0.011200000000000002;0.112
54.0;0.013400000000000002;0.134
55.0;0.013400000000000002;0.134
56.0;0.013400000000000002;0.134
57.0;0.013400000000000002;0.134
58.0;0.013400000000000002;0.134
59.0;0.013300000000000001;0.133
60.0;0.013400000000000002;0.134
61.0;0.015300000000000001;0.153
62.0;0.0159;0.159
63.0;0.016;0.16
64.0;0.0159;0.159
65.0;0.0159;0.159
66.0;0.0159;0.159
67.0;0.0159;0.159
68.0;0.0164;0.164
69.0;0.0185;0.185
70.0;0.0185;0.185
71.0;0.0185;0.185
72.0;0.0184;0.184
73.0;0.0184;0.184
74.0;0.0185;0.185
75.0;0.0184;0.184
76.0;0.0185;0.185
77.0;0.0204;0.204
78.0;0.0207;0.207
79.0;0.020900000000000002;0.209
80.0;0.020900000000000002;0.209
81.0;0.0208;0.208
82.0;0.021;0.21
83.0;0.021;0.21
84.0;0.020900000000000002;0.209
85.0;0.023000000000000003;0.23
86.0;0.023400000000000004;0.234
87.0;0.023400000000000004;0.234
88.0;0.0233;0.233
89.0;0.023400000000000004;0.234
90.0;0.024800000000000003;0.248
91.0;0.0251;0.251
92.0;0.025300000000000003;0.253
93.0;0.025300000000000003;0.253
94.0;0.025300000000000003;0.253
95.0;0.025400000000000002;0.254
