Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
0.1067;0.0883;0.7790;-0.0000;729.9621;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;488_power;488_error
1.0;3.0;0.0
5.0;14.0;1.0
10.0;27.0;3.0
20.0;54.0;5.0
30.0;80.0;8.0
40.0;104.0;10.0
50.0;127.0;13.0
60.0;150.0;15.0
70.0;180.0;18.0
80.0;204.0;20.0
90.0;221.0;22.0
100.0;247.0;25.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.7790;0.0780
1.0000;0.0030;0.0000
2.0000;0.0030;0.0000
3.0000;0.0020;0.0000
4.0000;-0.0000;-0.0000
5.0000;-0.0000;-0.0000
6.0000;-0.0000;-0.0000
7.0000;0.0000;0.0000
8.0000;-0.0000;-0.0000
9.0000;0.0020;0.0000
10.0000;0.0030;0.0000
11.0000;0.0030;0.0000
12.0000;0.0030;0.0000
13.0000;0.0030;0.0000
14.0000;0.0030;0.0000
15.0000;0.0050;0.0010
16.0000;0.0140;0.0010
17.0000;0.0130;0.0010
18.0000;0.0140;0.0010
19.0000;0.0140;0.0010
20.0000;0.0140;0.0010
21.0000;0.0140;0.0010
22.0000;0.0140;0.0010
23.0000;0.0210;0.0020
24.0000;0.0270;0.0030
25.0000;0.0270;0.0030
26.0000;0.0270;0.0030
27.0000;0.0270;0.0030
28.0000;0.0270;0.0030
29.0000;0.0270;0.0030
30.0000;0.0270;0.0030
31.0000;0.0260;0.0030
32.0000;0.0400;0.0040
33.0000;0.0540;0.0050
34.0000;0.0540;0.0050
35.0000;0.0540;0.0050
36.0000;0.0530;0.0050
37.0000;0.0540;0.0050
38.0000;0.0520;0.0050
39.0000;0.0530;0.0050
40.0000;0.0740;0.0070
41.0000;0.0770;0.0080
42.0000;0.0800;0.0080
43.0000;0.0800;0.0080
44.0000;0.0800;0.0080
45.0000;0.0780;0.0080
46.0000;0.0770;0.0080
47.0000;0.0790;0.0080
48.0000;0.1000;0.0100
49.0000;0.1060;0.0110
50.0000;0.1030;0.0100
51.0000;0.1040;0.0100
52.0000;0.1050;0.0110
53.0000;0.1060;0.0110
54.0000;0.1050;0.0110
55.0000;0.1010;0.0100
56.0000;0.1290;0.0130
57.0000;0.1280;0.0130
58.0000;0.1310;0.0130
59.0000;0.1310;0.0130
60.0000;0.1270;0.0130
61.0000;0.1290;0.0130
62.0000;0.1310;0.0130
63.0000;0.1320;0.0130
64.0000;0.1290;0.0130
65.0000;0.1320;0.0130
66.0000;0.1540;0.0150
67.0000;0.1530;0.0150
68.0000;0.1570;0.0160
69.0000;0.1500;0.0150
70.0000;0.1520;0.0150
71.0000;0.1540;0.0150
72.0000;0.1540;0.0150
73.0000;0.1550;0.0160
74.0000;0.1650;0.0170
75.0000;0.1760;0.0180
76.0000;0.1780;0.0180
77.0000;0.1800;0.0180
78.0000;0.1790;0.0180
79.0000;0.1750;0.0180
80.0000;0.1780;0.0180
81.0000;0.1790;0.0180
82.0000;0.1800;0.0180
83.0000;0.1970;0.0200
84.0000;0.2000;0.0200
85.0000;0.2050;0.0210
86.0000;0.2040;0.0200
87.0000;0.2060;0.0210
88.0000;0.1960;0.0200
89.0000;0.2030;0.0200
90.0000;0.2020;0.0200
91.0000;0.2210;0.0220
92.0000;0.2270;0.0230
93.0000;0.2210;0.0220
94.0000;0.2230;0.0220
95.0000;0.2270;0.0230
96.0000;0.2310;0.0230
97.0000;0.2420;0.0240
98.0000;0.2380;0.0240
99.0000;0.2470;0.0250
100.0000;0.2450;0.0240
101.0000;0.2480;0.0250
