Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.12274757281553403;0.0941900666844059;0.28;0.0;228.11041683144816;0.0

Result table values
power_instruction;488_power;488_error
1.0;3.0;0.3
5.0;16.0;1.6
10.0;31.0;3.1
20.0;61.0;6.1
30.0;90.0;9.0
40.0;121.0;12.1
50.0;149.0;14.9
60.0;178.0;17.8
70.0;206.0;20.6
80.0;233.0;23.3
90.0;260.0;26.0
100.0;279.0;27.9
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;0.0;0.0
7.0;3.0000000000000003E-4;0.003
8.0;4.0E-4;0.004
9.0;3.0000000000000003E-4;0.003
10.0;3.0000000000000003E-4;0.003
11.0;3.0000000000000003E-4;0.003
12.0;3.0000000000000003E-4;0.003
13.0;3.0000000000000003E-4;0.003
14.0;6.000000000000001E-4;0.006
15.0;0.0016;0.016
16.0;0.0016;0.016
17.0;0.0016;0.016
18.0;0.0016;0.016
19.0;0.0016;0.016
20.0;0.0016;0.016
21.0;0.0016;0.016
22.0;0.0016;0.016
23.0;0.0031000000000000003;0.031
24.0;0.0031000000000000003;0.031
25.0;0.0031000000000000003;0.031
26.0;0.0031000000000000003;0.031
27.0;0.0031000000000000003;0.031
28.0;0.0031000000000000003;0.031
29.0;0.0031000000000000003;0.031
30.0;0.0032;0.032
31.0;0.0061;0.061
32.0;0.006200000000000001;0.062
33.0;0.0061;0.061
34.0;0.0061;0.061
35.0;0.0061;0.061
36.0;0.0061;0.061
37.0;0.0061;0.061
38.0;0.006200000000000001;0.062
39.0;0.0089;0.089
40.0;0.009;0.09
41.0;0.0091;0.091
42.0;0.0091;0.091
43.0;0.009;0.09
44.0;0.0091;0.091
45.0;0.0091;0.091
46.0;0.0091;0.091
47.0;0.009800000000000001;0.098
48.0;0.012;0.12
49.0;0.012;0.12
50.0;0.012;0.12
51.0;0.0121;0.121
52.0;0.0121;0.121
53.0;0.012;0.12
54.0;0.0121;0.121
55.0;0.012;0.12
56.0;0.0119;0.119
57.0;0.0148;0.148
58.0;0.015;0.15
59.0;0.0149;0.149
60.0;0.0149;0.149
61.0;0.0149;0.149
62.0;0.0149;0.149
63.0;0.0149;0.149
64.0;0.015;0.15
65.0;0.016700000000000003;0.167
66.0;0.0177;0.177
67.0;0.0178;0.178
68.0;0.0178;0.178
69.0;0.0176;0.176
70.0;0.0178;0.178
71.0;0.0179;0.179
72.0;0.0177;0.177
73.0;0.0204;0.204
74.0;0.0206;0.206
75.0;0.0205;0.205
76.0;0.0206;0.206
77.0;0.0207;0.207
78.0;0.0207;0.207
79.0;0.0205;0.205
80.0;0.0206;0.206
81.0;0.0228;0.228
82.0;0.023100000000000002;0.231
83.0;0.023400000000000004;0.234
84.0;0.023400000000000004;0.234
85.0;0.0233;0.233
86.0;0.0233;0.233
87.0;0.0233;0.233
88.0;0.0233;0.233
89.0;0.0233;0.233
90.0;0.026000000000000002;0.26
91.0;0.026000000000000002;0.26
92.0;0.025800000000000003;0.258
93.0;0.026000000000000002;0.26
94.0;0.025900000000000003;0.259
95.0;0.025800000000000003;0.258
96.0;0.027600000000000003;0.276
97.0;0.028000000000000004;0.28
98.0;0.027800000000000005;0.278
99.0;0.027800000000000005;0.278
100.0;0.027900000000000005;0.279
101.0;0.027800000000000005;0.278
102.0;0.027900000000000005;0.279
