Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2248686868686869;0.19388343908561845;0.611;0.0;271.7141317042493;0.0

Result table values
power_instruction;405_power;405_error
1.0;8.0;0.8
5.0;30.0;3.0
10.0;59.0;5.9
20.0;118.0;11.8
30.0;177.0;17.7
40.0;238.0;23.8
50.0;299.0;29.9
60.0;358.0;35.8
70.0;421.0;42.1
80.0;481.0;48.1
90.0;547.0;54.7
100.0;610.0;61.0
time;measured_optical_power_error;measured_optical_power_average
0.0;3.0000000000000003E-4;0.003
1.0;4.0E-4;0.004
2.0;4.0E-4;0.004
3.0;4.0E-4;0.004
4.0;5.0E-4;0.005
5.0;0.0;0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;2.0E-4;0.002
9.0;8.0E-4;0.008
10.0;8.0E-4;0.008
11.0;8.0E-4;0.008
12.0;8.0E-4;0.008
13.0;8.0E-4;0.008
14.0;7.000000000000001E-4;0.007
15.0;0.003;0.03
16.0;0.003;0.03
17.0;0.003;0.03
18.0;0.0031000000000000003;0.031
19.0;0.003;0.03
20.0;0.0031000000000000003;0.031
21.0;0.003;0.03
22.0;0.0031000000000000003;0.031
23.0;0.003;0.03
24.0;0.0106;0.106
25.0;0.011200000000000002;0.112
26.0;0.011200000000000002;0.112
27.0;0.0111;0.111
28.0;0.011200000000000002;0.112
29.0;0.011200000000000002;0.112
30.0;0.011000000000000001;0.11
31.0;0.006;0.06
32.0;0.006;0.06
33.0;0.0059;0.059
34.0;0.0059;0.059
35.0;0.0059;0.059
36.0;0.0059;0.059
37.0;0.0059;0.059
38.0;0.0077;0.077
39.0;0.0118;0.118
40.0;0.0118;0.118
41.0;0.0118;0.118
42.0;0.0118;0.118
43.0;0.0118;0.118
44.0;0.011700000000000002;0.117
45.0;0.0118;0.118
46.0;0.014000000000000002;0.14
47.0;0.0176;0.176
48.0;0.0177;0.177
49.0;0.0177;0.177
50.0;0.0176;0.176
51.0;0.0177;0.177
52.0;0.0178;0.178
53.0;0.020000000000000004;0.2
54.0;0.0238;0.238
55.0;0.0238;0.238
56.0;0.0238;0.238
57.0;0.0237;0.237
58.0;0.0238;0.238
59.0;0.0235;0.235
60.0;0.0236;0.236
61.0;0.0299;0.299
62.0;0.03;0.3
63.0;0.0299;0.299
64.0;0.0297;0.297
65.0;0.0299;0.299
66.0;0.03;0.3
67.0;0.033;0.33
68.0;0.0361;0.361
69.0;0.036;0.36
70.0;0.0358;0.358
71.0;0.036;0.36
72.0;0.036;0.36
73.0;0.0359;0.359
74.0;0.0393;0.393
75.0;0.0421;0.421
76.0;0.0421;0.421
77.0;0.0416;0.416
78.0;0.042;0.42
79.0;0.0421;0.421
80.0;0.042;0.42
81.0;0.046000000000000006;0.46
82.0;0.0482;0.482
83.0;0.0483;0.483
84.0;0.048100000000000004;0.481
85.0;0.0484;0.484
86.0;0.0484;0.484
87.0;0.048100000000000004;0.481
88.0;0.0485;0.485
89.0;0.0512;0.512
90.0;0.054700000000000006;0.547
91.0;0.054700000000000006;0.547
92.0;0.054700000000000006;0.547
93.0;0.054700000000000006;0.547
94.0;0.0596;0.596
95.0;0.0611;0.611
96.0;0.061;0.61
97.0;0.0606;0.606
98.0;0.061;0.61
