Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.7697708333333333;0.6245063742811011;1.783;-0.003;232.01710465777154;-0.3370786516853741

Result table values
power_instruction;488_power;488_error
1.0;22.0;2.2
5.0;111.0;11.1
10.0;218.0;21.8
20.0;433.0;43.3
30.0;640.0;64.0
40.0;851.0;85.1
50.0;1049.0;104.9
60.0;1240.0;124.0
70.0;1427.0;142.7
80.0;1596.0;159.6
90.0;1744.0;174.4
100.0;1783.0;178.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-3.0000000000000003E-4;-0.003
1.0;-3.0000000000000003E-4;-0.003
2.0;-3.0000000000000003E-4;-0.003
3.0;0.0;0.0
4.0;2.0E-4;0.002
5.0;2.0E-4;0.002
6.0;2.0E-4;0.002
7.0;2.0E-4;0.002
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;0.0012000000000000001;0.012
13.0;0.0022;0.022
14.0;0.0022;0.022
15.0;0.0022;0.022
16.0;0.0022;0.022
17.0;0.003;0.03
18.0;0.0111;0.111
19.0;0.011000000000000001;0.11
20.0;0.0111;0.111
21.0;0.0111;0.111
22.0;0.011000000000000001;0.11
23.0;0.0111;0.111
24.0;0.011300000000000001;0.113
25.0;0.0218;0.218
26.0;0.0218;0.218
27.0;0.0218;0.218
28.0;0.021900000000000003;0.219
29.0;0.0217;0.217
30.0;0.0218;0.218
31.0;0.0218;0.218
32.0;0.0426;0.426
33.0;0.043300000000000005;0.433
34.0;0.043300000000000005;0.433
35.0;0.0432;0.432
36.0;0.0432;0.432
37.0;0.0434;0.434
38.0;0.0434;0.434
39.0;0.043000000000000003;0.43
40.0;0.0587;0.587
41.0;0.06420000000000001;0.642
42.0;0.0637;0.637
43.0;0.06420000000000001;0.642
44.0;0.0644;0.644
45.0;0.0644;0.644
46.0;0.064;0.64
47.0;0.0644;0.644
48.0;0.0645;0.645
49.0;0.0641;0.641
50.0;0.0782;0.782
51.0;0.0852;0.852
52.0;0.0848;0.848
53.0;0.08510000000000001;0.851
54.0;0.0852;0.852
55.0;0.0852;0.852
56.0;0.0845;0.845
57.0;0.09960000000000001;0.996
58.0;0.1051;1.051
59.0;0.10420000000000001;1.042
60.0;0.1049;1.049
61.0;0.10500000000000001;1.05
62.0;0.1047;1.047
63.0;0.1045;1.045
64.0;0.10800000000000001;1.08
65.0;0.12410000000000002;1.241
66.0;0.12340000000000001;1.234
67.0;0.124;1.24
68.0;0.12390000000000001;1.239
69.0;0.1228;1.228
70.0;0.12390000000000001;1.239
71.0;0.1267;1.267
72.0;0.1414;1.414
73.0;0.1424;1.424
74.0;0.14270000000000002;1.427
75.0;0.14270000000000002;1.427
76.0;0.14150000000000001;1.415
77.0;0.1428;1.428
78.0;0.1468;1.468
79.0;0.1589;1.589
80.0;0.15990000000000001;1.599
81.0;0.16010000000000002;1.601
82.0;0.15960000000000002;1.596
83.0;0.15980000000000003;1.598
84.0;0.1603;1.603
85.0;0.16040000000000001;1.604
86.0;0.16490000000000002;1.649
87.0;0.17520000000000002;1.752
88.0;0.17520000000000002;1.752
89.0;0.1744;1.744
90.0;0.1754;1.754
91.0;0.1755;1.755
92.0;0.1775;1.775
93.0;0.1777;1.777
94.0;0.17830000000000001;1.783
95.0;0.17820000000000003;1.782
