Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_WLL_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1481395348837209;0.11316441175028388;0.332;-0.002;225.46310832025122;-1.21212121212122

Result table values
power_instruction;488_power;488_error
1.0;4.0;0.4
5.0;20.0;2.0
10.0;38.0;3.8
20.0;75.0;7.5
30.0;113.0;11.3
40.0;150.0;15.0
50.0;185.0;18.5
60.0;219.0;21.9
70.0;254.0;25.4
80.0;285.0;28.5
90.0;313.0;31.3
100.0;332.0;33.2
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-1.0E-4;-0.001
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;2.0E-4;0.002
8.0;4.0E-4;0.004
9.0;4.0E-4;0.004
10.0;4.0E-4;0.004
11.0;4.0E-4;0.004
12.0;4.0E-4;0.004
13.0;0.0017000000000000001;0.017
14.0;0.002;0.02
15.0;0.002;0.02
16.0;0.002;0.02
17.0;0.002;0.02
18.0;0.002;0.02
19.0;0.0033000000000000004;0.033
20.0;0.0039000000000000003;0.039
21.0;0.0038;0.038
22.0;0.0039000000000000003;0.039
23.0;0.0039000000000000003;0.039
24.0;0.0038;0.038
25.0;0.0039000000000000003;0.039
26.0;0.0070999999999999995;0.071
27.0;0.0076;0.076
28.0;0.0075;0.075
29.0;0.0076;0.076
30.0;0.0076;0.076
31.0;0.0076;0.076
32.0;0.0079;0.079
33.0;0.011300000000000001;0.113
34.0;0.011300000000000001;0.113
35.0;0.011300000000000001;0.113
36.0;0.011300000000000001;0.113
37.0;0.011300000000000001;0.113
38.0;0.011200000000000002;0.112
39.0;0.011300000000000001;0.113
40.0;0.0148;0.148
41.0;0.0149;0.149
42.0;0.015;0.15
43.0;0.015;0.15
44.0;0.015;0.15
45.0;0.0149;0.149
46.0;0.015;0.15
47.0;0.015300000000000001;0.153
48.0;0.0183;0.183
49.0;0.0184;0.184
50.0;0.0185;0.185
51.0;0.0183;0.183
52.0;0.0184;0.184
53.0;0.0184;0.184
54.0;0.019100000000000002;0.191
55.0;0.0218;0.218
56.0;0.021900000000000003;0.219
57.0;0.021900000000000003;0.219
58.0;0.0217;0.217
59.0;0.022000000000000002;0.22
60.0;0.021900000000000003;0.219
61.0;0.022900000000000004;0.229
62.0;0.025300000000000003;0.253
63.0;0.025400000000000002;0.254
64.0;0.025400000000000002;0.254
65.0;0.0252;0.252
66.0;0.025400000000000002;0.254
67.0;0.025400000000000002;0.254
68.0;0.0252;0.252
69.0;0.028399999999999998;0.284
70.0;0.0286;0.286
71.0;0.028499999999999998;0.285
72.0;0.028499999999999998;0.285
73.0;0.028499999999999998;0.285
74.0;0.0286;0.286
75.0;0.0283;0.283
76.0;0.031200000000000002;0.312
77.0;0.0315;0.315
78.0;0.0313;0.313
79.0;0.0315;0.315
80.0;0.0315;0.315
81.0;0.032400000000000005;0.324
82.0;0.033100000000000004;0.331
83.0;0.0332;0.332
84.0;0.0332;0.332
85.0;0.033;0.33
