Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488WLLPOWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488WLLPOWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.11680219780219786;0.08851962701205889;0.265;0.0;226.87929250164632;0.0

Result table values
power_instruction;488_power;488_error
1.0;3.0;0.3
5.0;15.0;1.5
10.0;29.0;2.9
20.0;57.0;5.7
30.0;85.0;8.5
40.0;112.0;11.2
50.0;139.0;13.9
60.0;165.0;16.5
70.0;192.0;19.2
80.0;217.0;21.7
90.0;243.0;24.3
100.0;264.0;26.4
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;0.0;0.0
6.0;2.0E-4;0.002
7.0;3.0000000000000003E-4;0.003
8.0;3.0000000000000003E-4;0.003
9.0;3.0000000000000003E-4;0.003
10.0;3.0000000000000003E-4;0.003
11.0;3.0000000000000003E-4;0.003
12.0;8.0E-4;0.008
13.0;0.0015;0.015
14.0;0.0015;0.015
15.0;0.0015;0.015
16.0;0.0015;0.015
17.0;0.0015;0.015
18.0;0.0016;0.016
19.0;0.0029000000000000002;0.029
20.0;0.003;0.03
21.0;0.0029000000000000002;0.029
22.0;0.0029000000000000002;0.029
23.0;0.0029000000000000002;0.029
24.0;0.0029000000000000002;0.029
25.0;0.0029000000000000002;0.029
26.0;0.0037;0.037
27.0;0.0058000000000000005;0.058
28.0;0.0058000000000000005;0.058
29.0;0.0057;0.057
30.0;0.0058000000000000005;0.058
31.0;0.0058000000000000005;0.058
32.0;0.0058000000000000005;0.058
33.0;0.006500000000000001;0.065
34.0;0.0085;0.085
35.0;0.0085;0.085
36.0;0.0085;0.085
37.0;0.0085;0.085
38.0;0.0085;0.085
39.0;0.008400000000000001;0.084
40.0;0.0085;0.085
41.0;0.009300000000000001;0.093
42.0;0.011200000000000002;0.112
43.0;0.011200000000000002;0.112
44.0;0.011200000000000002;0.112
45.0;0.011200000000000002;0.112
46.0;0.0111;0.111
47.0;0.011200000000000002;0.112
48.0;0.011700000000000002;0.117
49.0;0.013800000000000002;0.138
50.0;0.013900000000000003;0.139
51.0;0.013900000000000003;0.139
52.0;0.013900000000000003;0.139
53.0;0.013900000000000003;0.139
54.0;0.013900000000000003;0.139
55.0;0.013900000000000003;0.139
56.0;0.0149;0.149
57.0;0.0166;0.166
58.0;0.0166;0.166
59.0;0.0165;0.165
60.0;0.0166;0.166
61.0;0.0166;0.166
62.0;0.0165;0.165
63.0;0.0166;0.166
64.0;0.016900000000000002;0.169
65.0;0.019200000000000002;0.192
66.0;0.019200000000000002;0.192
67.0;0.019200000000000002;0.192
68.0;0.019200000000000002;0.192
69.0;0.019000000000000003;0.19
70.0;0.019200000000000002;0.192
71.0;0.0208;0.208
72.0;0.021500000000000002;0.215
73.0;0.0217;0.217
74.0;0.0217;0.217
75.0;0.0217;0.217
76.0;0.021500000000000002;0.215
77.0;0.0217;0.217
78.0;0.021900000000000003;0.219
79.0;0.024;0.24
80.0;0.024300000000000002;0.243
81.0;0.024300000000000002;0.243
82.0;0.024300000000000002;0.243
83.0;0.0241;0.241
84.0;0.026500000000000003;0.265
85.0;0.026500000000000003;0.265
86.0;0.026300000000000004;0.263
87.0;0.026400000000000003;0.264
88.0;0.026500000000000003;0.265
89.0;0.026300000000000004;0.263
90.0;0.026500000000000003;0.265
