"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__405_error","metricsArrayString__power_instruction","metricsArrayString__405_power","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-03T11:56:13Z","0.001","0","0.006","powerMeter","1","1","6","-0.3696857670979714","0.18032858808360563","301.2517972119774","0.542","0.1802478873239436","-0.001"
"","0.001","1","0.006","","3","5","28","","","","","",""
"","0.001","2","0.006","","5","10","54","","","","","",""
"","0.001","3","0.006","","11","20","110","","","","","",""
"","0.001","4","0.006","","16","30","162","","","","","",""
"","0.001","5","0.006","","22","40","218","","","","","",""
"","0.001","6","0.006","","27","50","272","","","","","",""
"","0.001","7","0.006","","32","60","324","","","","","",""
"","0.001","8","0.006","","38","70","380","","","","","",""
"","0.001","9","0.006","","43","80","432","","","","","",""
"","0.001","10","0.006","","49","90","489","","","","","",""
"","0.001","11","0.006","","54","100","541","","","","","",""
"","0.001","12","0.006","","","","","","","","","",""
"","0.001","13","0.006","","","","","","","","","",""
"","0.001","14","0.006","","","","","","","","","",""
"","0.001","15","0.005","","","","","","","","","",""
"","0.001","16","0.006","","","","","","","","","",""
"","0.001","17","0.006","","","","","","","","","",""
"","0.001","18","0.006","","","","","","","","","",""
"","0.001","19","0.006","","","","","","","","","",""
"","0.001","20","0.007","","","","","","","","","",""
"","0","21","0","","","","","","","","","",""
"","0","22","-0.001","","","","","","","","","",""
"","0","23","0","","","","","","","","","",""
"","0","24","0","","","","","","","","","",""
"","0","25","-0.001","","","","","","","","","",""
"","0","26","-0.001","","","","","","","","","",""
"","0","27","-0.001","","","","","","","","","",""
"","0","28","0.001","","","","","","","","","",""
"","0.001","29","0.006","","","","","","","","","",""
"","0.001","30","0.007","","","","","","","","","",""
"","0.001","31","0.006","","","","","","","","","",""
"","0.001","32","0.007","","","","","","","","","",""
"","0.001","33","0.006","","","","","","","","","",""
"","0.001","34","0.007","","","","","","","","","",""
"","0.001","35","0.012","","","","","","","","","",""
"","0.002","36","0.024","","","","","","","","","",""
"","0.003","37","0.028","","","","","","","","","",""
"","0.003","38","0.027","","","","","","","","","",""
"","0.003","39","0.027","","","","","","","","","",""
"","0.003","40","0.028","","","","","","","","","",""
"","0.003","41","0.028","","","","","","","","","",""
"","0.004","42","0.042","","","","","","","","","",""
"","0.007","43","0.066","","","","","","","","","",""
"","0.005","44","0.055","","","","","","","","","",""
"","0.005","45","0.054","","","","","","","","","",""
"","0.005","46","0.053","","","","","","","","","",""
"","0.005","47","0.054","","","","","","","","","",""
"","0.005","48","0.054","","","","","","","","","",""
"","0.005","49","0.055","","","","","","","","","",""
"","0.005","50","0.054","","","","","","","","","",""
"","0.005","51","0.055","","","","","","","","","",""
"","0.006","52","0.06","","","","","","","","","",""
"","0.008","53","0.079","","","","","","","","","",""
"","0.01","54","0.102","","","","","","","","","",""
"","0.011","55","0.108","","","","","","","","","",""
"","0.011","56","0.108","","","","","","","","","",""
"","0.011","57","0.108","","","","","","","","","",""
"","0.011","58","0.11","","","","","","","","","",""
"","0.011","59","0.11","","","","","","","","","",""
"","0.011","60","0.112","","","","","","","","","",""
"","0.015","61","0.154","","","","","","","","","",""
"","0.016","62","0.164","","","","","","","","","",""
"","0.016","63","0.163","","","","","","","","","",""
"","0.016","64","0.162","","","","","","","","","",""
"","0.016","65","0.163","","","","","","","","","",""
"","0.02","66","0.201","","","","","","","","","",""
"","0.022","67","0.22","","","","","","","","","",""
"","0.022","68","0.219","","","","","","","","","",""
"","0.022","69","0.218","","","","","","","","","",""
"","0.022","70","0.218","","","","","","","","","",""
"","0.022","71","0.218","","","","","","","","","",""
"","0.024","72","0.238","","","","","","","","","",""
"","0.029","73","0.292","","","","","","","","","",""
"","0.028","74","0.279","","","","","","","","","",""
