"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__power_instruction","metricsArrayString__488_power","metricsArrayString__488_error","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-03T11:59:56Z","0.012","0","0.119","powerMeter","1","4","0","-0.92592592592593","0.06944734647685621","430.41377861793745","0.217","0.05064893617021276","-0.001"
"","0","1","0.003","","5","13","1","","","","","",""
"","0","2","0.004","","10","26","3","","","","","",""
"","0","3","0.004","","20","51","5","","","","","",""
"","0","4","0.003","","30","78","8","","","","","",""
"","0","5","-0.001","","40","101","10","","","","","",""
"","0","6","0","","50","123","12","","","","","",""
"","0","7","-0.001","","60","145","15","","","","","",""
"","0","8","-0.001","","70","166","17","","","","","",""
"","0","9","0","","80","189","19","","","","","",""
"","0","10","-0.001","","90","205","20","","","","","",""
"","0","11","0","","100","216","22","","","","","",""
"","0","12","0","","","","","","","","","",""
"","0","13","0","","","","","","","","","",""
"","0","14","0","","","","","","","","","",""
"","0","15","-0.001","","","","","","","","","",""
"","0","16","-0.001","","","","","","","","","",""
"","0","17","-0.001","","","","","","","","","",""
"","0","18","0","","","","","","","","","",""
"","0","19","-0.001","","","","","","","","","",""
"","0","20","-0.001","","","","","","","","","",""
"","0","21","-0.001","","","","","","","","","",""
"","0","22","-0.001","","","","","","","","","",""
"","0","23","-0.001","","","","","","","","","",""
"","0","24","0","","","","","","","","","",""
"","0","25","0","","","","","","","","","",""
"","0","26","0","","","","","","","","","",""
"","0","27","0","","","","","","","","","",""
"","0","28","-0.001","","","","","","","","","",""
"","0","29","-0.001","","","","","","","","","",""
"","0","30","-0.001","","","","","","","","","",""
"","0","31","0","","","","","","","","","",""
"","0","32","-0.001","","","","","","","","","",""
"","0","33","-0.001","","","","","","","","","",""
"","0","34","-0.001","","","","","","","","","",""
"","0","35","-0.001","","","","","","","","","",""
"","0","36","-0.001","","","","","","","","","",""
"","0","37","-0.001","","","","","","","","","",""
"","0","38","-0.001","","","","","","","","","",""
"","0","39","-0.001","","","","","","","","","",""
"","0","40","-0.001","","","","","","","","","",""
"","0","41","-0.001","","","","","","","","","",""
"","0","42","0","","","","","","","","","",""
"","0","43","-0.001","","","","","","","","","",""
"","0","44","0","","","","","","","","","",""
"","0","45","-0.001","","","","","","","","","",""
"","0","46","0.001","","","","","","","","","",""
"","0","47","0.002","","","","","","","","","",""
"","0","48","0.002","","","","","","","","","",""
"","0","49","0.001","","","","","","","","","",""
"","0","50","0.001","","","","","","","","","",""
"","0","51","0.002","","","","","","","","","",""
"","0","52","0.003","","","","","","","","","",""
"","0.001","53","0.006","","","","","","","","","",""
"","0.001","54","0.009","","","","","","","","","",""
"","0.001","55","0.012","","","","","","","","","",""
"","0.001","56","0.012","","","","","","","","","",""
"","0.001","57","0.012","","","","","","","","","",""
"","0.001","58","0.013","","","","","","","","","",""
"","0.002","59","0.017","","","","","","","","","",""
"","0.002","60","0.022","","","","","","","","","",""
"","0.002","61","0.023","","","","","","","","","",""
"","0.003","62","0.026","","","","","","","","","",""
"","0.003","63","0.025","","","","","","","","","",""
"","0.003","64","0.025","","","","","","","","","",""
"","0","65","0.001","","","","","","","","","",""
"","0","66","-0.001","","","","","","","","","",""
"","0","67","0","","","","","","","","","",""
"","0","68","0","","","","","","","","","",""
"","0","69","0","","","","","","","","","",""
"","0","70","0","","","","","","","","","",""
"","0","71","-0.001","","","","","","","","","",""
"","0","72","-0.001","","","","","","","","","",""
"","0","73","-0.001","","","","","","","","","",""
"","0","74","-0.001","","","","","","","","","",""
"","0","75","-0.001","","","","","","","","","",""
"","0","76","-0.001","","","","","","","","","",""
"","0","77","-0.001","","","","","","","","","",""
"","0","78","-0.001","","","","","","","","","",""
"","0","79","-0.001","","","","","","","","","",""
"","0","80","-0.001","","","","","","","","","",""
"","0","81","0","","","","","","","","","",""
"","0","82","-0.001","","","","","","","","","",""
"","0","83","-0.001","","","","","","","","","",""
"","0","84","-0.001","","","","","","","","","",""
"","0","85","0","","","","","","","","","",""
"","0","86","-0.001","","","","","","","","","",""
"","0","87","0","","","","","","","","","",""
"","0","88","-0.001","","","","","","","","","",""
"","0","89","-0.001","","","","","","","","","",""
"","0","90","0","","","","","","","","","",""
"","0","91","-0.001","","","","","","","","","",""
"","0","92","-0.001","","","","","","","","","",""
"","0","93","0","","","","","","","","","",""
"","0","94","0","","","","","","","","","",""
"","0.009","95","0.085","","","","","","","","","",""
"","0.013","96","0.128","","","","","","","","","",""
"","0.013","97","0.126","","","","","","","","","",""
"","0.012","98","0.125","","","","","","","","","",""
"","0.008","99","0.076","","","","","","","","","",""
"","0.003","100","0.033","","","","","","","","","",""
"","0.002","101","0.019","","","","","","","","","",""
"","0.001","102","0.014","","","","","","","","","",""
"","0.001","103","0.01","","","","","","","","","",""
"","0.001","104","0.007","","","","","","","","","",""
"","0.001","105","0.005","","","","","","","","","",""
"","0","106","0.004","","","","","","","","","",""
"","0","107","0.003","","","","","","","","","",""
"","0","108","0.004","","","","","","","","","",""
"","0","109","0.004","","","","","","","","","",""
"","0","110","0.005","","","","","","","","","",""
"","0.001","111","0.007","","","","","","","","","",""
"","0.001","112","0.011","","","","","","","","","",""
"","0.001","113","0.012","","","","","","","","","",""
"","0.001","114","0.013","","","","","","","","","",""
"","0.001","115","0.013","","","","","","","","","",""
"","0.001","116","0.013","","","","","","","","","",""
"","0.002","117","0.018","","","","","","","","","",""
"","0.002","118","0.023","","","","","","","","","",""
"","0.003","119","0.025","","","","","","","","","",""
"","0.003","120","0.026","","","","","","","","","",""
"","0.003","121","0.026","","","","","","","","","",""
"","0.003","122","0.026","","","","","","","","","",""
"","0.003","123","0.029","","","","","","","","","",""
"","0.004","124","0.04","","","","","","","","","",""
"","0.005","125","0.048","","","","","","","","","",""
"","0.005","126","0.051","","","","","","","","","",""
"","0.005","127","0.051","","","","","","","","","",""
"","0.005","128","0.051","","","","","","","","","",""
"","0.007","129","0.066","","","","","","","","","",""
"","0.008","130","0.078","","","","","","","","","",""
"","0.008","131","0.077","","","","","","","","","",""
"","0.008","132","0.078","","","","","","","","","",""
"","0.008","133","0.08","","","","","","","","","",""
"","0.011","134","0.108","","","","","","","","","",""
"","0.01","135","0.104","","","","","","","","","",""
"","0.01","136","0.101","","","","","","","","","",""
"","0.01","137","0.102","","","","","","","","","",""
"","0.01","138","0.101","","","","","","","","","",""
"","0.01","139","0.101","","","","","","","","","",""
"","0.01","140","0.101","","","","","","","","","",""
"","0.01","141","0.102","","","","","","","","","",""
"","0.013","142","0.126","","","","","","","","","",""
"","0.013","143","0.133","","","","","","","","","",""
"","0.013","144","0.134","","","","","","","","","",""
"","0.014","145","0.14","","","","","","","","","",""
"","0.014","146","0.144","","","","","","","","","",""
"","0.013","147","0.131","","","","","","","","","",""
"","0.012","148","0.125","","","","","","","","","",""
"","0.012","149","0.122","","","","","","","","","",""
"","0.012","150","0.123","","","","","","","","","",""
"","0.012","151","0.123","","","","","","","","","",""
"","0.012","152","0.123","","","","","","","","","",""
"","0.012","153","0.123","","","","","","","","","",""
"","0.012","154","0.125","","","","","","","","","",""
"","0.015","155","0.147","","","","","","","","","",""
"","0.014","156","0.144","","","","","","","","","",""
"","0.014","157","0.144","","","","","","","","","",""
"","0.015","158","0.145","","","","","","","","","",""
"","0.014","159","0.144","","","","","","","","","",""
"","0.015","160","0.154","","","","","","","","","",""
"","0.018","161","0.176","","","","","","","","","",""
"","0.017","162","0.167","","","","","","","","","",""
"","0.017","163","0.166","","","","","","","","","",""
"","0.017","164","0.167","","","","","","","","","",""
"","0.017","165","0.166","","","","","","","","","",""
"","0.017","166","0.17","","","","","","","","","",""
"","0.019","167","0.193","","","","","","","","","",""
"","0.019","168","0.188","","","","","","","","","",""
"","0.019","169","0.189","","","","","","","","","",""
"","0.019","170","0.189","","","","","","","","","",""
"","0.019","171","0.192","","","","","","","","","",""
"","0.021","172","0.211","","","","","","","","","",""
"","0.021","173","0.206","","","","","","","","","",""
"","0.021","174","0.206","","","","","","","","","",""
"","0.02","175","0.205","","","","","","","","","",""
"","0.021","176","0.209","","","","","","","","","",""
"","0.022","177","0.217","","","","","","","","","",""
"","0.022","178","0.215","","","","","","","","","",""
"","0.022","179","0.216","","","","","","","","","",""
"","0.022","180","0.216","","","","","","","","","",""
