"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__633_error","metricsArrayString__633_power","metricsArrayString__power_instruction","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-03T12:03:50Z","0.035","0","0.346","powerMeter","1","9","1","0","0.25892304937381977","272.0386032273129","0.749","0.27532857142857137","0"
"","0","1","0.002","","4","44","5","","","","","",""
"","0","2","0.002","","9","86","10","","","","","",""
"","0","3","0.002","","17","170","20","","","","","",""
"","0","4","0.001","","25","251","30","","","","","",""
"","0","5","0","","34","336","40","","","","","",""
"","0","6","0","","42","417","50","","","","","",""
"","0","7","0","","49","493","60","","","","","",""
"","0","8","0","","56","564","70","","","","","",""
"","0","9","0","","64","644","80","","","","","",""
"","0","10","0","","71","710","90","","","","","",""
"","0","11","0","","75","747","100","","","","","",""
"","0.001","12","0.006","","","","","","","","","",""
"","0.001","13","0.009","","","","","","","","","",""
"","0.001","14","0.009","","","","","","","","","",""
"","0.001","15","0.009","","","","","","","","","",""
"","0.001","16","0.009","","","","","","","","","",""
"","0.001","17","0.011","","","","","","","","","",""
"","0.002","18","0.016","","","","","","","","","",""
"","0.003","19","0.034","","","","","","","","","",""
"","0.004","20","0.043","","","","","","","","","",""
"","0.004","21","0.044","","","","","","","","","",""
"","0.004","22","0.044","","","","","","","","","",""
"","0.005","23","0.045","","","","","","","","","",""
"","0.006","24","0.065","","","","","","","","","",""
"","0.008","25","0.077","","","","","","","","","",""
"","0.009","26","0.085","","","","","","","","","",""
"","0.009","27","0.086","","","","","","","","","",""
"","0.009","28","0.086","","","","","","","","","",""
"","0.009","29","0.087","","","","","","","","","",""
"","0.01","30","0.104","","","","","","","","","",""
"","0.014","31","0.14","","","","","","","","","",""
"","0.017","32","0.166","","","","","","","","","",""
"","0.017","33","0.17","","","","","","","","","",""
"","0.017","34","0.17","","","","","","","","","",""
"","0.017","35","0.171","","","","","","","","","",""
"","0.022","36","0.225","","","","","","","","","",""
"","0.025","37","0.254","","","","","","","","","",""
"","0.02","38","0.197","","","","","","","","","",""
"","0","39","0","","","","","","","","","",""
"","0","40","0","","","","","","","","","",""
"","0","41","0","","","","","","","","","",""
"","0","42","0","","","","","","","","","",""
"","0","43","0","","","","","","","","","",""
"","0","44","0","","","","","","","","","",""
"","0.012","45","0.121","","","","","","","","","",""
"","0.025","46","0.252","","","","","","","","","",""
"","0.025","47","0.251","","","","","","","","","",""
"","0.025","48","0.251","","","","","","","","","",""
"","0.025","49","0.252","","","","","","","","","",""
"","0.026","50","0.257","","","","","","","","","",""
"","0.033","51","0.33","","","","","","","","","",""
"","0.033","52","0.335","","","","","","","","","",""
"","0.034","53","0.336","","","","","","","","","",""
"","0.034","54","0.337","","","","","","","","","",""
"","0.034","55","0.335","","","","","","","","","",""
"","0.04","56","0.401","","","","","","","","","",""
"","0.041","57","0.411","","","","","","","","","",""
"","0.041","58","0.415","","","","","","","","","",""
"","0.042","59","0.419","","","","","","","","","",""
"","0.042","60","0.419","","","","","","","","","",""
"","0.042","61","0.417","","","","","","","","","",""
"","0.042","62","0.418","","","","","","","","","",""
"","0.048","63","0.479","","","","","","","","","",""
"","0.049","64","0.493","","","","","","","","","",""
"","0.049","65","0.488","","","","","","","","","",""
"","0.049","66","0.493","","","","","","","","","",""
"","0.052","67","0.523","","","","","","","","","",""
"","0.06","68","0.597","","","","","","","","","",""
"","0.058","69","0.584","","","","","","","","","",""
"","0.057","70","0.569","","","","","","","","","",""
"","0.056","71","0.564","","","","","","","","","",""
"","0.057","72","0.569","","","","","","","","","",""
"","0.058","73","0.582","","","","","","","","","",""
"","0.061","74","0.611","","","","","","","","","",""
"","0.063","75","0.634","","","","","","","","","",""
"","0.064","76","0.644","","","","","","","","","",""
"","0.064","77","0.644","","","","","","","","","",""
"","0.064","78","0.64","","","","","","","","","",""
"","0.069","79","0.693","","","","","","","","","",""
"","0.071","80","0.715","","","","","","","","","",""
"","0.071","81","0.708","","","","","","","","","",""
"","0.071","82","0.71","","","","","","","","","",""
"","0.072","83","0.719","","","","","","","","","",""
"","0.074","84","0.74","","","","","","","","","",""
"","0.075","85","0.747","","","","","","","","","",""
"","0.075","86","0.749","","","","","","","","","",""
"","0.075","87","0.747","","","","","","","","","",""
"","0.009","88","0.09","","","","","","","","","",""
