"date","metricsArrays2__measuredOpticalPowerError","metricsArrays2__time","metricsArrays2__measuredOpticalPowerAverage","name","metricsArrayString__750_power","metricsArrayString__750_error","metricsArrayString__power_instruction","primaryMetrics__powerStability","primaryMetrics__powerStandardDeviation","primaryMetrics__powerDeviation","primaryMetrics__powerMaximum","primaryMetrics__powerAverage","primaryMetrics__powerMinimum"
"2025-07-03T12:05:44Z","0","0","0.001","powerMeter","7","1","1","0","0.1956438855864006","285.28910114275953","0.567","0.19874576271186448","0"
"","0","1","0.001","","33","3","5","","","","","",""
"","0","2","0.002","","63","6","10","","","","","",""
"","0","3","0.001","","126","13","20","","","","","",""
"","0","4","0.001","","187","19","30","","","","","",""
"","0","5","0.002","","247","25","40","","","","","",""
"","0","6","0.002","","313","31","50","","","","","",""
"","0","7","0.001","","370","37","60","","","","","",""
"","0","8","0.001","","430","43","70","","","","","",""
"","0","9","0.001","","481","48","80","","","","","",""
"","0","10","0.001","","536","54","90","","","","","",""
"","0","11","0.001","","567","57","100","","","","","",""
"","0","12","0","","","","","","","","","",""
"","0","13","0.001","","","","","","","","","",""
"","0","14","0.001","","","","","","","","","",""
"","0","15","0.003","","","","","","","","","",""
"","0.001","16","0.007","","","","","","","","","",""
"","0.001","17","0.007","","","","","","","","","",""
"","0.001","18","0.007","","","","","","","","","",""
"","0.001","19","0.006","","","","","","","","","",""
"","0.001","20","0.009","","","","","","","","","",""
"","0.002","21","0.019","","","","","","","","","",""
"","0.003","22","0.03","","","","","","","","","",""
"","0.003","23","0.033","","","","","","","","","",""
"","0.003","24","0.033","","","","","","","","","",""
"","0.003","25","0.033","","","","","","","","","",""
"","0.004","26","0.041","","","","","","","","","",""
"","0.005","27","0.052","","","","","","","","","",""
"","0.006","28","0.057","","","","","","","","","",""
"","0.006","29","0.06","","","","","","","","","",""
"","0.006","30","0.063","","","","","","","","","",""
"","0.006","31","0.064","","","","","","","","","",""
"","0.006","32","0.063","","","","","","","","","",""
"","0.007","33","0.065","","","","","","","","","",""
"","0.009","34","0.093","","","","","","","","","",""
"","0.011","35","0.106","","","","","","","","","",""
"","0.012","36","0.119","","","","","","","","","",""
"","0.013","37","0.127","","","","","","","","","",""
"","0.013","38","0.126","","","","","","","","","",""
"","0.013","39","0.126","","","","","","","","","",""
"","0.013","40","0.133","","","","","","","","","",""
"","0.018","41","0.179","","","","","","","","","",""
"","0.019","42","0.187","","","","","","","","","",""
"","0.019","43","0.187","","","","","","","","","",""
"","0.003","44","0.028","","","","","","","","","",""
"","0","45","0","","","","","","","","","",""
"","0","46","0.001","","","","","","","","","",""
"","0","47","0.001","","","","","","","","","",""
"","0","48","0.001","","","","","","","","","",""
"","0","49","0","","","","","","","","","",""
"","0","50","0.001","","","","","","","","","",""
"","0.004","51","0.036","","","","","","","","","",""
"","0.019","52","0.187","","","","","","","","","",""
"","0.019","53","0.187","","","","","","","","","",""
"","0.019","54","0.188","","","","","","","","","",""
"","0.019","55","0.187","","","","","","","","","",""
"","0.019","56","0.186","","","","","","","","","",""
"","0.019","57","0.191","","","","","","","","","",""
"","0.023","58","0.232","","","","","","","","","",""
"","0.025","59","0.25","","","","","","","","","",""
"","0.025","60","0.247","","","","","","","","","",""
"","0.025","61","0.249","","","","","","","","","",""
"","0.028","62","0.275","","","","","","","","","",""
"","0.031","63","0.312","","","","","","","","","",""
"","0.031","64","0.313","","","","","","","","","",""
"","0.031","65","0.313","","","","","","","","","",""
"","0.031","66","0.311","","","","","","","","","",""
"","0.033","67","0.331","","","","","","","","","",""
"","0.038","68","0.376","","","","","","","","","",""
"","0.037","69","0.37","","","","","","","","","",""
"","0.037","70","0.369","","","","","","","","","",""
"","0.037","71","0.37","","","","","","","","","",""
"","0.037","72","0.372","","","","","","","","","",""
"","0.041","73","0.407","","","","","","","","","",""
"","0.043","74","0.435","","","","","","","","","",""
"","0.043","75","0.431","","","","","","","","","",""
"","0.043","76","0.427","","","","","","","","","",""
"","0.043","77","0.43","","","","","","","","","",""
"","0.043","78","0.43","","","","","","","","","",""
"","0.046","79","0.463","","","","","","","","","",""
"","0.049","80","0.485","","","","","","","","","",""
"","0.048","81","0.482","","","","","","","","","",""
"","0.048","82","0.481","","","","","","","","","",""
"","0.048","83","0.483","","","","","","","","","",""
"","0.052","84","0.524","","","","","","","","","",""
"","0.055","85","0.552","","","","","","","","","",""
"","0.054","86","0.537","","","","","","","","","",""
"","0.054","87","0.535","","","","","","","","","",""
"","0.054","88","0.536","","","","","","","","","",""
"","0.054","89","0.542","","","","","","","","","",""
"","0.057","90","0.566","","","","","","","","","",""
"","0.057","91","0.567","","","","","","","","","",""
"","0.056","92","0.563","","","","","","","","","",""
"","0.046","93","0.457","","","","","","","","","",""
