Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_measured_optical_power_vs_acquisition_duration.jpg;power_meter_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.21657051282051284;0.18423444060677785;0.558;-0.001;258.11454787627645;-0.35906642728904536

Result table values
power_instruction;405_power;405_error
0.0;-0.0;-0.0
1.0;8.0;0.8
5.0;30.0;3.0
10.0;58.0;5.8
20.0;113.0;11.3
30.0;168.0;16.8
40.0;225.0;22.5
50.0;277.0;27.7
60.0;336.0;33.6
70.0;390.0;39.0
80.0;445.0;44.5
90.0;501.0;50.1
100.0;556.0;55.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;0.0;0.0
3.0;-0.0;-0.0
4.0;-1.0E-4;-0.001
5.0;8.0E-4;0.008
6.0;0.0043;0.043
7.0;0.004200000000000001;0.042
8.0;0.004200000000000001;0.042
9.0;0.004200000000000001;0.042
10.0;0.004200000000000001;0.042
11.0;1.0E-4;0.001
12.0;0.0;0.0
13.0;0.0;0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;1.0E-4;0.001
19.0;0.0;0.0
20.0;1.0E-4;0.001
21.0;0.0;0.0
22.0;5.0E-4;0.005
23.0;8.0E-4;0.008
24.0;9.0E-4;0.009
25.0;8.0E-4;0.008
26.0;9.0E-4;0.009
27.0;8.0E-4;0.008
28.0;8.0E-4;0.008
29.0;8.0E-4;0.008
30.0;8.0E-4;0.008
31.0;8.0E-4;0.008
32.0;9.0E-4;0.009
33.0;8.0E-4;0.008
34.0;0.002;0.02
35.0;0.003;0.03
36.0;0.003;0.03
37.0;0.003;0.03
38.0;0.003;0.03
39.0;0.0031000000000000003;0.031
40.0;0.003;0.03
41.0;0.003;0.03
42.0;0.003;0.03
43.0;0.003;0.03
44.0;0.003;0.03
45.0;0.0036;0.036
46.0;0.0058000000000000005;0.058
47.0;0.0057;0.057
48.0;0.0058000000000000005;0.058
49.0;0.0058000000000000005;0.058
50.0;0.0057;0.057
51.0;0.0058000000000000005;0.058
52.0;0.0057;0.057
53.0;0.0058000000000000005;0.058
54.0;0.0058000000000000005;0.058
55.0;0.0077;0.077
56.0;0.0114;0.114
57.0;0.0114;0.114
58.0;0.0114;0.114
59.0;0.0114;0.114
60.0;0.0114;0.114
61.0;0.011300000000000001;0.113
62.0;0.011300000000000001;0.113
63.0;0.011300000000000001;0.113
64.0;0.0114;0.114
65.0;0.011200000000000002;0.112
66.0;0.011300000000000001;0.113
67.0;0.011200000000000002;0.112
68.0;0.016;0.16
69.0;0.016800000000000002;0.168
70.0;0.016800000000000002;0.168
71.0;0.016900000000000002;0.169
72.0;0.016800000000000002;0.168
73.0;0.017;0.17
74.0;0.016900000000000002;0.169
75.0;0.016900000000000002;0.169
76.0;0.016800000000000002;0.168
77.0;0.017;0.17
78.0;0.022400000000000003;0.224
79.0;0.022400000000000003;0.224
80.0;0.022500000000000003;0.225
81.0;0.022500000000000003;0.225
82.0;0.0223;0.223
83.0;0.022500000000000003;0.225
84.0;0.022500000000000003;0.225
85.0;0.022400000000000003;0.224
86.0;0.022400000000000003;0.224
87.0;0.022500000000000003;0.225
88.0;0.0223;0.223
89.0;0.0222;0.222
90.0;0.025900000000000003;0.259
91.0;0.028100000000000003;0.281
92.0;0.027700000000000002;0.277
93.0;0.027900000000000005;0.279
94.0;0.027900000000000005;0.279
95.0;0.027700000000000002;0.277
96.0;0.027900000000000005;0.279
97.0;0.027900000000000005;0.279
98.0;0.027900000000000005;0.279
99.0;0.030600000000000002;0.306
100.0;0.0335;0.335
101.0;0.033600000000000005;0.336
102.0;0.0333;0.333
103.0;0.0335;0.335
104.0;0.033600000000000005;0.336
105.0;0.0333;0.333
106.0;0.0335;0.335
107.0;0.0337;0.337
108.0;0.033600000000000005;0.336
109.0;0.0333;0.333
110.0;0.0335;0.335
111.0;0.0335;0.335
112.0;0.033400000000000006;0.334
113.0;0.0335;0.335
114.0;0.033600000000000005;0.336
115.0;0.033600000000000005;0.336
116.0;0.033400000000000006;0.334
117.0;0.033900000000000007;0.339
118.0;0.039200000000000006;0.392
119.0;0.038900000000000004;0.389
120.0;0.0391;0.391
121.0;0.03900000000000001;0.39
122.0;0.038900000000000004;0.389
123.0;0.03900000000000001;0.39
124.0;0.0391;0.391
125.0;0.03900000000000001;0.39
126.0;0.038700000000000005;0.387
127.0;0.0403;0.403
128.0;0.0446;0.446
129.0;0.0441;0.441
130.0;0.044500000000000005;0.445
131.0;0.044500000000000005;0.445
132.0;0.0441;0.441
133.0;0.044500000000000005;0.445
134.0;0.0444;0.444
135.0;0.044300000000000006;0.443
136.0;0.0482;0.482
137.0;0.0499;0.499
138.0;0.0499;0.499
139.0;0.049600000000000005;0.496
140.0;0.05;0.5
141.0;0.050100000000000006;0.501
142.0;0.0499;0.499
143.0;0.05;0.5
144.0;0.05;0.5
145.0;0.050100000000000006;0.501
146.0;0.0519;0.519
147.0;0.05580000000000001;0.558
148.0;0.055700000000000006;0.557
149.0;0.055400000000000005;0.554
150.0;0.05560000000000001;0.556
151.0;0.05560000000000001;0.556
152.0;0.05560000000000001;0.556
153.0;0.055400000000000005;0.554
154.0;0.05550000000000001;0.555
155.0;0.05550000000000001;0.555
