Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_750_measured_optical_power_vs_acquisition_duration.jpg;power_meter_750_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.16353571428571437;0.1765504544282359;0.495;-0.004;305.13212491810424;-1.6293279022403295

Result table values
power_instruction;750_power;750_error
0.0;-0.0;-0.0
1.0;5.0;0.5
5.0;27.0;2.7
10.0;53.0;5.3
20.0;108.0;10.8
30.0;161.0;16.1
40.0;213.0;21.3
50.0;267.0;26.7
60.0;317.0;31.7
70.0;369.0;36.9
80.0;418.0;41.8
90.0;465.0;46.5
100.0;494.0;49.4
time;measured_optical_power_error;measured_optical_power_average
0.0;-4.0E-4;-0.004
1.0;-4.0E-4;-0.004
2.0;-4.0E-4;-0.004
3.0;-1.0E-4;-0.001
4.0;0.001;0.01
5.0;0.001;0.01
6.0;0.001;0.01
7.0;0.001;0.01
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;0.0;0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;0.0;0.0
19.0;-0.0;-0.0
20.0;0.0;0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;0.0;0.0
27.0;-0.0;-0.0
28.0;-0.0;-0.0
29.0;0.0;0.0
30.0;-0.0;-0.0
31.0;0.0;0.0
32.0;-0.0;-0.0
33.0;-0.0;-0.0
34.0;0.0;0.0
35.0;-0.0;-0.0
36.0;-0.0;-0.0
37.0;0.0;0.0
38.0;-0.0;-0.0
39.0;-0.0;-0.0
40.0;-0.0;-0.0
41.0;0.0;0.0
42.0;5.0E-4;0.005
43.0;5.0E-4;0.005
44.0;5.0E-4;0.005
45.0;5.0E-4;0.005
46.0;5.0E-4;0.005
47.0;5.0E-4;0.005
48.0;5.0E-4;0.005
49.0;6.000000000000001E-4;0.006
50.0;6.000000000000001E-4;0.006
51.0;0.0018;0.018
52.0;0.0027;0.027
53.0;0.0027;0.027
54.0;0.0027;0.027
55.0;0.0027;0.027
56.0;0.0027;0.027
57.0;0.0027;0.027
58.0;0.0027;0.027
59.0;0.0027;0.027
60.0;0.0051;0.051
61.0;0.0053;0.053
62.0;0.0054;0.054
63.0;0.0053;0.053
64.0;0.0054;0.054
65.0;0.0054;0.054
66.0;0.0053;0.053
67.0;0.0054;0.054
68.0;0.0054;0.054
69.0;0.0099;0.099
70.0;0.010700000000000001;0.107
71.0;0.0108;0.108
72.0;0.0108;0.108
73.0;0.010700000000000001;0.107
74.0;0.0108;0.108
75.0;0.0108;0.108
76.0;0.0108;0.108
77.0;0.0151;0.151
78.0;0.0161;0.161
79.0;0.0161;0.161
80.0;0.0161;0.161
81.0;0.0161;0.161
82.0;0.0161;0.161
83.0;0.016;0.16
84.0;0.0179;0.179
85.0;0.021400000000000002;0.214
86.0;0.021400000000000002;0.214
87.0;0.0213;0.213
88.0;0.021400000000000002;0.214
89.0;0.021400000000000002;0.214
90.0;0.0213;0.213
91.0;0.021400000000000002;0.214
92.0;0.0262;0.262
93.0;0.026400000000000003;0.264
94.0;0.026600000000000002;0.266
95.0;0.0267;0.267
96.0;0.026600000000000002;0.266
97.0;0.0267;0.267
98.0;0.0267;0.267
99.0;0.0267;0.267
100.0;0.031400000000000004;0.314
101.0;0.031900000000000005;0.319
102.0;0.031900000000000005;0.319
103.0;0.0317;0.317
104.0;0.031900000000000005;0.319
105.0;0.032;0.32
106.0;0.0317;0.317
107.0;0.0318;0.318
108.0;0.0335;0.335
109.0;0.0368;0.368
110.0;0.0366;0.366
111.0;0.0368;0.368
112.0;0.0369;0.369
113.0;0.0365;0.365
114.0;0.0368;0.368
115.0;0.0368;0.368
116.0;0.0374;0.374
117.0;0.0416;0.416
118.0;0.0416;0.416
119.0;0.041800000000000004;0.418
120.0;0.0415;0.415
121.0;0.0419;0.419
122.0;0.0419;0.419
123.0;0.0416;0.416
124.0;0.043300000000000005;0.433
125.0;0.0466;0.466
126.0;0.0466;0.466
127.0;0.04630000000000001;0.463
128.0;0.04650000000000001;0.465
129.0;0.0466;0.466
130.0;0.046200000000000005;0.462
131.0;0.0466;0.466
132.0;0.04650000000000001;0.465
133.0;0.048;0.48
134.0;0.0494;0.494
135.0;0.0494;0.494
136.0;0.0494;0.494
137.0;0.049;0.49
138.0;0.0495;0.495
139.0;0.0495;0.495
