Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_790_measured_optical_power_vs_acquisition_duration.jpg;power_meter_790_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.1321788617886179;0.12201757856912261;0.337;-0.0;254.95755935539427;0.0

Result table values
power_instruction;790_power;790_error
0.0;0.0;0.0
1.0;4.0;0.4
5.0;18.0;1.8
10.0;36.0;3.6
20.0;72.0;7.2
30.0;108.0;10.8
40.0;145.0;14.5
50.0;179.0;17.9
60.0;214.0;21.4
70.0;250.0;25.0
80.0;279.0;27.9
90.0;314.0;31.4
100.0;336.0;33.6
time;measured_optical_power_error;measured_optical_power_average
0.0;8.0E-4;0.008
1.0;9.0E-4;0.009
2.0;9.0E-4;0.009
3.0;9.0E-4;0.009
4.0;9.0E-4;0.009
5.0;9.0E-4;0.009
6.0;9.0E-4;0.009
7.0;9.0E-4;0.009
8.0;9.0E-4;0.009
9.0;9.0E-4;0.009
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;0.0;0.0
20.0;-0.0;-0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;0.0;0.0
26.0;0.0;0.0
27.0;4.0E-4;0.004
28.0;4.0E-4;0.004
29.0;4.0E-4;0.004
30.0;4.0E-4;0.004
31.0;4.0E-4;0.004
32.0;4.0E-4;0.004
33.0;4.0E-4;0.004
34.0;4.0E-4;0.004
35.0;0.0018;0.018
36.0;0.0018;0.018
37.0;0.0018;0.018
38.0;0.0018;0.018
39.0;0.0018;0.018
40.0;0.0018;0.018
41.0;0.0018;0.018
42.0;0.0027;0.027
43.0;0.0036;0.036
44.0;0.0036;0.036
45.0;0.0036;0.036
46.0;0.0036;0.036
47.0;0.0036;0.036
48.0;0.0036;0.036
49.0;0.0036;0.036
50.0;0.0072;0.072
51.0;0.0073;0.073
52.0;0.0072;0.072
53.0;0.0072;0.072
54.0;0.0073;0.073
55.0;0.0073;0.073
56.0;0.0073;0.073
57.0;0.009;0.09
58.0;0.0109;0.109
59.0;0.0109;0.109
60.0;0.0108;0.108
61.0;0.0109;0.109
62.0;0.0109;0.109
63.0;0.0109;0.109
64.0;0.0109;0.109
65.0;0.013500000000000002;0.135
66.0;0.0144;0.144
67.0;0.0144;0.144
68.0;0.014499999999999999;0.145
69.0;0.014499999999999999;0.145
70.0;0.0143;0.143
71.0;0.0144;0.144
72.0;0.015;0.15
73.0;0.0178;0.178
74.0;0.0179;0.179
75.0;0.0179;0.179
76.0;0.0178;0.178
77.0;0.0179;0.179
78.0;0.0179;0.179
79.0;0.018;0.18
80.0;0.018600000000000002;0.186
81.0;0.021500000000000002;0.215
82.0;0.021500000000000002;0.215
83.0;0.021400000000000002;0.214
84.0;0.021500000000000002;0.215
85.0;0.0216;0.216
86.0;0.021500000000000002;0.215
87.0;0.021400000000000002;0.214
88.0;0.0239;0.239
89.0;0.025;0.25
90.0;0.024800000000000003;0.248
91.0;0.025;0.25
92.0;0.025;0.25
93.0;0.024800000000000003;0.248
94.0;0.024900000000000002;0.249
95.0;0.025;0.25
96.0;0.025;0.25
97.0;0.025400000000000002;0.254
98.0;0.0282;0.282
99.0;0.0282;0.282
100.0;0.027900000000000005;0.279
101.0;0.0282;0.282
102.0;0.0282;0.282
103.0;0.0282;0.282
104.0;0.028100000000000003;0.281
105.0;0.0289;0.289
106.0;0.0313;0.313
107.0;0.031100000000000003;0.311
108.0;0.031400000000000004;0.314
109.0;0.031400000000000004;0.314
110.0;0.031200000000000002;0.312
111.0;0.031400000000000004;0.314
112.0;0.0315;0.315
113.0;0.0323;0.323
114.0;0.0332;0.332
115.0;0.0335;0.335
116.0;0.033600000000000005;0.336
117.0;0.033400000000000006;0.334
118.0;0.033600000000000005;0.336
119.0;0.033600000000000005;0.336
120.0;0.0335;0.335
121.0;0.033600000000000005;0.336
122.0;0.0337;0.337
