Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
03-26_790_measured_optical_power_vs_acquisition_duration.jpg;03-26_790_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.22483458646616541;0.19192452257320317;0.602;0.0;267.75239942480687;0.0

Result table values
power_instruction;750_power;750_error
0.0;-0.0;-0.0
1.0;6.0;0.6
5.0;29.0;2.9
10.0;59.0;5.9
20.0;117.0;11.7
30.0;178.0;17.8
40.0;238.0;23.8
50.0;297.0;29.7
60.0;355.0;35.5
70.0;418.0;41.8
80.0;475.0;47.5
90.0;538.0;53.8
100.0;601.0;60.1
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;0.0;0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;0.0;0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;1.0E-4;0.001
13.0;1.0E-4;0.001
14.0;6.000000000000001E-4;0.006
15.0;6.000000000000001E-4;0.006
16.0;6.000000000000001E-4;0.006
17.0;6.000000000000001E-4;0.006
18.0;6.000000000000001E-4;0.006
19.0;7.000000000000001E-4;0.007
20.0;0.0029000000000000002;0.029
21.0;0.0029000000000000002;0.029
22.0;0.003;0.03
23.0;0.003;0.03
24.0;0.0029000000000000002;0.029
25.0;0.0029000000000000002;0.029
26.0;0.003;0.03
27.0;0.0029000000000000002;0.029
28.0;0.0032;0.032
29.0;0.0059;0.059
30.0;0.0059;0.059
31.0;0.0059;0.059
32.0;0.0059;0.059
33.0;0.0059;0.059
34.0;0.0059;0.059
35.0;0.0059;0.059
36.0;0.0059;0.059
37.0;0.006200000000000001;0.062
38.0;0.0118;0.118
39.0;0.0119;0.119
40.0;0.0118;0.118
41.0;0.0119;0.119
42.0;0.0118;0.118
43.0;0.011700000000000002;0.117
44.0;0.0118;0.118
45.0;0.0119;0.119
46.0;0.0118;0.118
47.0;0.0118;0.118
48.0;0.0118;0.118
49.0;0.0118;0.118
50.0;0.0118;0.118
51.0;0.0118;0.118
52.0;0.0118;0.118
53.0;0.0118;0.118
54.0;0.0118;0.118
55.0;0.0118;0.118
56.0;0.0118;0.118
57.0;0.0118;0.118
58.0;0.0119;0.119
59.0;0.0118;0.118
60.0;0.0119;0.119
61.0;0.0119;0.119
62.0;0.0118;0.118
63.0;0.0141;0.141
64.0;0.0178;0.178
65.0;0.0178;0.178
66.0;0.0178;0.178
67.0;0.0178;0.178
68.0;0.0177;0.177
69.0;0.0177;0.177
70.0;0.0178;0.178
71.0;0.0178;0.178
72.0;0.0187;0.187
73.0;0.0238;0.238
74.0;0.0236;0.236
75.0;0.0238;0.238
76.0;0.0238;0.238
77.0;0.0238;0.238
78.0;0.0238;0.238
79.0;0.0238;0.238
80.0;0.024900000000000002;0.249
81.0;0.0297;0.297
82.0;0.0298;0.298
83.0;0.0297;0.297
84.0;0.0298;0.298
85.0;0.0297;0.297
86.0;0.0296;0.296
87.0;0.0297;0.297
88.0;0.0298;0.298
89.0;0.0318;0.318
90.0;0.0358;0.358
91.0;0.0357;0.357
92.0;0.0355;0.355
93.0;0.0358;0.358
94.0;0.0357;0.357
95.0;0.0358;0.358
96.0;0.0358;0.358
97.0;0.0358;0.358
98.0;0.0373;0.373
99.0;0.0414;0.414
100.0;0.0416;0.416
101.0;0.041800000000000004;0.418
102.0;0.041800000000000004;0.418
103.0;0.041800000000000004;0.418
104.0;0.041800000000000004;0.418
105.0;0.0415;0.415
106.0;0.041800000000000004;0.418
107.0;0.041800000000000004;0.418
108.0;0.0472;0.472
109.0;0.0477;0.477
110.0;0.0477;0.477
111.0;0.0475;0.475
112.0;0.0477;0.477
113.0;0.0479;0.479
114.0;0.0478;0.478
115.0;0.0479;0.479
116.0;0.05380000000000001;0.538
117.0;0.053500000000000006;0.535
118.0;0.05380000000000001;0.538
119.0;0.0539;0.539
120.0;0.0539;0.539
121.0;0.054000000000000006;0.54
122.0;0.0539;0.539
123.0;0.053500000000000006;0.535
124.0;0.0577;0.577
125.0;0.0599;0.599
126.0;0.0601;0.601
127.0;0.0601;0.601
128.0;0.06;0.6
129.0;0.0597;0.597
130.0;0.060200000000000004;0.602
131.0;0.047;0.47
132.0;0.0;0.0
