Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
04-26_488_measured_optical_power_vs_acquisition_duration.jpg;04-26_488_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.04291724137931035;0.07966282543138807;0.269;-0.012;654.7485135786598;-9.338521400778221

Result table values
power_instruction;488_power;488_error
0.0;0.0;0.0
1.0;3.0;0.3
5.0;14.0;1.4
10.0;28.0;2.8
20.0;55.0;5.5
30.0;84.0;8.4
40.0;111.0;11.1
50.0;138.0;13.8
60.0;166.0;16.6
70.0;193.0;19.3
80.0;220.0;22.0
90.0;245.0;24.5
100.0;268.0;26.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-7.000000000000001E-4;-0.007
1.0;-8.0E-4;-0.008
2.0;-8.0E-4;-0.008
3.0;-8.0E-4;-0.008
4.0;-8.0E-4;-0.008
5.0;-8.0E-4;-0.008
6.0;-8.0E-4;-0.008
7.0;-8.0E-4;-0.008
8.0;-8.0E-4;-0.008
9.0;-8.0E-4;-0.008
10.0;0.0012000000000000001;0.012
11.0;0.0035000000000000005;0.035
12.0;0.0036;0.036
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;-0.0;-0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;0.0;0.0
20.0;-0.0;-0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;-5.0E-4;-0.005
24.0;-0.0012000000000000001;-0.012
25.0;-0.0012000000000000001;-0.012
26.0;-0.0012000000000000001;-0.012
27.0;-0.0012000000000000001;-0.012
28.0;1.0E-4;0.001
29.0;0.0023;0.023
30.0;0.0023;0.023
31.0;0.0;0.0
32.0;0.0;0.0
33.0;0.0;0.0
34.0;0.0;0.0
35.0;0.0;0.0
36.0;-0.0;-0.0
37.0;0.0;0.0
38.0;0.0;0.0
39.0;-0.0;-0.0
40.0;-0.0;-0.0
41.0;0.0;0.0
42.0;0.0;0.0
43.0;0.0;0.0
44.0;-0.0;-0.0
45.0;-0.0;-0.0
46.0;-0.0;-0.0
47.0;-0.0;-0.0
48.0;0.0;0.0
49.0;0.0;0.0
50.0;0.0;0.0
51.0;0.0;0.0
52.0;0.0;0.0
53.0;0.0;0.0
54.0;0.0;0.0
55.0;0.0;0.0
56.0;0.0;0.0
57.0;0.0;0.0
58.0;0.0;0.0
59.0;0.0;0.0
60.0;0.0;0.0
61.0;0.0;0.0
62.0;-0.0;-0.0
63.0;0.0;0.0
64.0;-0.0;-0.0
65.0;0.0;0.0
66.0;-0.0;-0.0
67.0;1.0E-4;0.001
68.0;-0.0;-0.0
69.0;-0.0;-0.0
70.0;-0.0;-0.0
71.0;0.0;0.0
72.0;-0.0;-0.0
73.0;0.0;0.0
74.0;0.0;0.0
75.0;0.0;0.0
76.0;-0.0;-0.0
77.0;0.0;0.0
78.0;-0.0;-0.0
79.0;-0.0;-0.0
80.0;0.0;0.0
81.0;0.0;0.0
82.0;0.0;0.0
83.0;0.0;0.0
84.0;0.0;0.0
85.0;-0.0;-0.0
86.0;0.0;0.0
87.0;0.0;0.0
88.0;0.0;0.0
89.0;0.0;0.0
90.0;0.0;0.0
91.0;0.0;0.0
92.0;0.0;0.0
93.0;-0.0;-0.0
94.0;0.0;0.0
95.0;0.0;0.0
96.0;0.0;0.0
97.0;0.0;0.0
98.0;0.0;0.0
99.0;0.0;0.0
100.0;0.0;0.0
101.0;0.0;0.0
102.0;0.0;0.0
103.0;0.0;0.0
104.0;0.0;0.0
105.0;-0.0;-0.0
106.0;0.0;0.0
107.0;-0.0;-0.0
108.0;0.0;0.0
109.0;0.0;0.0
110.0;-0.0;-0.0
111.0;0.0;0.0
112.0;0.0;0.0
113.0;0.0;0.0
114.0;0.0;0.0
115.0;0.0;0.0
