Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
04-26_750.csv_measured_optical_power_vs_acquisition_duration.jpg;04-26_750.csv_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2474017094017093;0.20437608431586257;0.583;-0.006;238.07434533268855;-2.0797227036395194

Result table values
power_instruction;750_power;750_error
0.0;-0.0;-0.0
1.0;6.0;0.6
5.0;29.0;2.9
10.0;58.0;5.8
20.0;116.0;11.6
30.0;175.0;17.5
40.0;230.0;23.0
50.0;290.0;29.0
60.0;349.0;34.9
70.0;402.0;40.2
80.0;463.0;46.3
90.0;525.0;52.5
100.0;580.0;58.0
time;measured_optical_power_error;measured_optical_power_average
0.0;-5.0E-4;-0.005
1.0;-6.000000000000001E-4;-0.006
2.0;-0.0;-0.0
3.0;9.0E-4;0.009
4.0;9.0E-4;0.009
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;0.0;0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;1.0E-4;0.001
15.0;2.0E-4;0.002
16.0;6.000000000000001E-4;0.006
17.0;6.000000000000001E-4;0.006
18.0;6.000000000000001E-4;0.006
19.0;6.000000000000001E-4;0.006
20.0;6.000000000000001E-4;0.006
21.0;6.000000000000001E-4;0.006
22.0;0.001;0.01
23.0;0.0029000000000000002;0.029
24.0;0.0029000000000000002;0.029
25.0;0.0029000000000000002;0.029
26.0;0.0029000000000000002;0.029
27.0;0.0029000000000000002;0.029
28.0;0.0029000000000000002;0.029
29.0;0.005600000000000001;0.056
30.0;0.0058000000000000005;0.058
31.0;0.0058000000000000005;0.058
32.0;0.0058000000000000005;0.058
33.0;0.0058000000000000005;0.058
34.0;0.0058000000000000005;0.058
35.0;0.0061;0.061
36.0;0.011500000000000002;0.115
37.0;0.011600000000000001;0.116
38.0;0.011600000000000001;0.116
39.0;0.011500000000000002;0.115
40.0;0.011600000000000001;0.116
41.0;0.011600000000000001;0.116
42.0;0.011600000000000001;0.116
43.0;0.011600000000000001;0.116
44.0;0.011700000000000002;0.117
45.0;0.0152;0.152
46.0;0.0174;0.174
47.0;0.017499999999999998;0.175
48.0;0.017499999999999998;0.175
49.0;0.0174;0.174
50.0;0.017499999999999998;0.175
51.0;0.017499999999999998;0.175
52.0;0.0174;0.174
53.0;0.019000000000000003;0.19
54.0;0.0233;0.233
55.0;0.023200000000000002;0.232
56.0;0.023000000000000003;0.23
57.0;0.0233;0.233
58.0;0.023200000000000002;0.232
59.0;0.023100000000000002;0.231
60.0;0.023200000000000002;0.232
61.0;0.023200000000000002;0.232
62.0;0.0262;0.262
63.0;0.028999999999999998;0.29
64.0;0.028999999999999998;0.29
65.0;0.0289;0.289
66.0;0.028999999999999998;0.29
67.0;0.0291;0.291
68.0;0.0291;0.291
69.0;0.0288;0.288
70.0;0.032400000000000005;0.324
71.0;0.0349;0.349
72.0;0.0346;0.346
73.0;0.0349;0.349
74.0;0.0349;0.349
75.0;0.034999999999999996;0.35
76.0;0.0349;0.349
77.0;0.034999999999999996;0.35
78.0;0.03900000000000001;0.39
79.0;0.040400000000000005;0.404
80.0;0.040600000000000004;0.406
81.0;0.040600000000000004;0.406
82.0;0.04020000000000001;0.402
83.0;0.040600000000000004;0.406
84.0;0.04050000000000001;0.405
85.0;0.04020000000000001;0.402
86.0;0.0437;0.437
87.0;0.046400000000000004;0.464
88.0;0.046400000000000004;0.464
89.0;0.04630000000000001;0.463
90.0;0.04650000000000001;0.465
91.0;0.0466;0.466
92.0;0.046400000000000004;0.464
93.0;0.04650000000000001;0.465
94.0;0.046700000000000005;0.467
95.0;0.0522;0.522
96.0;0.0524;0.524
97.0;0.052500000000000005;0.525
98.0;0.052500000000000005;0.525
99.0;0.05210000000000001;0.521
100.0;0.0524;0.524
101.0;0.0524;0.524
102.0;0.0519;0.519
103.0;0.052300000000000006;0.523
104.0;0.0569;0.569
105.0;0.0574;0.574
106.0;0.057999999999999996;0.58
107.0;0.057999999999999996;0.58
108.0;0.057999999999999996;0.58
109.0;0.0579;0.579
110.0;0.0581;0.581
111.0;0.0581;0.581
112.0;0.0577;0.577
113.0;0.0583;0.583
114.0;0.0583;0.583
115.0;0.034;0.34
116.0;-0.0;-0.0
