Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
04-26_790.csv_measured_optical_power_vs_acquisition_duration.jpg;04-26_790.csv_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.23727350427350438;0.19034768468863242;0.534;-0.0;225.0567342674975;0.0

Result table values
power_instruction;750_power;750_error
0.0;-0.0;-0.0
1.0;5.0;0.5
5.0;27.0;2.7
10.0;53.0;5.3
20.0;108.0;10.8
30.0;162.0;16.2
40.0;215.0;21.5
50.0;269.0;26.9
60.0;324.0;32.4
70.0;377.0;37.7
80.0;429.0;42.9
90.0;484.0;48.4
100.0;533.0;53.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;0.0;0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;1.0E-4;0.001
8.0;4.0E-4;0.004
9.0;5.0E-4;0.005
10.0;5.0E-4;0.005
11.0;5.0E-4;0.005
12.0;5.0E-4;0.005
13.0;5.0E-4;0.005
14.0;5.0E-4;0.005
15.0;5.0E-4;0.005
16.0;5.0E-4;0.005
17.0;5.0E-4;0.005
18.0;6.000000000000001E-4;0.006
19.0;0.0027;0.027
20.0;0.0027;0.027
21.0;0.0027;0.027
22.0;0.0027;0.027
23.0;0.0027;0.027
24.0;0.0027;0.027
25.0;0.0027;0.027
26.0;0.0027;0.027
27.0;0.0027;0.027
28.0;0.0027;0.027
29.0;0.0036;0.036
30.0;0.0054;0.054
31.0;0.0053;0.053
32.0;0.0053;0.053
33.0;0.0054;0.054
34.0;0.0054;0.054
35.0;0.0053;0.053
36.0;0.0053;0.053
37.0;0.009;0.09
38.0;0.0106;0.106
39.0;0.010700000000000001;0.107
40.0;0.0108;0.108
41.0;0.0108;0.108
42.0;0.010700000000000001;0.107
43.0;0.0108;0.108
44.0;0.0111;0.111
45.0;0.0161;0.161
46.0;0.016200000000000003;0.162
47.0;0.016200000000000003;0.162
48.0;0.016200000000000003;0.162
49.0;0.0161;0.161
50.0;0.016200000000000003;0.162
51.0;0.016200000000000003;0.162
52.0;0.0189;0.189
53.0;0.021500000000000002;0.215
54.0;0.021500000000000002;0.215
55.0;0.0213;0.213
56.0;0.021500000000000002;0.215
57.0;0.021500000000000002;0.215
58.0;0.0212;0.212
59.0;0.021400000000000002;0.214
60.0;0.0251;0.251
61.0;0.0267;0.267
62.0;0.026800000000000004;0.268
63.0;0.026900000000000004;0.269
64.0;0.026800000000000004;0.268
65.0;0.0267;0.267
66.0;0.026900000000000004;0.269
67.0;0.026900000000000004;0.269
68.0;0.0267;0.267
69.0;0.027400000000000004;0.274
70.0;0.032400000000000005;0.324
71.0;0.032100000000000004;0.321
72.0;0.032400000000000005;0.324
73.0;0.032400000000000005;0.324
74.0;0.032400000000000005;0.324
75.0;0.0323;0.323
76.0;0.032400000000000005;0.324
77.0;0.0346;0.346
78.0;0.037500000000000006;0.375
79.0;0.037700000000000004;0.377
80.0;0.037700000000000004;0.377
81.0;0.0374;0.374
82.0;0.0376;0.376
83.0;0.0376;0.376
84.0;0.037500000000000006;0.375
85.0;0.0407;0.407
86.0;0.0429;0.429
87.0;0.042800000000000005;0.428
88.0;0.0425;0.425
89.0;0.0429;0.429
90.0;0.043000000000000003;0.43
91.0;0.0427;0.427
92.0;0.0427;0.427
93.0;0.0431;0.431
94.0;0.0431;0.431
95.0;0.045200000000000004;0.452
96.0;0.0483;0.483
97.0;0.0484;0.484
98.0;0.0479;0.479
99.0;0.0484;0.484
100.0;0.0484;0.484
101.0;0.048100000000000004;0.481
102.0;0.0483;0.483
103.0;0.0484;0.484
104.0;0.049100000000000005;0.491
105.0;0.053000000000000005;0.53
106.0;0.0534;0.534
107.0;0.05330000000000001;0.533
108.0;0.053000000000000005;0.53
109.0;0.053200000000000004;0.532
110.0;0.05330000000000001;0.533
111.0;0.05260000000000001;0.526
112.0;0.0534;0.534
113.0;0.0534;0.534
114.0;0.053200000000000004;0.532
115.0;0.053200000000000004;0.532
116.0;0.053200000000000004;0.532
