Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.13508906882591096;0.1129450023907614;0.331;-0.0;245.02352623849907;0.0

Result table values
power_instruction;488_power;488_error
1.0;3.0;0.3
5.0;17.0;1.7
10.0;34.0;3.4
20.0;69.0;6.9
30.0;104.0;10.4
40.0;140.0;14.0
50.0;173.0;17.3
60.0;205.0;20.5
70.0;240.0;24.0
80.0;274.0;27.4
90.0;305.0;30.5
100.0;331.0;33.1
time;measured_optical_power_error;measured_optical_power_average
0.0;4.0E-4;0.004
1.0;3.0000000000000003E-4;0.003
2.0;3.0000000000000003E-4;0.003
3.0;3.0000000000000003E-4;0.003
4.0;3.0000000000000003E-4;0.003
5.0;4.0E-4;0.004
6.0;6.000000000000001E-4;0.006
7.0;6.000000000000001E-4;0.006
8.0;6.000000000000001E-4;0.006
9.0;6.000000000000001E-4;0.006
10.0;6.000000000000001E-4;0.006
11.0;6.000000000000001E-4;0.006
12.0;6.000000000000001E-4;0.006
13.0;6.000000000000001E-4;0.006
14.0;3.0000000000000003E-4;0.003
15.0;3.0000000000000003E-4;0.003
16.0;2.0E-4;0.002
17.0;2.0E-4;0.002
18.0;2.0E-4;0.002
19.0;2.0E-4;0.002
20.0;2.0E-4;0.002
21.0;3.0000000000000003E-4;0.003
22.0;2.0E-4;0.002
23.0;3.0000000000000003E-4;0.003
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;-0.0;-0.0
27.0;0.0;0.0
28.0;0.0;0.0
29.0;-0.0;-0.0
30.0;-0.0;-0.0
31.0;0.0;0.0
32.0;-0.0;-0.0
33.0;-0.0;-0.0
34.0;-0.0;-0.0
35.0;-0.0;-0.0
36.0;-0.0;-0.0
37.0;0.0;0.0
38.0;1.0E-4;0.001
39.0;3.0000000000000003E-4;0.003
40.0;3.0000000000000003E-4;0.003
41.0;3.0000000000000003E-4;0.003
42.0;3.0000000000000003E-4;0.003
43.0;3.0000000000000003E-4;0.003
44.0;3.0000000000000003E-4;0.003
45.0;3.0000000000000003E-4;0.003
46.0;3.0000000000000003E-4;0.003
47.0;3.0000000000000003E-4;0.003
48.0;3.0000000000000003E-4;0.003
49.0;3.0000000000000003E-4;0.003
50.0;3.0000000000000003E-4;0.003
51.0;3.0000000000000003E-4;0.003
