Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.15479888268156428;0.1774592128143088;0.523;-0.001;338.5037352484752;-0.3831417624521105

Result table values
power_instruction;790_power;790_error
0.0;0.0;0.0
1.0;4.0;0.4
5.0;25.0;2.5
10.0;51.0;5.1
20.0;102.0;10.2
30.0;154.0;15.4
40.0;206.0;20.6
50.0;260.0;26.0
60.0;312.0;31.2
70.0;364.0;36.4
80.0;416.0;41.6
100.0;523.0;52.3
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;0.0;0.0
4.0;0.0;0.0
5.0;-0.0;-0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;-0.0;-0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;-1.0E-4;-0.001
19.0;-1.0E-4;-0.001
20.0;-1.0E-4;-0.001
21.0;-1.0E-4;-0.001
22.0;-1.0E-4;-0.001
23.0;-1.0E-4;-0.001
24.0;-1.0E-4;-0.001
25.0;-1.0E-4;-0.001
26.0;-1.0E-4;-0.001
27.0;-1.0E-4;-0.001
28.0;-1.0E-4;-0.001
29.0;-1.0E-4;-0.001
30.0;-1.0E-4;-0.001
31.0;-1.0E-4;-0.001
32.0;-1.0E-4;-0.001
33.0;-1.0E-4;-0.001
34.0;-1.0E-4;-0.001
35.0;-1.0E-4;-0.001
36.0;-1.0E-4;-0.001
37.0;-1.0E-4;-0.001
38.0;-1.0E-4;-0.001
39.0;-1.0E-4;-0.001
40.0;-1.0E-4;-0.001
41.0;-1.0E-4;-0.001
42.0;-1.0E-4;-0.001
43.0;-1.0E-4;-0.001
44.0;-1.0E-4;-0.001
45.0;-1.0E-4;-0.001
46.0;-0.0;-0.0
47.0;0.0;0.0
48.0;0.0;0.0
49.0;-0.0;-0.0
50.0;0.0;0.0
51.0;0.0;0.0
52.0;-0.0;-0.0
53.0;0.0;0.0
54.0;0.0;0.0
55.0;-1.0E-4;-0.001
56.0;3.0000000000000003E-4;0.003
57.0;4.0E-4;0.004
58.0;4.0E-4;0.004
59.0;4.0E-4;0.004
60.0;4.0E-4;0.004
61.0;4.0E-4;0.004
62.0;4.0E-4;0.004
63.0;4.0E-4;0.004
64.0;4.0E-4;0.004
65.0;4.0E-4;0.004
66.0;4.0E-4;0.004
67.0;4.0E-4;0.004
68.0;4.0E-4;0.004
69.0;0.0019;0.019
70.0;0.0025000000000000005;0.025
71.0;0.0025000000000000005;0.025
72.0;0.0025000000000000005;0.025
73.0;0.0025000000000000005;0.025
74.0;0.0025000000000000005;0.025
75.0;0.0025000000000000005;0.025
76.0;0.0025000000000000005;0.025
77.0;0.0025000000000000005;0.025
78.0;0.0025000000000000005;0.025
79.0;0.0025000000000000005;0.025
80.0;0.004;0.04
81.0;0.005000000000000001;0.05
82.0;0.0051;0.051
83.0;0.0051;0.051
84.0;0.005000000000000001;0.05
85.0;0.0051;0.051
86.0;0.0051;0.051
87.0;0.005000000000000001;0.05
88.0;0.005000000000000001;0.05
89.0;0.0051;0.051
90.0;0.0061;0.061
91.0;0.0102;0.102
92.0;0.0102;0.102
93.0;0.0102;0.102
94.0;0.0102;0.102
95.0;0.0102;0.102
96.0;0.0102;0.102
97.0;0.010100000000000001;0.101
98.0;0.0102;0.102
99.0;0.0103;0.103
100.0;0.010100000000000001;0.101
101.0;0.0102;0.102
102.0;0.011500000000000002;0.115
103.0;0.0154;0.154
104.0;0.0154;0.154
105.0;0.0154;0.154
106.0;0.0154;0.154
107.0;0.0155;0.155
108.0;0.0155;0.155
109.0;0.0154;0.154
110.0;0.015300000000000001;0.153
111.0;0.0155;0.155
112.0;0.0164;0.164
113.0;0.0205;0.205
114.0;0.0206;0.206
115.0;0.0207;0.207
116.0;0.0206;0.206
117.0;0.0206;0.206
118.0;0.0207;0.207
119.0;0.0206;0.206
120.0;0.0207;0.207
121.0;0.0207;0.207
122.0;0.0239;0.239
123.0;0.025800000000000003;0.258
124.0;0.026000000000000002;0.26
125.0;0.026000000000000002;0.26
126.0;0.0256;0.256
127.0;0.025900000000000003;0.259
128.0;0.026000000000000002;0.26
129.0;0.025800000000000003;0.258
130.0;0.027700000000000002;0.277
131.0;0.031100000000000003;0.311
132.0;0.031;0.31
133.0;0.031200000000000002;0.312
134.0;0.031200000000000002;0.312
135.0;0.0309;0.309
136.0;0.031100000000000003;0.311
137.0;0.0313;0.313
138.0;0.0313;0.313
139.0;0.0309;0.309
140.0;0.0363;0.363
141.0;0.0364;0.364
142.0;0.0362;0.362
143.0;0.0364;0.364
144.0;0.0364;0.364
145.0;0.0362;0.362
146.0;0.0365;0.365
147.0;0.0365;0.365
148.0;0.0364;0.364
149.0;0.0365;0.365
150.0;0.0417;0.417
151.0;0.0417;0.417
152.0;0.0412;0.412
153.0;0.0416;0.416
154.0;0.041800000000000004;0.418
155.0;0.0415;0.415
156.0;0.0416;0.416
157.0;0.0416;0.416
158.0;0.0415;0.415
159.0;0.041800000000000004;0.418
160.0;0.042800000000000005;0.428
161.0;0.04630000000000001;0.463
162.0;0.0469;0.469
163.0;0.047;0.47
164.0;0.0466;0.466
165.0;0.04680000000000001;0.468
166.0;0.047;0.47
167.0;0.047;0.47
168.0;0.0469;0.469
169.0;0.0469;0.469
170.0;0.049100000000000005;0.491
171.0;0.051500000000000004;0.515
172.0;0.05210000000000001;0.521
173.0;0.05210000000000001;0.521
174.0;0.051500000000000004;0.515
175.0;0.0522;0.522
176.0;0.052300000000000006;0.523
177.0;0.0519;0.519
178.0;0.052000000000000005;0.52
