Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
20260924_405_measured_optical_power_vs_acquisition_duration.jpg;20260924_405_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.8045972222222224;0.9774040050368377;3.119;-0.001;387.7716593878924;-0.06414368184732844

Result table values
power_instruction;405_power;405_error
0.0;2.0;0.2
1.0;32.0;3.2
2.0;62.0;6.2
5.0;153.0;15.3
10.0;306.0;30.6
20.0;623.0;62.3
30.0;943.0;94.3
40.0;1251.0;125.1
50.0;1579.0;157.9
60.0;1862.0;186.2
70.0;2157.0;215.7
90.0;2725.0;272.5
100.0;3080.0;308.0
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;2.0E-4;0.002
2.0;2.0E-4;0.002
3.0;2.0E-4;0.002
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;0.0;0.0
7.0;-1.0E-4;-0.001
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-1.0E-4;-0.001
15.0;-1.0E-4;-0.001
16.0;-0.0;-0.0
17.0;0.0;0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;-1.0E-4;-0.001
22.0;-1.0E-4;-0.001
23.0;-0.0;-0.0
24.0;-1.0E-4;-0.001
25.0;-0.0;-0.0
26.0;-1.0E-4;-0.001
27.0;-1.0E-4;-0.001
28.0;-0.0;-0.0
29.0;-1.0E-4;-0.001
30.0;0.0;0.0
31.0;2.0E-4;0.002
32.0;2.0E-4;0.002
33.0;2.0E-4;0.002
34.0;2.0E-4;0.002
35.0;1.0E-4;0.001
36.0;1.0E-4;0.001
37.0;1.0E-4;0.001
38.0;1.0E-4;0.001
39.0;1.0E-4;0.001
40.0;2.0E-4;0.002
41.0;1.0E-4;0.001
42.0;1.0E-4;0.001
43.0;1.0E-4;0.001
44.0;3.0000000000000003E-4;0.003
45.0;0.0021000000000000003;0.021
46.0;0.0032;0.032
47.0;0.0031000000000000003;0.031
48.0;0.0032;0.032
49.0;0.0032;0.032
50.0;0.0032;0.032
51.0;0.0032;0.032
52.0;0.0031000000000000003;0.031
53.0;0.0032;0.032
54.0;0.0032;0.032
55.0;0.0032;0.032
56.0;0.0032;0.032
57.0;0.0061;0.061
58.0;0.0061;0.061
59.0;0.0063;0.063
60.0;0.006200000000000001;0.062
61.0;0.006200000000000001;0.062
62.0;0.0063;0.063
63.0;0.0063;0.063
64.0;0.006200000000000001;0.062
65.0;0.006200000000000001;0.062
66.0;0.0063;0.063
67.0;0.0063;0.063
68.0;0.006200000000000001;0.062
69.0;0.0063;0.063
70.0;0.006200000000000001;0.062
71.0;0.006200000000000001;0.062
72.0;0.0063;0.063
73.0;0.0063;0.063
74.0;0.0063;0.063
75.0;0.0063;0.063
76.0;0.0063;0.063
