Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
20260924_633_measured_optical_power_vs_acquisition_duration.jpg;20260924_633_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.22992805755395682;0.25312004072402283;0.742;-0.0;322.70963704630793;0.0

Result table values
power_instruction;633_power;633_error
0.0;0.0;0.0
1.0;8.0;0.8
2.0;15.0;1.5
5.0;38.0;3.8
10.0;74.0;7.4
20.0;150.0;15.0
30.0;224.0;22.4
50.0;374.0;37.4
60.0;448.0;44.8
70.0;522.0;52.2
80.0;591.0;59.1
90.0;662.0;66.2
100.0;742.0;74.2
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;0.0;0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;0.0;0.0
15.0;2.0E-4;0.002
16.0;3.0000000000000003E-4;0.003
17.0;0.0;0.0
18.0;0.0;0.0
19.0;0.0;0.0
20.0;0.0;0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;1.0E-4;0.001
27.0;0.0;0.0
28.0;0.0;0.0
29.0;1.0E-4;0.001
30.0;7.000000000000001E-4;0.007
31.0;7.000000000000001E-4;0.007
32.0;8.0E-4;0.008
33.0;8.0E-4;0.008
34.0;8.0E-4;0.008
35.0;8.0E-4;0.008
36.0;8.0E-4;0.008
37.0;0.0013;0.013
38.0;0.0015;0.015
39.0;0.0015;0.015
40.0;0.0015;0.015
41.0;0.0015;0.015
42.0;0.0015;0.015
43.0;0.0015;0.015
44.0;0.0015;0.015
45.0;0.0015;0.015
46.0;0.0015;0.015
47.0;0.0015;0.015
48.0;0.0015;0.015
49.0;0.0015;0.015
50.0;0.0015;0.015
51.0;0.0017000000000000001;0.017
52.0;0.0037;0.037
53.0;0.0038;0.038
54.0;0.0037;0.037
55.0;0.0037;0.037
56.0;0.0038;0.038
57.0;0.0037;0.037
58.0;0.0037;0.037
59.0;0.0037;0.037
60.0;0.0037;0.037
61.0;0.0059;0.059
62.0;0.0075;0.075
63.0;0.0075;0.075
64.0;0.0074;0.074
65.0;0.0074;0.074
66.0;0.0075;0.075
67.0;0.0075;0.075
68.0;0.0074;0.074
69.0;0.0075;0.075
70.0;0.014499999999999999;0.145
71.0;0.0149;0.149
72.0;0.015;0.15
73.0;0.015;0.15
74.0;0.0149;0.149
75.0;0.015;0.15
76.0;0.015;0.15
77.0;0.019500000000000003;0.195
78.0;0.0223;0.223
79.0;0.022400000000000003;0.224
80.0;0.0223;0.223
81.0;0.0222;0.222
82.0;0.0223;0.223
83.0;0.0223;0.223
84.0;0.0227;0.227
85.0;0.0297;0.297
86.0;0.0298;0.298
87.0;0.0297;0.297
88.0;0.0297;0.297
89.0;0.0298;0.298
90.0;0.0299;0.299
91.0;0.0297;0.297
92.0;0.0302;0.302
93.0;0.0374;0.374
94.0;0.037200000000000004;0.372
95.0;0.0374;0.374
96.0;0.0374;0.374
97.0;0.0373;0.373
98.0;0.0373;0.373
99.0;0.0373;0.373
100.0;0.038700000000000005;0.387
101.0;0.0444;0.444
102.0;0.044800000000000006;0.448
103.0;0.044800000000000006;0.448
104.0;0.0444;0.444
105.0;0.044700000000000004;0.447
106.0;0.044700000000000004;0.447
107.0;0.0444;0.444
108.0;0.051500000000000004;0.515
109.0;0.0522;0.522
110.0;0.0522;0.522
111.0;0.051800000000000006;0.518
112.0;0.052300000000000006;0.523
113.0;0.052300000000000006;0.523
114.0;0.0519;0.519
115.0;0.0522;0.522
116.0;0.0591;0.591
117.0;0.0589;0.589
118.0;0.0591;0.591
119.0;0.0591;0.591
120.0;0.0591;0.591
121.0;0.0587;0.587
122.0;0.059;0.59
123.0;0.0636;0.636
124.0;0.0655;0.655
125.0;0.06620000000000001;0.662
126.0;0.06620000000000001;0.662
127.0;0.0659;0.659
128.0;0.06620000000000001;0.662
129.0;0.06630000000000001;0.663
130.0;0.066;0.66
131.0;0.06630000000000001;0.663
132.0;0.0722;0.722
133.0;0.0738;0.738
134.0;0.0735;0.735
135.0;0.074;0.74
136.0;0.0742;0.742
137.0;0.0738;0.738
138.0;0.0742;0.742
