Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
20260924_750_measured_optical_power_vs_acquisition_duration.jpg;20260924_750_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2141962025316455;0.1629165104241834;0.489;0.0;228.29536388618035;0.0

Result table values
power_instruction;750_power;750_error
0.0;-0.0;-0.0
1.0;4.0;0.4
2.0;10.0;1.0
5.0;24.0;2.4
10.0;48.0;4.8
20.0;94.0;9.4
30.0;143.0;14.3
40.0;190.0;19.0
50.0;239.0;23.9
60.0;288.0;28.8
70.0;336.0;33.6
80.0;387.0;38.7
90.0;436.0;43.6
100.0;488.0;48.8
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;0.0;0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;0.0;0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;3.0000000000000003E-4;0.003
20.0;5.0E-4;0.005
21.0;4.0E-4;0.004
22.0;5.0E-4;0.005
23.0;5.0E-4;0.005
24.0;5.0E-4;0.005
25.0;5.0E-4;0.005
26.0;9.0E-4;0.009
27.0;0.001;0.01
28.0;9.0E-4;0.009
29.0;0.001;0.01
30.0;9.0E-4;0.009
31.0;0.001;0.01
32.0;0.0011;0.011
33.0;0.0024000000000000002;0.024
34.0;0.0024000000000000002;0.024
35.0;0.0024000000000000002;0.024
36.0;0.0024000000000000002;0.024
37.0;0.0024000000000000002;0.024
38.0;0.0024000000000000002;0.024
39.0;0.0024000000000000002;0.024
40.0;0.0033000000000000004;0.033
41.0;0.0047;0.047
42.0;0.0048000000000000004;0.048
43.0;0.0048000000000000004;0.048
44.0;0.0047;0.047
45.0;0.0047;0.047
46.0;0.0047;0.047
47.0;0.0047;0.047
48.0;0.0070999999999999995;0.071
49.0;0.009500000000000001;0.095
50.0;0.009500000000000001;0.095
51.0;0.0094;0.094
52.0;0.009500000000000001;0.095
53.0;0.009500000000000001;0.095
54.0;0.0094;0.094
55.0;0.009500000000000001;0.095
56.0;0.009500000000000001;0.095
57.0;0.0126;0.126
58.0;0.0143;0.143
59.0;0.0143;0.143
60.0;0.0143;0.143
61.0;0.0143;0.143
62.0;0.0143;0.143
63.0;0.0143;0.143
64.0;0.0143;0.143
65.0;0.0144;0.144
66.0;0.0143;0.143
67.0;0.0181;0.181
68.0;0.019100000000000002;0.191
69.0;0.019100000000000002;0.191
70.0;0.019000000000000003;0.19
71.0;0.019100000000000002;0.191
72.0;0.019100000000000002;0.191
73.0;0.019100000000000002;0.191
74.0;0.0199;0.199
75.0;0.0239;0.239
76.0;0.0238;0.238
77.0;0.0236;0.236
78.0;0.0239;0.239
79.0;0.0239;0.239
80.0;0.0239;0.239
81.0;0.0238;0.238
82.0;0.0239;0.239
83.0;0.025;0.25
84.0;0.0287;0.287
85.0;0.0287;0.287
86.0;0.0288;0.288
87.0;0.0287;0.287
88.0;0.0288;0.288
89.0;0.0288;0.288
90.0;0.0287;0.287
91.0;0.0288;0.288
92.0;0.0335;0.335
93.0;0.033600000000000005;0.336
94.0;0.0333;0.333
95.0;0.033600000000000005;0.336
96.0;0.0335;0.335
97.0;0.0332;0.332
98.0;0.0335;0.335
99.0;0.0335;0.335
100.0;0.033400000000000006;0.334
101.0;0.0335;0.335
102.0;0.033600000000000005;0.336
103.0;0.0362;0.362
104.0;0.038400000000000004;0.384
105.0;0.038500000000000006;0.385
106.0;0.0386;0.386
107.0;0.038400000000000004;0.384
108.0;0.0386;0.386
109.0;0.0386;0.386
110.0;0.0386;0.386
111.0;0.038500000000000006;0.385
112.0;0.0386;0.386
113.0;0.038500000000000006;0.385
114.0;0.038500000000000006;0.385
115.0;0.038500000000000006;0.385
116.0;0.038500000000000006;0.385
117.0;0.0383;0.383
118.0;0.0346;0.346
119.0;0.033600000000000005;0.336
120.0;0.033400000000000006;0.334
121.0;0.033600000000000005;0.336
122.0;0.033600000000000005;0.336
123.0;0.0335;0.335
124.0;0.0337;0.337
125.0;0.033800000000000004;0.338
126.0;0.033800000000000004;0.338
127.0;0.033600000000000005;0.336
128.0;0.033800000000000004;0.338
129.0;0.033800000000000004;0.338
130.0;0.033600000000000005;0.336
131.0;0.033900000000000007;0.339
132.0;0.033800000000000004;0.338
133.0;0.033800000000000004;0.338
134.0;0.033800000000000004;0.338
135.0;0.0351;0.351
136.0;0.038700000000000005;0.387
137.0;0.038400000000000004;0.384
138.0;0.038700000000000005;0.387
139.0;0.038700000000000005;0.387
140.0;0.0383;0.383
141.0;0.0386;0.386
142.0;0.038700000000000005;0.387
143.0;0.0383;0.383
144.0;0.0424;0.424
145.0;0.0436;0.436
146.0;0.043500000000000004;0.435
147.0;0.043300000000000005;0.433
148.0;0.0436;0.436
149.0;0.0436;0.436
150.0;0.043500000000000004;0.435
151.0;0.0439;0.439
152.0;0.046700000000000005;0.467
153.0;0.0485;0.485
154.0;0.0489;0.489
155.0;0.0488;0.488
156.0;0.0489;0.489
157.0;0.048600000000000004;0.486
