Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
690_R_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;690_R_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
13.486325925925923;19.073684856100762;55.258;0.0;409.73353531203634;0.0

Result table values
power_instruction;690_power;690_error
10.0;55258.0;5525.8
18.0;99.0;9.9
19.0;648.0;64.8
20.0;1544.0;154.4
30.0;9951.0;995.1
40.0;17961.0;1796.1
50.0;26821.0;2682.1
60.0;34337.0;3433.7
70.0;41433.0;4143.3
80.0;47905.0;4790.5
90.0;52698.0;5269.8
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;1.0E-4;0.001
15.0;1.0E-4;0.001
16.0;1.0E-4;0.001
17.0;1.0E-4;0.001
18.0;1.0E-4;0.001
19.0;1.0E-4;0.001
20.0;1.0E-4;0.001
21.0;0.071;0.71
22.0;0.1554;1.554
23.0;0.1555;1.555
24.0;0.1535;1.535
25.0;0.11270000000000001;1.127
26.0;0.0011;0.011
27.0;0.0011;0.011
28.0;0.001;0.01
29.0;0.0011;0.011
30.0;0.001;0.01
31.0;0.001;0.01
32.0;0.001;0.01
33.0;0.0015;0.015
34.0;0.0018;0.018
35.0;0.0018;0.018
36.0;0.0018;0.018
37.0;0.0018;0.018
38.0;0.0826;0.826
39.0;0.5433;5.433
40.0;0.0019;0.019
41.0;0.0027;0.027
42.0;0.0035000000000000005;0.035
43.0;0.0035000000000000005;0.035
44.0;0.0035000000000000005;0.035
45.0;0.0035000000000000005;0.035
46.0;0.0037;0.037
47.0;0.0099;0.099
48.0;0.0099;0.099
49.0;0.0099;0.099
50.0;0.010000000000000002;0.1
51.0;0.0099;0.099
52.0;0.0099;0.099
53.0;0.0099;0.099
54.0;0.0099;0.099
55.0;0.0099;0.099
56.0;0.0099;0.099
57.0;0.0099;0.099
58.0;0.0099;0.099
59.0;0.0099;0.099
60.0;0.0099;0.099
61.0;0.0099;0.099
62.0;0.0099;0.099
63.0;0.011000000000000001;0.11
64.0;0.06420000000000001;0.642
65.0;0.06420000000000001;0.642
66.0;0.06420000000000001;0.642
67.0;0.0645;0.645
68.0;0.06480000000000001;0.648
69.0;0.065;0.65
70.0;0.06470000000000001;0.647
71.0;0.06470000000000001;0.647
72.0;0.067;0.67
73.0;0.1532;1.532
74.0;0.1526;1.526
75.0;0.1534;1.534
76.0;0.1545;1.545
77.0;0.15500000000000003;1.55
78.0;0.1544;1.544
79.0;0.1533;1.533
80.0;0.1529;1.529
81.0;0.1539;1.539
82.0;0.2077;2.077
83.0;0.9951000000000001;9.951
84.0;0.9972;9.972
85.0;0.9951000000000001;9.951
86.0;0.9952000000000001;9.952
87.0;0.9978;9.978
88.0;0.9933000000000001;9.933
89.0;0.9939;9.939
90.0;1.5383;15.383
91.0;1.7997;17.997
92.0;1.7961;17.961
93.0;1.8121;18.121
94.0;1.8084;18.084
95.0;1.8275;18.275
96.0;1.8353000000000002;18.353
97.0;2.656;26.56
98.0;2.6822;26.822
99.0;2.6821;26.821
100.0;2.6739;26.739
101.0;2.6795000000000004;26.795
102.0;2.6776;26.776
103.0;2.8084000000000002;28.084
104.0;3.4144;34.144
105.0;3.4512;34.512
106.0;3.4337000000000004;34.337
107.0;3.4185000000000003;34.185
108.0;3.4095999999999997;34.096
109.0;3.4026000000000005;34.026
110.0;3.7868000000000004;37.868
111.0;4.142;41.42
112.0;4.1443;41.443
113.0;4.1433;41.433
114.0;4.1484000000000005;41.484
115.0;4.1437;41.437
116.0;4.1423000000000005;41.423
117.0;4.6062;46.062
118.0;4.7865;47.865
119.0;4.790500000000001;47.905
120.0;4.7811;47.811
121.0;4.7802;47.802
122.0;4.7787;47.787
123.0;4.8992;48.992
124.0;5.2758;52.758
125.0;5.2698;52.698
126.0;5.2754;52.754
127.0;5.272600000000001;52.726
128.0;5.2647;52.647
129.0;5.2687;52.687
130.0;5.5143;55.143
131.0;5.5251;55.251
132.0;5.5258;55.258
133.0;5.5095;55.095
134.0;3.8591;38.591
