Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
11.489420560747664;11.183426314044592;32.563;-0.001;283.4259554502801;-0.006142128861852392

Result table values
power_instruction;561_power;561_error
1.0;61.0;6.1
5.0;844.0;84.4
10.0;2509.0;250.9
20.0;5999.0;599.9
30.0;9481.0;948.1
40.0;12953.0;1295.3
50.0;16415.0;1641.5
60.0;19875.0;1987.5
70.0;23341.0;2334.1
80.0;26800.0;2680.0
90.0;30250.0;3025.0
100.0;32561.0;3256.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;0.0063;0.063
4.0;0.0247;0.247
5.0;0.0247;0.247
6.0;0.0246;0.246
7.0;0.0246;0.246
8.0;0.0245;0.245
9.0;0.0245;0.245
10.0;0.0245;0.245
11.0;0.0244;0.244
12.0;0.0245;0.245
13.0;0.0244;0.244
14.0;0.0246;0.246
15.0;0.024800000000000003;0.248
16.0;0.0247;0.247
17.0;0.0246;0.246
18.0;1.0E-4;0.001
19.0;2.0E-4;0.002
20.0;2.0E-4;0.002
21.0;2.0E-4;0.002
22.0;1.0E-4;0.001
23.0;2.0E-4;0.002
24.0;0.0029000000000000002;0.029
25.0;0.0061;0.061
26.0;0.0061;0.061
27.0;0.006;0.06
28.0;0.0061;0.061
29.0;0.0061;0.061
30.0;0.07440000000000001;0.744
31.0;0.0844;0.844
32.0;0.0844;0.844
33.0;0.0843;0.843
34.0;0.0843;0.843
35.0;0.0843;0.843
36.0;0.2284;2.284
37.0;0.2509;2.509
38.0;0.2509;2.509
39.0;0.2508;2.508
40.0;0.2508;2.508
41.0;0.2508;2.508
42.0;0.39940000000000003;3.994
43.0;0.5997;5.997
44.0;0.5998;5.998
45.0;0.5997;5.997
46.0;0.5998;5.998
47.0;0.5999;5.999
48.0;0.5998;5.998
49.0;0.5998;5.998
50.0;0.5996;5.996
51.0;0.7223;7.223
52.0;0.9480000000000001;9.48
53.0;0.9481;9.481
54.0;0.9481;9.481
55.0;0.9480000000000001;9.48
56.0;0.9480000000000001;9.48
57.0;0.9479;9.479
58.0;1.119;11.19
59.0;1.2956;12.956
60.0;1.2954;12.954
61.0;1.2953000000000001;12.953
62.0;1.2952000000000001;12.952
63.0;1.2952000000000001;12.952
64.0;1.295;12.95
65.0;1.2949000000000002;12.949
66.0;1.6179;16.179
67.0;1.6420000000000003;16.42
68.0;1.6418;16.418
69.0;1.6415;16.415
70.0;1.6416000000000002;16.416
71.0;1.6416000000000002;16.416
72.0;1.6414000000000002;16.414
73.0;1.6827000000000003;16.827
74.0;1.9879000000000002;19.879
75.0;1.9879000000000002;19.879
76.0;1.9879000000000002;19.879
77.0;1.9875;19.875
78.0;1.9874;19.874
79.0;1.9872;19.872
80.0;1.987;19.87
81.0;2.1913;21.913
82.0;2.3344;23.344
83.0;2.3341000000000003;23.341
84.0;2.3341000000000003;23.341
85.0;2.334;23.34
86.0;2.334;23.34
87.0;2.3337;23.337
88.0;2.4982;24.982
89.0;2.6805000000000003;26.805
90.0;2.6802;26.802
91.0;2.68;26.8
92.0;2.6798;26.798
93.0;2.6797000000000004;26.797
94.0;2.6797000000000004;26.797
95.0;2.6799;26.799
96.0;2.9924;29.924
97.0;3.0253;30.253
98.0;3.0250000000000004;30.25
99.0;3.0248000000000004;30.248
100.0;3.0247;30.247
101.0;3.0244;30.244
102.0;3.1224000000000003;31.224
103.0;3.2563000000000004;32.563
104.0;3.2563000000000004;32.563
105.0;3.2561;32.561
106.0;3.2556;32.556
