Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_L_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_L_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
24.895783783783777;20.508111793939797;61.514;0.001;247.08199803722334;0.0032512395350625667

Result table values
power_instruction;488_power;488_error
1.0;1.0;0.1
5.0;721.0;72.1
10.0;3301.0;330.1
20.0;8706.0;870.6
30.0;14662.0;1466.2
40.0;20639.0;2063.9
50.0;26976.0;2697.6
60.0;34087.0;3408.7
70.0;41094.0;4109.4
80.0;48900.0;4890.0
90.0;57103.0;5710.3
100.0;61424.0;6142.4
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;1.0E-4;0.001
7.0;0.0635;0.635
8.0;0.0719;0.719
9.0;0.0721;0.721
10.0;0.0714;0.714
11.0;0.0717;0.717
12.0;0.1627;1.627
13.0;0.32820000000000005;3.282
14.0;0.3284;3.284
15.0;0.33010000000000006;3.301
16.0;0.3292;3.292
17.0;0.3286;3.286
18.0;0.4561;4.561
19.0;0.8726000000000002;8.726
20.0;0.8723000000000001;8.723
21.0;0.8706;8.706
22.0;0.8737;8.737
23.0;0.8738;8.738
24.0;0.8730000000000001;8.73
25.0;0.9732;9.732
26.0;1.4645000000000001;14.645
27.0;1.4659000000000002;14.659
28.0;1.4662000000000002;14.662
29.0;1.4701000000000002;14.701
30.0;1.469;14.69
31.0;1.6003;16.003
32.0;2.0639;20.639
33.0;2.0633;20.633
34.0;2.0639;20.639
35.0;2.0669;20.669
36.0;2.0678;20.678
37.0;2.0688;20.688
38.0;2.0763000000000003;20.763
39.0;2.6908000000000003;26.908
40.0;2.6961;26.961
41.0;2.6976;26.976
42.0;2.6992000000000003;26.992
43.0;2.7013000000000003;27.013
44.0;2.704;27.04
45.0;2.9423;29.423
46.0;3.4071;34.071
47.0;3.4087000000000005;34.087
48.0;3.4095;34.095
49.0;3.415;34.15
50.0;3.4172;34.172
51.0;3.4192;34.192
52.0;4.0945;40.945
53.0;4.1071;41.071
54.0;4.1094;41.094
55.0;4.1124;41.124
56.0;4.1144;41.144
57.0;4.1175;41.175
58.0;4.377000000000001;43.77
59.0;4.888000000000001;48.88
60.0;4.890000000000001;48.9
61.0;4.8937;48.937
62.0;4.8974;48.974
63.0;4.9013;49.013
64.0;5.3668000000000005;53.668
65.0;5.7091;57.091
66.0;5.7103;57.103
67.0;5.7144;57.144
68.0;5.7187;57.187
69.0;6.0883;60.883
70.0;6.1394;61.394
71.0;6.1424;61.424
72.0;6.1466;61.466
73.0;6.151400000000001;61.514
