Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
690_L_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;690_L_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
14.709984375000001;19.799037090298203;55.901;-0.0;380.02079794867217;0.0

Result table values
power_instruction;690_power;690_error
10.0;2.0;0.2
18.0;100.0;10.0
19.0;639.0;63.9
20.0;1535.0;153.5
30.0;10196.0;1019.6
40.0;18514.0;1851.4
50.0;25528.0;2552.8
60.0;34017.0;3401.7
70.0;41182.0;4118.2
80.0;47534.0;4753.4
90.0;53834.0;5383.4
100.0;55760.0;5576.0
time;measured_optical_power_error;measured_optical_power_average
0.0;2.0E-4;0.002
1.0;2.0E-4;0.002
2.0;2.0E-4;0.002
3.0;2.0E-4;0.002
4.0;2.0E-4;0.002
5.0;2.0E-4;0.002
6.0;0.011000000000000001;0.11
7.0;2.0E-4;0.002
8.0;2.0E-4;0.002
9.0;2.0E-4;0.002
10.0;2.0E-4;0.002
11.0;2.0E-4;0.002
12.0;2.0E-4;0.002
13.0;2.0E-4;0.002
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;0.021500000000000002;0.215
19.0;0.0239;0.239
20.0;0.0239;0.239
21.0;0.0237;0.237
22.0;0.0238;0.238
23.0;0.0239;0.239
24.0;0.0236;0.236
25.0;0.0237;0.237
26.0;0.0019;0.019
27.0;0.0;0.0
28.0;0.0;0.0
29.0;0.0;0.0
30.0;0.0;0.0
31.0;0.0;0.0
32.0;0.0;0.0
33.0;0.0;0.0
34.0;0.0;0.0
35.0;0.0;0.0
36.0;0.0;0.0
37.0;0.0;0.0
38.0;2.0E-4;0.002
39.0;2.0E-4;0.002
40.0;2.0E-4;0.002
41.0;2.0E-4;0.002
42.0;2.0E-4;0.002
43.0;2.0E-4;0.002
44.0;2.0E-4;0.002
45.0;2.0E-4;0.002
46.0;2.0E-4;0.002
47.0;2.0E-4;0.002
48.0;2.0E-4;0.002
49.0;0.11470000000000001;1.147
50.0;0.15710000000000002;1.571
51.0;0.1562;1.562
52.0;0.15680000000000002;1.568
53.0;0.1565;1.565
54.0;0.1562;1.562
55.0;0.1542;1.542
56.0;0.062200000000000005;0.622
57.0;0.010000000000000002;0.1
58.0;0.010000000000000002;0.1
59.0;0.010000000000000002;0.1
60.0;0.010000000000000002;0.1
61.0;0.010000000000000002;0.1
62.0;0.0386;0.386
63.0;0.06430000000000001;0.643
64.0;0.0639;0.639
65.0;0.06380000000000001;0.638
66.0;0.06420000000000001;0.642
67.0;0.06430000000000001;0.643
68.0;0.07900000000000001;0.79
69.0;0.15480000000000002;1.548
70.0;0.1535;1.535
71.0;0.1543;1.543
72.0;0.1515;1.515
73.0;0.1549;1.549
74.0;0.1531;1.531
75.0;0.9977;9.977
76.0;1.0196;10.196
77.0;1.0196;10.196
78.0;1.0216;10.216
79.0;1.0217;10.217
80.0;1.0191000000000001;10.191
81.0;1.2776;12.776
82.0;1.8204000000000002;18.204
83.0;1.8479;18.479
84.0;1.8514;18.514
85.0;1.8535000000000001;18.535
86.0;1.8493;18.493
87.0;1.8495000000000001;18.495
88.0;2.148;21.48
89.0;2.5683000000000002;25.683
90.0;2.5646000000000004;25.646
91.0;2.5528;25.528
92.0;2.5694;25.694
93.0;2.5854;25.854
94.0;2.5652000000000004;25.652
95.0;3.0025;30.025
96.0;3.4051000000000005;34.051
97.0;3.3803;33.803
98.0;3.4017000000000004;34.017
99.0;3.4105;34.105
100.0;3.4124000000000003;34.124
101.0;3.4130000000000003;34.13
102.0;3.5711;35.711
103.0;4.1482;41.482
104.0;4.14;41.4
105.0;4.118200000000001;41.182
106.0;4.1242;41.242
107.0;4.133;41.33
108.0;4.1171999999999995;41.172
109.0;4.2868;42.868
110.0;4.7543;47.543
111.0;4.7534;47.534
112.0;4.7593000000000005;47.593
113.0;4.7607;47.607
114.0;4.7668;47.668
115.0;4.7552;47.552
116.0;4.7588;47.588
117.0;5.3683000000000005;53.683
118.0;5.406000000000001;54.06
119.0;5.383400000000001;53.834
120.0;5.374700000000001;53.747
121.0;5.3632;53.632
122.0;5.409400000000001;54.094
123.0;5.5901000000000005;55.901
124.0;5.5855;55.855
125.0;5.5760000000000005;55.76
126.0;5.5627;55.627
127.0;5.563400000000001;55.634
