Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561_Left_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561_Left_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
13.731090909090915;11.875054971839575;33.852;0.0;246.5354007494603;0.0

Result table values
power_instruction;561_power;561_error
1.0;62.0;6.2
5.0;879.0;87.9
10.0;2615.0;261.5
20.0;6245.0;624.5
30.0;9870.0;987.0
40.0;13479.0;1347.9
50.0;17076.0;1707.6
60.0;20668.0;2066.8
70.0;24277.0;2427.7
80.0;27861.0;2786.1
90.0;31448.0;3144.8
100.0;33852.0;3385.2
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;0.0;0.0
2.0;0.005600000000000001;0.056
3.0;0.025800000000000003;0.258
4.0;0.025900000000000003;0.259
5.0;0.026000000000000002;0.26
6.0;0.025900000000000003;0.259
7.0;0.025900000000000003;0.259
8.0;-0.0;-0.0
9.0;1.0E-4;0.001
10.0;0.0;0.0
11.0;0.0028000000000000004;0.028
12.0;0.0063;0.063
13.0;0.006200000000000001;0.062
14.0;0.006200000000000001;0.062
15.0;0.006200000000000001;0.062
16.0;0.017499999999999998;0.175
17.0;0.08810000000000001;0.881
18.0;0.0879;0.879
19.0;0.0879;0.879
20.0;0.0879;0.879
21.0;0.0879;0.879
22.0;0.08800000000000001;0.88
23.0;0.2251;2.251
24.0;0.2615;2.615
25.0;0.2615;2.615
26.0;0.2617;2.617
27.0;0.2617;2.617
28.0;0.2616;2.616
29.0;0.4731;4.731
30.0;0.6246;6.246
31.0;0.6247;6.247
32.0;0.6245;6.245
33.0;0.6248;6.248
34.0;0.6246;6.246
35.0;0.6245;6.245
36.0;0.9347;9.347
37.0;0.9877000000000001;9.877
38.0;0.9873;9.873
39.0;0.987;9.87
40.0;0.9874;9.874
41.0;0.9873;9.873
42.0;1.0737;10.737
43.0;1.3487;13.487
44.0;1.3481;13.481
45.0;1.3479;13.479
46.0;1.3478;13.478
47.0;1.3477000000000001;13.477
48.0;1.4081000000000001;14.081
49.0;1.7086;17.086
50.0;1.7079000000000002;17.079
51.0;1.7076000000000002;17.076
52.0;1.7076000000000002;17.076
53.0;1.7076000000000002;17.076
54.0;1.7076000000000002;17.076
55.0;1.7073;17.073
56.0;1.9026;19.026
57.0;2.0678;20.678
58.0;2.0672;20.672
59.0;2.0668;20.668
60.0;2.0667000000000004;20.667
61.0;2.0665;20.665
62.0;2.1448;21.448
63.0;2.4273000000000002;24.273
64.0;2.427;24.27
65.0;2.4277;24.277
66.0;2.4275;24.275
67.0;2.4272;24.272
68.0;2.4276;24.276
69.0;2.7341;27.341
70.0;2.7874;27.874
71.0;2.7861000000000002;27.861
72.0;2.7859000000000003;27.859
73.0;2.7879000000000005;27.879
74.0;2.7889;27.889
75.0;2.8786000000000005;28.786
76.0;3.1453;31.453
77.0;3.1461;31.461
78.0;3.1448;31.448
79.0;3.1447000000000003;31.447
80.0;3.1455;31.455
81.0;3.1455;31.455
82.0;3.1456;31.456
83.0;3.2727;32.727
84.0;3.3848000000000003;33.848
85.0;3.3844000000000003;33.844
86.0;3.3851999999999998;33.852
87.0;3.3838000000000004;33.838
