Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_Left_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_Left_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.799420454545455;2.5781371121891925;7.566;-0.256;279.41497631409095;-7.004103967168263

Result table values
power_instruction;488_power;488_error
1.0;0.0;0.0
5.0;116.0;11.6
10.0;518.0;51.8
20.0;1316.0;131.6
30.0;2111.0;211.1
40.0;2899.0;289.9
50.0;3688.0;368.8
60.0;4509.0;450.9
70.0;5305.0;530.5
80.0;6129.0;612.9
90.0;7056.0;705.6
100.0;7544.0;754.4
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0256;-0.256
1.0;-0.025500000000000002;-0.255
2.0;-0.0058000000000000005;-0.058
3.0;0.0019;0.019
4.0;0.0019;0.019
5.0;0.0019;0.019
6.0;0.0019;0.019
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;0.0;0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;7.000000000000001E-4;0.007
17.0;0.011600000000000001;0.116
18.0;0.011700000000000002;0.117
19.0;0.0118;0.118
20.0;0.011600000000000001;0.116
21.0;0.0118;0.118
22.0;0.0119;0.119
23.0;0.0119;0.119
24.0;0.025800000000000003;0.258
25.0;0.0519;0.519
26.0;0.051800000000000006;0.518
27.0;0.051800000000000006;0.518
28.0;0.051800000000000006;0.518
29.0;0.052000000000000005;0.52
30.0;0.0522;0.522
31.0;0.1288;1.288
32.0;0.1317;1.317
33.0;0.13160000000000002;1.316
34.0;0.1317;1.317
35.0;0.1318;1.318
36.0;0.1319;1.319
37.0;0.165;1.65
38.0;0.21070000000000003;2.107
39.0;0.2109;2.109
40.0;0.21110000000000004;2.111
41.0;0.21130000000000002;2.113
42.0;0.21150000000000002;2.115
43.0;0.2118;2.118
44.0;0.2121;2.121
45.0;0.23950000000000002;2.395
46.0;0.28940000000000005;2.894
47.0;0.2896;2.896
48.0;0.2899;2.899
49.0;0.2905;2.905
50.0;0.2909;2.909
51.0;0.29140000000000005;2.914
52.0;0.329;3.29
53.0;0.36760000000000004;3.676
54.0;0.3682;3.682
55.0;0.3688;3.688
56.0;0.3695;3.695
57.0;0.3703;3.703
58.0;0.3711;3.711
59.0;0.44870000000000004;4.487
60.0;0.45010000000000006;4.501
61.0;0.4509000000000001;4.509
62.0;0.45170000000000005;4.517
63.0;0.4526;4.526
64.0;0.4536;4.536
65.0;0.5123000000000001;5.123
66.0;0.5295;5.295
67.0;0.5305;5.305
68.0;0.5319;5.319
69.0;0.5331;5.331
70.0;0.5343;5.343
71.0;0.5532;5.532
72.0;0.6106;6.106
73.0;0.6115;6.115
74.0;0.6129;6.129
75.0;0.6145;6.145
76.0;0.6161;6.161
77.0;0.6176;6.176
78.0;0.6343000000000001;6.343
79.0;0.7043;7.043
80.0;0.7056;7.056
81.0;0.7073;7.073
82.0;0.7091000000000001;7.091
83.0;0.7158000000000001;7.158
84.0;0.7509000000000001;7.509
85.0;0.7524000000000001;7.524
86.0;0.7544;7.544
87.0;0.7566;7.566
