Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_R_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_R_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
12.170984693877548;17.59000907266026;59.383;0.0;487.906291015811;0.0

Result table values
power_instruction;488_power;488_error
1.0;0.0;0.0
4.0;245.0;24.5
10.0;3273.0;327.3
20.0;8571.0;857.1
30.0;14339.0;1433.9
40.0;20158.0;2015.8
50.0;26235.0;2623.5
60.0;33003.0;3300.3
70.0;39706.0;3970.6
80.0;47155.0;4715.5
90.0;55068.0;5506.8
100.0;59345.0;5934.5
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;0.0;0.0
13.0;0.0;0.0
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;0.0;0.0
19.0;0.0;0.0
20.0;0.0;0.0
21.0;-0.0;-0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;0.0;0.0
25.0;0.05210000000000001;0.521
26.0;0.0732;0.732
27.0;0.0734;0.734
28.0;0.0738;0.738
29.0;0.0738;0.738
30.0;0.07490000000000001;0.749
31.0;0.0742;0.742
32.0;0.0742;0.742
33.0;0.0594;0.594
34.0;0.073;0.73
35.0;0.0721;0.721
36.0;0.072;0.72
37.0;0.0713;0.713
38.0;0.0715;0.715
39.0;0.0721;0.721
40.0;0.0722;0.722
41.0;0.0728;0.728
42.0;0.0726;0.726
43.0;0.0729;0.729
44.0;0.073;0.73
45.0;0.0731;0.731
46.0;0.0729;0.729
47.0;0.0723;0.723
48.0;0.0717;0.717
49.0;0.0712;0.712
50.0;0.0713;0.713
51.0;0.0713;0.713
52.0;0.0716;0.716
53.0;0.0718;0.718
54.0;0.0721;0.721
55.0;0.0724;0.724
56.0;0.0728;0.728
57.0;0.0728;0.728
58.0;0.0727;0.727
59.0;0.047;0.47
60.0;0.0;0.0
61.0;0.0;0.0
62.0;0.0;0.0
63.0;0.0;0.0
64.0;0.0;0.0
65.0;0.0;0.0
66.0;0.0;0.0
67.0;0.0;0.0
68.0;-0.0;-0.0
69.0;-0.0;-0.0
70.0;0.0;0.0
71.0;0.0379;0.379
72.0;0.0705;0.705
73.0;0.071;0.71
74.0;0.0703;0.703
75.0;0.0715;0.715
76.0;0.0718;0.718
77.0;0.0302;0.302
78.0;0.0;0.0
79.0;0.0;0.0
80.0;0.0;0.0
81.0;0.0;0.0
82.0;-0.0;-0.0
83.0;0.0;0.0
84.0;0.0;0.0
85.0;0.0;0.0
86.0;0.0;0.0
87.0;0.016900000000000002;0.169
88.0;0.0246;0.246
89.0;0.0246;0.246
90.0;0.0245;0.245
91.0;0.0246;0.246
92.0;0.0245;0.245
93.0;0.0246;0.246
94.0;0.0247;0.247
95.0;0.18480000000000002;1.848
96.0;0.32370000000000004;3.237
97.0;0.3247;3.247
98.0;0.32400000000000007;3.24
99.0;0.3239;3.239
100.0;0.32410000000000005;3.241
101.0;0.32530000000000003;3.253
102.0;0.32730000000000004;3.273
103.0;0.3269;3.269
104.0;0.3271;3.271
105.0;0.3269;3.269
106.0;0.3271;3.271
107.0;0.327;3.27
108.0;0.3269;3.269
109.0;0.327;3.27
110.0;0.327;3.27
111.0;0.3272;3.272
112.0;0.3275;3.275
113.0;0.3276;3.276
114.0;0.7687;7.687
115.0;0.8599000000000001;8.599
116.0;0.8588;8.588
117.0;0.8571;8.571
118.0;0.8578;8.578
119.0;0.8585000000000002;8.585
120.0;0.8593000000000001;8.593
121.0;0.8595000000000002;8.595
122.0;0.8597;8.597
123.0;0.8603999999999999;8.604
124.0;0.8607;8.607
125.0;0.8606;8.606
126.0;0.8607;8.607
127.0;0.8609;8.609
128.0;0.8611000000000001;8.611
129.0;0.8611000000000001;8.611
130.0;0.8608000000000001;8.608
131.0;0.8609;8.609
132.0;0.8606;8.606
133.0;0.8602000000000001;8.602
134.0;0.86;8.6
135.0;0.8580000000000001;8.58
136.0;0.8577;8.577
137.0;1.2394;12.394
138.0;1.4334;14.334
139.0;1.4311;14.311
140.0;1.4339000000000002;14.339
141.0;1.4362000000000001;14.362
142.0;1.4361000000000002;14.361
143.0;1.436;14.36
144.0;1.5219;15.219
145.0;2.0159;20.159
146.0;2.0138000000000003;20.138
147.0;2.0158;20.158
148.0;2.0148;20.148
149.0;2.0163;20.163
150.0;2.0181;20.181
151.0;2.0196;20.196
152.0;2.4045000000000005;24.045
153.0;2.6175;26.175
154.0;2.6198;26.198
155.0;2.6203000000000003;26.203
156.0;2.6235;26.235
157.0;2.6255;26.255
158.0;2.6270000000000002;26.27
159.0;2.6282;26.282
160.0;2.8224;28.224
161.0;3.2977;32.977
162.0;3.2967;32.967
163.0;3.3003;33.003
164.0;3.3020000000000005;33.02
165.0;3.3032;33.032
166.0;3.3046;33.046
167.0;3.3397;33.397
168.0;3.9675;39.675
169.0;3.9673000000000003;39.673
170.0;3.9706000000000006;39.706
171.0;3.9744;39.744
172.0;3.9781;39.781
173.0;3.9806;39.806
174.0;3.9829000000000003;39.829
175.0;3.9848;39.848
176.0;4.4571;44.571
177.0;4.711;47.11
178.0;4.7155000000000005;47.155
179.0;4.7195;47.195
180.0;4.7235000000000005;47.235
181.0;4.7281;47.281
182.0;4.7315;47.315
183.0;4.84;48.4
184.0;5.5025;55.025
185.0;5.502300000000001;55.023
186.0;5.5068;55.068
187.0;5.5113;55.113
188.0;5.5154000000000005;55.154
189.0;5.5189;55.189
190.0;5.5224;55.224
191.0;5.7583;57.583
192.0;5.9299;59.299
193.0;5.9303;59.303
194.0;5.9345;59.345
195.0;5.938300000000001;59.383
