Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
690_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;690_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
4.608793478260871;4.74242956049729;12.952;0.001;281.00629939458827;0.015440438508440568

Result table values
power_instruction;690_power;690_error
1.0;1.0;0.1
5.0;1.0;0.1
10.0;1.0;0.1
20.0;339.0;33.9
30.0;2345.0;234.5
40.0;4225.0;422.5
50.0;6056.0;605.6
60.0;7744.0;774.4
70.0;9361.0;936.1
80.0;10904.0;1090.4
90.0;12206.0;1220.6
100.0;12910.0;1291.0
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;1.0E-4;0.001
7.0;1.0E-4;0.001
8.0;1.0E-4;0.001
9.0;1.0E-4;0.001
10.0;1.0E-4;0.001
11.0;1.0E-4;0.001
12.0;1.0E-4;0.001
13.0;1.0E-4;0.001
14.0;1.0E-4;0.001
15.0;1.0E-4;0.001
16.0;1.0E-4;0.001
17.0;1.0E-4;0.001
18.0;1.0E-4;0.001
19.0;1.0E-4;0.001
20.0;1.0E-4;0.001
21.0;1.0E-4;0.001
22.0;1.0E-4;0.001
23.0;1.0E-4;0.001
24.0;1.0E-4;0.001
25.0;1.0E-4;0.001
26.0;1.0E-4;0.001
27.0;0.0241;0.241
28.0;0.033900000000000007;0.339
29.0;0.033900000000000007;0.339
30.0;0.033600000000000005;0.336
31.0;0.0335;0.335
32.0;0.033600000000000005;0.336
33.0;0.0582;0.582
34.0;0.23470000000000002;2.347
35.0;0.23470000000000002;2.347
36.0;0.23450000000000004;2.345
37.0;0.23470000000000002;2.347
38.0;0.23460000000000003;2.346
39.0;0.23399999999999999;2.34
40.0;0.23450000000000004;2.345
41.0;0.35860000000000003;3.586
42.0;0.4222000000000001;4.222
43.0;0.4225;4.225
44.0;0.422;4.22
45.0;0.42240000000000005;4.224
46.0;0.4228;4.228
47.0;0.4215;4.215
48.0;0.44070000000000004;4.407
49.0;0.6078000000000001;6.078
50.0;0.6055;6.055
51.0;0.6056;6.056
52.0;0.6072000000000001;6.072
53.0;0.6061000000000001;6.061
54.0;0.6072000000000001;6.072
55.0;0.6689;6.689
56.0;0.7766000000000001;7.766
57.0;0.7769;7.769
58.0;0.7769;7.769
59.0;0.7744;7.744
60.0;0.7755000000000001;7.755
61.0;0.7753000000000001;7.753
62.0;0.7736000000000001;7.736
63.0;0.8629;8.629
64.0;0.9374000000000001;9.374
65.0;0.9361000000000002;9.361
66.0;0.9374000000000001;9.374
67.0;0.9364000000000001;9.364
68.0;0.9359999999999999;9.36
69.0;1.0485;10.485
70.0;1.0923;10.923
71.0;1.0904;10.904
72.0;1.0912000000000002;10.912
73.0;1.0905;10.905
74.0;1.0915;10.915
75.0;1.1863;11.863
76.0;1.2209;12.209
77.0;1.2206000000000001;12.206
78.0;1.2188;12.188
79.0;1.2225000000000001;12.225
80.0;1.2192;12.192
81.0;1.2743000000000002;12.743
82.0;1.2930000000000001;12.93
83.0;1.2910000000000001;12.91
84.0;1.2916;12.916
85.0;1.2952000000000001;12.952
86.0;1.2913000000000001;12.913
87.0;0.35910000000000003;3.591
88.0;4.0E-4;0.004
89.0;3.0000000000000003E-4;0.003
90.0;2.0E-4;0.002
91.0;2.0E-4;0.002
