Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
488_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;488_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.3672277227722773;2.3284659431776915;6.732;-0.0;284.3832866284663;0.0

Result table values
power_instruction;488_power;488_error
1.0;0.0;0.0
5.0;106.0;10.6
10.0;469.0;46.9
20.0;1186.0;118.6
30.0;1893.0;189.3
40.0;2590.0;259.0
50.0;3280.0;328.0
60.0;4005.0;400.5
70.0;4716.0;471.6
80.0;5440.0;544.0
90.0;6251.0;625.1
100.0;6714.0;671.4
time;measured_optical_power_error;measured_optical_power_average
0.0;9.0E-4;0.009
1.0;8.0E-4;0.008
2.0;8.0E-4;0.008
3.0;9.0E-4;0.009
4.0;8.0E-4;0.008
5.0;8.0E-4;0.008
6.0;8.0E-4;0.008
7.0;7.000000000000001E-4;0.007
8.0;7.000000000000001E-4;0.007
9.0;6.000000000000001E-4;0.006
10.0;-0.0;-0.0
11.0;1.0E-4;0.001
12.0;0.0;0.0
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;0.0;0.0
19.0;0.0;0.0
20.0;0.0;0.0
21.0;0.0;0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;0.0058000000000000005;0.058
25.0;0.0104;0.104
26.0;0.0105;0.105
27.0;0.0106;0.106
28.0;0.0105;0.105
29.0;0.0105;0.105
30.0;0.010700000000000001;0.107
31.0;0.0143;0.143
32.0;0.046400000000000004;0.464
33.0;0.0466;0.466
34.0;0.04650000000000001;0.465
35.0;0.0466;0.466
36.0;0.046700000000000005;0.467
37.0;0.0469;0.469
38.0;0.0469;0.469
39.0;0.0466;0.466
40.0;0.060200000000000004;0.602
41.0;0.11850000000000001;1.185
42.0;0.11870000000000001;1.187
43.0;0.1186;1.186
44.0;0.11870000000000001;1.187
45.0;0.1188;1.188
46.0;0.11910000000000001;1.191
47.0;0.1192;1.192
48.0;0.1829;1.829
49.0;0.18910000000000002;1.891
50.0;0.18930000000000002;1.893
51.0;0.18930000000000002;1.893
52.0;0.1895;1.895
53.0;0.1898;1.898
54.0;0.21130000000000002;2.113
55.0;0.25870000000000004;2.587
56.0;0.25880000000000003;2.588
57.0;0.259;2.59
58.0;0.25930000000000003;2.593
59.0;0.2597;2.597
60.0;0.26;2.6
61.0;0.2978;2.978
62.0;0.327;3.27
63.0;0.32730000000000004;3.273
64.0;0.328;3.28
65.0;0.3285;3.285
66.0;0.3291;3.291
67.0;0.32970000000000005;3.297
68.0;0.33030000000000004;3.303
69.0;0.37810000000000005;3.781
70.0;0.39990000000000003;3.999
71.0;0.4005;4.005
72.0;0.4011;4.011
73.0;0.4018;4.018
74.0;0.4026;4.026
75.0;0.4035;4.035
76.0;0.4571;4.571
77.0;0.4709;4.709
78.0;0.4716;4.716
79.0;0.47270000000000006;4.727
80.0;0.4737;4.737
81.0;0.4747;4.747
82.0;0.4758;4.758
83.0;0.5397000000000001;5.397
84.0;0.543;5.43
85.0;0.544;5.44
86.0;0.5453;5.453
87.0;0.5465;5.465
88.0;0.5478;5.478
89.0;0.5964;5.964
90.0;0.6238000000000001;6.238
91.0;0.6251000000000001;6.251
92.0;0.6266;6.266
93.0;0.6282000000000001;6.282
94.0;0.6299000000000001;6.299
95.0;0.6315000000000001;6.315
96.0;0.6641;6.641
97.0;0.6682000000000001;6.682
98.0;0.6697000000000001;6.697
99.0;0.6714000000000001;6.714
100.0;0.6732;6.732
