Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
561_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;561_Right_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
10.75609090909091;10.897524695453779;31.967;-0.001;297.20834706762344;-0.006256647688185346

Result table values
power_instruction;561_power;561_error
1.0;59.0;5.9
5.0;828.0;82.8
10.0;2466.0;246.6
20.0;5898.0;589.8
30.0;9323.0;932.3
40.0;12735.0;1273.5
50.0;16136.0;1613.6
60.0;19535.0;1953.5
70.0;22931.0;2293.1
80.0;26322.0;2632.2
90.0;29705.0;2970.5
100.0;31959.0;3195.9
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0246;0.246
1.0;0.0247;0.247
2.0;0.0246;0.246
3.0;0.0;0.0
4.0;-0.0;-0.0
5.0;-0.0;-0.0
6.0;-1.0E-4;-0.001
7.0;-0.0;-0.0
8.0;0.0057;0.057
9.0;0.0058000000000000005;0.058
10.0;0.0058000000000000005;0.058
11.0;0.0059;0.059
12.0;0.0059;0.059
13.0;0.006;0.06
14.0;0.0059;0.059
15.0;0.0059;0.059
16.0;0.006;0.06
17.0;0.0059;0.059
18.0;0.0059;0.059
19.0;0.0059;0.059
20.0;0.0059;0.059
21.0;0.0059;0.059
22.0;0.006;0.06
23.0;0.0059;0.059
24.0;0.0256;0.256
25.0;0.0829;0.829
26.0;0.0829;0.829
27.0;0.0828;0.828
28.0;0.0828;0.828
29.0;0.0829;0.829
30.0;0.0829;0.829
31.0;0.0829;0.829
32.0;0.24380000000000002;2.438
33.0;0.24700000000000003;2.47
34.0;0.24670000000000003;2.467
35.0;0.24670000000000003;2.467
36.0;0.24670000000000003;2.467
37.0;0.24670000000000003;2.467
38.0;0.24670000000000003;2.467
39.0;0.24660000000000004;2.466
40.0;0.24660000000000004;2.466
41.0;0.24660000000000004;2.466
42.0;0.24670000000000003;2.467
43.0;0.5656;5.656
44.0;0.5898;5.898
45.0;0.5898;5.898
46.0;0.5898;5.898
47.0;0.5897;5.897
48.0;0.5897;5.897
49.0;0.7526;7.526
50.0;0.9326000000000001;9.326
51.0;0.9325;9.325
52.0;0.9323000000000001;9.323
53.0;0.9323000000000001;9.323
54.0;0.9321;9.321
55.0;0.9321999999999999;9.322
56.0;0.932;9.32
57.0;1.0255;10.255
58.0;1.2737;12.737
59.0;1.2736;12.736
60.0;1.2735;12.735
61.0;1.2734;12.734
62.0;1.2732;12.732
63.0;1.2854;12.854
64.0;1.6138000000000003;16.138
65.0;1.6142;16.142
66.0;1.6136;16.136
67.0;1.6138000000000003;16.138
68.0;1.6139000000000001;16.139
69.0;1.6135000000000002;16.135
70.0;1.8408000000000002;18.408
71.0;1.9539000000000002;19.539
72.0;1.9535;19.535
73.0;1.9533000000000003;19.533
74.0;1.9527999999999999;19.528
75.0;1.9526000000000001;19.526
76.0;1.9522;19.522
77.0;2.2894;22.894
78.0;2.2934;22.934
79.0;2.2931000000000004;22.931
80.0;2.2928;22.928
81.0;2.2925;22.925
82.0;2.3689;23.689
83.0;2.633;26.33
84.0;2.633;26.33
85.0;2.6322;26.322
86.0;2.6321000000000003;26.321
87.0;2.6318;26.318
88.0;2.6313;26.313
89.0;2.8966000000000003;28.966
90.0;2.9705;29.705
91.0;2.9702;29.702
92.0;2.9697;29.697
93.0;2.9695;29.695
94.0;3.1032;31.032
95.0;3.1967;31.967
96.0;3.1962;31.962
97.0;3.1959;31.959
98.0;3.1955;31.955
