Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_acquisition_duration.jpg;405_POWER_HM_power_meter_SLPM-161_Calibration.argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.0588333333333333;1.3497139650619556;4.543;0.205;210.7018538006962;8.635214827295702

Result table values
power_instruction;405_power;405_error
1.0;38.0;3.8
5.0;206.0;20.6
10.0;426.0;42.6
20.0;872.0;87.2
30.0;1320.0;132.0
40.0;1770.0;177.0
50.0;2223.0;222.3
60.0;2681.0;268.1
70.0;3128.0;312.8
80.0;3609.0;360.9
90.0;4074.0;407.4
100.0;4543.0;454.3
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0205;0.205
1.0;0.0206;0.206
2.0;0.0206;0.206
3.0;0.0206;0.206
4.0;0.0206;0.206
5.0;0.0206;0.206
6.0;0.0206;0.206
7.0;0.0206;0.206
8.0;0.040100000000000004;0.401
9.0;0.0426;0.426
10.0;0.0426;0.426
11.0;0.0426;0.426
12.0;0.0427;0.427
13.0;0.0429;0.429
14.0;0.043000000000000003;0.43
15.0;0.0499;0.499
16.0;0.08710000000000001;0.871
17.0;0.08700000000000001;0.87
18.0;0.08710000000000001;0.871
19.0;0.0872;0.872
20.0;0.0872;0.872
21.0;0.0873;0.873
22.0;0.0873;0.873
23.0;0.08710000000000001;0.871
24.0;0.10660000000000001;1.066
25.0;0.1318;1.318
26.0;0.1322;1.322
27.0;0.1322;1.322
28.0;0.1321;1.321
29.0;0.132;1.32
30.0;0.132;1.32
31.0;0.132;1.32
32.0;0.1319;1.319
33.0;0.1319;1.319
34.0;0.132;1.32
35.0;0.14880000000000002;1.488
36.0;0.1766;1.766
37.0;0.1771;1.771
38.0;0.17700000000000002;1.77
39.0;0.17700000000000002;1.77
40.0;0.17720000000000002;1.772
41.0;0.1771;1.771
42.0;0.19530000000000003;1.953
43.0;0.2219;2.219
44.0;0.2222;2.222
45.0;0.2223;2.223
46.0;0.22240000000000004;2.224
47.0;0.22260000000000002;2.226
48.0;0.2223;2.223
49.0;0.22210000000000002;2.221
50.0;0.2222;2.222
51.0;0.24500000000000002;2.45
52.0;0.268;2.68
53.0;0.26789999999999997;2.679
54.0;0.2681;2.681
55.0;0.2681;2.681
56.0;0.2681;2.681
57.0;0.2682;2.682
58.0;0.2746;2.746
59.0;0.31360000000000005;3.136
60.0;0.3128;3.128
61.0;0.3128;3.128
62.0;0.3128;3.128
63.0;0.313;3.13
64.0;0.3131;3.131
65.0;0.31320000000000003;3.132
66.0;0.34540000000000004;3.454
67.0;0.36050000000000004;3.605
68.0;0.3608;3.608
69.0;0.3609;3.609
70.0;0.3608;3.608
71.0;0.3608;3.608
72.0;0.361;3.61
73.0;0.37770000000000004;3.777
74.0;0.40759999999999996;4.076
75.0;0.40759999999999996;4.076
76.0;0.4074;4.074
77.0;0.4074;4.074
78.0;0.40750000000000003;4.075
79.0;0.41440000000000005;4.144
80.0;0.4534;4.534
81.0;0.4542;4.542
82.0;0.45430000000000004;4.543
83.0;0.454;4.54
