Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
594_POWER_HM_power_meter_SLPM-161_Calibration(2).argo_measured_optical_power_vs_acquisition_duration.jpg;594_POWER_HM_power_meter_SLPM-161_Calibration(2).argo_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.23251428571428573;0.2256690719077352;0.652;0.001;279.9827967559597;0.3062787136294043

Result table values
power_instruction;594_power;594_error
1.0;8.0;0.8
5.0;35.0;3.5
10.0;70.0;7.0
20.0;137.0;13.7
30.0;205.0;20.5
40.0;272.0;27.2
50.0;338.0;33.8
60.0;405.0;40.5
70.0;470.0;47.0
80.0;534.0;53.4
90.0;598.0;59.8
100.0;652.0;65.2
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;1.0E-4;0.001
2.0;1.0E-4;0.001
3.0;1.0E-4;0.001
4.0;1.0E-4;0.001
5.0;1.0E-4;0.001
6.0;1.0E-4;0.001
7.0;2.0E-4;0.002
8.0;2.0E-4;0.002
9.0;2.0E-4;0.002
10.0;2.0E-4;0.002
11.0;2.0E-4;0.002
12.0;2.0E-4;0.002
13.0;2.0E-4;0.002
14.0;8.0E-4;0.008
15.0;8.0E-4;0.008
16.0;8.0E-4;0.008
17.0;8.0E-4;0.008
18.0;8.0E-4;0.008
19.0;8.0E-4;0.008
20.0;8.0E-4;0.008
21.0;7.000000000000001E-4;0.007
22.0;8.0E-4;0.008
23.0;8.0E-4;0.008
24.0;8.0E-4;0.008
25.0;8.0E-4;0.008
26.0;8.0E-4;0.008
27.0;7.000000000000001E-4;0.007
28.0;8.0E-4;0.008
29.0;8.0E-4;0.008
30.0;8.0E-4;0.008
31.0;8.0E-4;0.008
32.0;8.0E-4;0.008
33.0;0.002;0.02
34.0;0.0035000000000000005;0.035
35.0;0.0035000000000000005;0.035
36.0;0.0035000000000000005;0.035
37.0;0.0035000000000000005;0.035
38.0;0.0048000000000000004;0.048
39.0;0.007000000000000001;0.07
40.0;0.007000000000000001;0.07
41.0;0.007000000000000001;0.07
42.0;0.007000000000000001;0.07
43.0;0.007000000000000001;0.07
44.0;0.006900000000000001;0.069
45.0;0.009500000000000001;0.095
46.0;0.013700000000000002;0.137
47.0;0.013700000000000002;0.137
48.0;0.013700000000000002;0.137
49.0;0.013700000000000002;0.137
50.0;0.013700000000000002;0.137
51.0;0.016300000000000002;0.163
52.0;0.0204;0.204
53.0;0.0204;0.204
54.0;0.0205;0.205
55.0;0.0204;0.204
56.0;0.0204;0.204
57.0;0.0204;0.204
58.0;0.024300000000000002;0.243
59.0;0.027200000000000002;0.272
60.0;0.027200000000000002;0.272
61.0;0.027200000000000002;0.272
62.0;0.027200000000000002;0.272
63.0;0.027200000000000002;0.272
64.0;0.027900000000000005;0.279
65.0;0.033800000000000004;0.338
66.0;0.033800000000000004;0.338
67.0;0.033800000000000004;0.338
68.0;0.033800000000000004;0.338
69.0;0.033800000000000004;0.338
70.0;0.033800000000000004;0.338
71.0;0.034499999999999996;0.345
72.0;0.04050000000000001;0.405
73.0;0.04050000000000001;0.405
74.0;0.04050000000000001;0.405
75.0;0.04050000000000001;0.405
76.0;0.04050000000000001;0.405
77.0;0.04050000000000001;0.405
78.0;0.04050000000000001;0.405
79.0;0.0459;0.459
80.0;0.047;0.47
81.0;0.047;0.47
82.0;0.047;0.47
83.0;0.047;0.47
84.0;0.047;0.47
85.0;0.0471;0.471
86.0;0.050800000000000005;0.508
87.0;0.0534;0.534
88.0;0.0534;0.534
89.0;0.0534;0.534
90.0;0.0534;0.534
91.0;0.0534;0.534
92.0;0.0534;0.534
93.0;0.0534;0.534
94.0;0.0596;0.596
95.0;0.0598;0.598
96.0;0.0598;0.598
97.0;0.0598;0.598
98.0;0.0599;0.599
99.0;0.0598;0.598
100.0;0.0637;0.637
101.0;0.06520000000000001;0.652
102.0;0.06520000000000001;0.652
103.0;0.06520000000000001;0.652
104.0;0.06520000000000001;0.652
