Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
0.6496;0.7845;2.2190;-0.0010;341.7680;-0.0902

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;488_power;488_error
1.0;21.0;2.0
2.0;44.0;4.0
5.0;113.0;11.0
10.0;225.0;22.0
20.0;448.0;45.0
50.0;1123.0;112.0
75.0;1688.0;169.0
100.0;2217.0;222.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;-0.0010;-0.0000
1.0000;-0.0010;-0.0000
2.0000;-0.0010;-0.0000
3.0000;-0.0010;-0.0000
4.0000;0.0000;0.0000
5.0000;0.0000;0.0000
6.0000;-0.0000;-0.0000
7.0000;-0.0000;-0.0000
8.0000;-0.0000;-0.0000
9.0000;-0.0000;-0.0000
10.0000;-0.0000;-0.0000
11.0000;-0.0000;-0.0000
12.0000;0.0200;0.0020
13.0000;0.0210;0.0020
14.0000;0.0210;0.0020
15.0000;0.0210;0.0020
16.0000;0.0210;0.0020
17.0000;0.0210;0.0020
18.0000;0.0210;0.0020
19.0000;0.0210;0.0020
20.0000;0.0210;0.0020
21.0000;0.0210;0.0020
22.0000;0.0210;0.0020
23.0000;0.0210;0.0020
24.0000;0.0410;0.0040
25.0000;0.0440;0.0040
26.0000;0.0440;0.0040
27.0000;0.0440;0.0040
28.0000;0.0440;0.0040
29.0000;0.0440;0.0040
30.0000;0.0440;0.0040
31.0000;0.0440;0.0040
32.0000;0.0440;0.0040
33.0000;0.0440;0.0040
34.0000;0.0440;0.0040
35.0000;0.0440;0.0040
36.0000;0.0720;0.0070
37.0000;0.1130;0.0110
38.0000;0.1130;0.0110
39.0000;0.1130;0.0110
40.0000;0.1130;0.0110
41.0000;0.1130;0.0110
42.0000;0.1130;0.0110
43.0000;0.1130;0.0110
44.0000;0.1130;0.0110
45.0000;0.1130;0.0110
46.0000;0.1130;0.0110
47.0000;0.1130;0.0110
48.0000;0.1970;0.0200
49.0000;0.2250;0.0220
50.0000;0.2250;0.0220
51.0000;0.2250;0.0220
52.0000;0.2250;0.0220
53.0000;0.2250;0.0220
54.0000;0.2250;0.0220
55.0000;0.2250;0.0220
56.0000;0.2250;0.0220
57.0000;0.2250;0.0220
58.0000;0.2250;0.0220
59.0000;0.2250;0.0220
60.0000;0.2250;0.0220
61.0000;0.2250;0.0220
62.0000;0.2250;0.0220
63.0000;0.2990;0.0300
64.0000;0.4480;0.0450
65.0000;0.4480;0.0450
66.0000;0.4480;0.0450
67.0000;0.4480;0.0450
68.0000;0.4480;0.0450
69.0000;0.4480;0.0450
70.0000;0.4480;0.0450
71.0000;0.4480;0.0450
72.0000;0.4480;0.0450
73.0000;0.4480;0.0450
74.0000;1.0970;0.1100
75.0000;1.1230;0.1120
76.0000;1.1230;0.1120
77.0000;1.1230;0.1120
78.0000;1.1230;0.1120
79.0000;1.1230;0.1120
80.0000;1.1230;0.1120
81.0000;1.1230;0.1120
82.0000;1.1230;0.1120
83.0000;1.1220;0.1120
84.0000;1.1220;0.1120
85.0000;1.1220;0.1120
86.0000;1.3980;0.1400
87.0000;1.6870;0.1690
88.0000;1.6880;0.1690
89.0000;1.6880;0.1690
90.0000;1.6890;0.1690
91.0000;1.6880;0.1690
92.0000;1.6880;0.1690
93.0000;1.6880;0.1690
94.0000;1.6890;0.1690
95.0000;1.6890;0.1690
96.0000;1.6890;0.1690
97.0000;2.1440;0.2140
98.0000;2.2160;0.2220
99.0000;2.2160;0.2220
100.0000;2.2170;0.2220
101.0000;2.2170;0.2220
102.0000;2.2170;0.2220
103.0000;2.2170;0.2220
104.0000;2.2170;0.2220
105.0000;2.2180;0.2220
106.0000;2.2180;0.2220
107.0000;2.2180;0.2220
108.0000;2.2190;0.2220
109.0000;2.2190;0.2220
