Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_405_measured_optical_power_vs_acquisition_duration.jpg;power_405_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.8677939393939396;1.9773839936896054;5.744;0.0;307.52857040877905;0.0

Result table values
power_instruction;405_power;405_error
0.0;1.0;0.1
1.0;51.0;5.1
2.0;104.0;10.4
5.0;269.0;26.9
10.0;554.0;55.4
20.0;1126.0;112.6
30.0;1707.0;170.7
40.0;2285.0;228.5
50.0;2863.0;286.3
60.0;3441.0;344.1
70.0;4014.0;401.4
80.0;4585.0;458.5
90.0;5157.0;515.7
100.0;5737.0;573.7
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0038;0.038
1.0;0.0037;0.037
2.0;0.0038;0.038
3.0;0.0038;0.038
4.0;0.0038;0.038
5.0;0.0;0.0
6.0;1.0E-4;0.001
7.0;1.0E-4;0.001
8.0;1.0E-4;0.001
9.0;1.0E-4;0.001
10.0;0.0;0.0
11.0;1.0E-4;0.001
12.0;0.0;0.0
13.0;1.0E-4;0.001
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;1.0E-4;0.001
17.0;1.0E-4;0.001
18.0;0.0;0.0
19.0;1.0E-4;0.001
20.0;0.0;0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;0.0;0.0
27.0;0.0;0.0
28.0;0.0;0.0
29.0;0.0;0.0
30.0;7.000000000000001E-4;0.007
31.0;0.005000000000000001;0.05
32.0;0.005000000000000001;0.05
33.0;0.0052;0.052
34.0;0.0051;0.051
35.0;0.0051;0.051
36.0;0.0051;0.051
37.0;0.0052;0.052
38.0;0.0051;0.051
39.0;0.0052;0.052
40.0;0.0052;0.052
41.0;0.0051;0.051
42.0;0.0051;0.051
43.0;0.0051;0.051
44.0;0.0051;0.051
45.0;0.006500000000000001;0.065
46.0;0.0105;0.105
47.0;0.0104;0.104
48.0;0.0104;0.104
49.0;0.0104;0.104
50.0;0.0104;0.104
51.0;0.0104;0.104
52.0;0.0104;0.104
53.0;0.0104;0.104
54.0;0.0104;0.104
55.0;0.0104;0.104
56.0;0.0104;0.104
57.0;0.0104;0.104
58.0;0.0105;0.105
59.0;0.0286;0.286
60.0;0.027000000000000003;0.27
61.0;0.027000000000000003;0.27
62.0;0.026900000000000004;0.269
63.0;0.026900000000000004;0.269
64.0;0.026900000000000004;0.269
65.0;0.027000000000000003;0.27
66.0;0.026900000000000004;0.269
67.0;0.026900000000000004;0.269
68.0;0.026900000000000004;0.269
69.0;0.0391;0.391
70.0;0.05550000000000001;0.555
71.0;0.05550000000000001;0.555
72.0;0.055400000000000005;0.554
73.0;0.055400000000000005;0.554
74.0;0.055400000000000005;0.554
75.0;0.05550000000000001;0.555
76.0;0.05530000000000001;0.553
77.0;0.055400000000000005;0.554
78.0;0.1017;1.017
79.0;0.11259999999999999;1.126
80.0;0.11259999999999999;1.126
81.0;0.11259999999999999;1.126
82.0;0.11259999999999999;1.126
83.0;0.1129;1.129
84.0;0.1129;1.129
85.0;0.1129;1.129
86.0;0.1128;1.128
87.0;0.1694;1.694
88.0;0.1708;1.708
89.0;0.17090000000000002;1.709
90.0;0.17070000000000002;1.707
91.0;0.1706;1.706
92.0;0.17070000000000002;1.707
93.0;0.17090000000000002;1.709
94.0;0.17090000000000002;1.709
95.0;0.18730000000000002;1.873
96.0;0.2283;2.283
97.0;0.2284;2.284
98.0;0.22870000000000001;2.287
99.0;0.22860000000000003;2.286
100.0;0.22850000000000004;2.285
101.0;0.22870000000000001;2.287
102.0;0.2288;2.288
103.0;0.22870000000000001;2.287
104.0;0.22850000000000004;2.285
105.0;0.2284;2.284
106.0;0.22870000000000001;2.287
107.0;0.22850000000000004;2.285
108.0;0.264;2.64
109.0;0.2862;2.862
110.0;0.2859;2.859
111.0;0.2863;2.863
112.0;0.2862;2.862
113.0;0.2857;2.857
114.0;0.2859;2.859
115.0;0.2861;2.861
116.0;0.2864;2.864
117.0;0.3437;3.437
118.0;0.3441;3.441
119.0;0.3441;3.441
120.0;0.3441;3.441
121.0;0.3441;3.441
122.0;0.34420000000000006;3.442
123.0;0.3441;3.441
124.0;0.34420000000000006;3.442
125.0;0.34420000000000006;3.442
126.0;0.3671;3.671
127.0;0.4011;4.011
128.0;0.40140000000000003;4.014
129.0;0.40140000000000003;4.014
130.0;0.4012;4.012
131.0;0.40140000000000003;4.014
132.0;0.40140000000000003;4.014
133.0;0.40149999999999997;4.015
134.0;0.40149999999999997;4.015
135.0;0.4552;4.552
136.0;0.45860000000000006;4.586
137.0;0.45880000000000004;4.588
138.0;0.45860000000000006;4.586
139.0;0.4584;4.584
140.0;0.4585;4.585
141.0;0.4584;4.584
142.0;0.4585;4.585
143.0;0.4585;4.585
144.0;0.4585;4.585
145.0;0.458;4.58
146.0;0.4579;4.579
147.0;0.4972000000000001;4.972
148.0;0.5158;5.158
149.0;0.5158;5.158
150.0;0.5157;5.157
151.0;0.516;5.16
152.0;0.5161;5.161
153.0;0.5161;5.161
154.0;0.5162;5.162
155.0;0.5325000000000001;5.325
156.0;0.5734;5.734
157.0;0.5737;5.737
158.0;0.5737;5.737
159.0;0.5740999999999999;5.741
160.0;0.5742;5.742
161.0;0.5738000000000001;5.738
162.0;0.5740999999999999;5.741
163.0;0.5743;5.743
164.0;0.5744;5.744
