Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_488_measured_optical_power_vs_acquisition_duration.jpg;power_488_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.3210335570469802;1.2687671513713803;3.626;-0.0;274.48205086519596;0.0

Result table values
power_instruction;488_power;488_error
1.0;39.0;3.9
2.0;78.0;7.8
5.0;195.0;19.5
10.0;390.0;39.0
20.0;779.0;77.9
30.0;1166.0;116.6
40.0;1550.0;155.0
50.0;1928.0;192.8
60.0;2305.0;230.5
70.0;2674.0;267.4
80.0;3034.0;303.4
90.0;3369.0;336.9
100.0;3625.0;362.5
time;measured_optical_power_error;measured_optical_power_average
0.0;0.002;0.02
1.0;0.002;0.02
2.0;0.002;0.02
3.0;0.002;0.02
4.0;-0.0;-0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;1.0E-4;0.001
10.0;0.0;0.0
11.0;0.0;0.0
12.0;1.0E-4;0.001
13.0;1.0E-4;0.001
14.0;0.0;0.0
15.0;0.0;0.0
16.0;1.0E-4;0.001
17.0;1.0E-4;0.001
18.0;0.0;0.0
19.0;0.0;0.0
20.0;1.0E-4;0.001
21.0;0.0;0.0
22.0;0.0012000000000000001;0.012
23.0;0.0039000000000000003;0.039
24.0;0.0039000000000000003;0.039
25.0;0.0039000000000000003;0.039
26.0;0.0039000000000000003;0.039
27.0;0.0039000000000000003;0.039
28.0;0.0039000000000000003;0.039
29.0;0.0039000000000000003;0.039
30.0;0.0039000000000000003;0.039
31.0;0.0039000000000000003;0.039
32.0;0.0039000000000000003;0.039
33.0;0.0039000000000000003;0.039
34.0;0.0058000000000000005;0.058
35.0;0.0078000000000000005;0.078
36.0;0.0078000000000000005;0.078
37.0;0.0078000000000000005;0.078
38.0;0.0077;0.077
39.0;0.0078000000000000005;0.078
40.0;0.0078000000000000005;0.078
41.0;0.0078000000000000005;0.078
42.0;0.0078000000000000005;0.078
43.0;0.0077;0.077
44.0;0.0184;0.184
45.0;0.019500000000000003;0.195
46.0;0.019500000000000003;0.195
47.0;0.019500000000000003;0.195
48.0;0.019500000000000003;0.195
49.0;0.019500000000000003;0.195
50.0;0.019500000000000003;0.195
51.0;0.019500000000000003;0.195
52.0;0.019500000000000003;0.195
53.0;0.019500000000000003;0.195
54.0;0.0332;0.332
55.0;0.03900000000000001;0.39
56.0;0.03900000000000001;0.39
57.0;0.03900000000000001;0.39
58.0;0.03900000000000001;0.39
59.0;0.03900000000000001;0.39
60.0;0.03900000000000001;0.39
61.0;0.03900000000000001;0.39
62.0;0.0579;0.579
63.0;0.07780000000000001;0.778
64.0;0.07780000000000001;0.778
65.0;0.07780000000000001;0.778
66.0;0.07780000000000001;0.778
67.0;0.07790000000000001;0.779
68.0;0.07780000000000001;0.778
69.0;0.07790000000000001;0.779
70.0;0.07780000000000001;0.778
71.0;0.07780000000000001;0.778
72.0;0.0907;0.907
73.0;0.1165;1.165
74.0;0.1165;1.165
75.0;0.1165;1.165
76.0;0.1166;1.166
77.0;0.1166;1.166
78.0;0.1166;1.166
79.0;0.1166;1.166
80.0;0.1166;1.166
81.0;0.11670000000000001;1.167
82.0;0.14970000000000003;1.497
83.0;0.15500000000000003;1.55
84.0;0.15500000000000003;1.55
85.0;0.15500000000000003;1.55
86.0;0.15500000000000003;1.55
87.0;0.15500000000000003;1.55
88.0;0.15500000000000003;1.55
89.0;0.15500000000000003;1.55
90.0;0.1549;1.549
91.0;0.1549;1.549
92.0;0.1549;1.549
93.0;0.15480000000000002;1.548
94.0;0.15480000000000002;1.548
95.0;0.15480000000000002;1.548
96.0;0.17520000000000002;1.752
97.0;0.1928;1.928
98.0;0.1928;1.928
99.0;0.1928;1.928
100.0;0.1928;1.928
101.0;0.19290000000000002;1.929
102.0;0.1928;1.928
103.0;0.1928;1.928
104.0;0.20190000000000002;2.019
105.0;0.2304;2.304
106.0;0.2304;2.304
107.0;0.23050000000000004;2.305
108.0;0.23050000000000004;2.305
109.0;0.2304;2.304
110.0;0.2303;2.303
111.0;0.2304;2.304
112.0;0.23050000000000004;2.305
113.0;0.2578;2.578
114.0;0.2675;2.675
115.0;0.2675;2.675
116.0;0.2674;2.674
117.0;0.2674;2.674
118.0;0.2674;2.674
119.0;0.26730000000000004;2.673
120.0;0.26730000000000004;2.673
121.0;0.273;2.73
122.0;0.3032;3.032
123.0;0.3034;3.034
124.0;0.3034;3.034
125.0;0.3034;3.034
126.0;0.30350000000000005;3.035
127.0;0.30350000000000005;3.035
128.0;0.30350000000000005;3.035
129.0;0.3028;3.028
130.0;0.3125;3.125
131.0;0.33690000000000003;3.369
132.0;0.33690000000000003;3.369
133.0;0.33690000000000003;3.369
134.0;0.33690000000000003;3.369
135.0;0.3368;3.368
136.0;0.3368;3.368
137.0;0.3368;3.368
138.0;0.33690000000000003;3.369
139.0;0.33690000000000003;3.369
140.0;0.34830000000000005;3.483
141.0;0.36260000000000003;3.626
142.0;0.36260000000000003;3.626
143.0;0.36260000000000003;3.626
144.0;0.36250000000000004;3.625
145.0;0.36260000000000003;3.626
146.0;0.36260000000000003;3.626
147.0;0.36260000000000003;3.626
148.0;0.36260000000000003;3.626
