Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_633_measured_optical_power_vs_acquisition_duration.jpg;power_633_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.5144496124031009;0.5305268484471819;1.529;-0.002;297.5996021939605;-0.2619515389652882

Result table values
power_instruction;633_power;633_error
0.0;0.0;0.0
1.0;16.0;1.6
2.0;32.0;3.2
5.0;79.0;7.9
10.0;160.0;16.0
20.0;320.0;32.0
30.0;480.0;48.0
40.0;639.0;63.9
50.0;797.0;79.7
60.0;951.0;95.1
70.0;1105.0;110.5
80.0;1255.0;125.5
90.0;1403.0;140.3
100.0;1529.0;152.9
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;0.0013;0.013
8.0;0.0013;0.013
9.0;0.0013;0.013
10.0;0.0012000000000000001;0.012
11.0;0.0012000000000000001;0.012
12.0;0.0013;0.013
13.0;0.0013;0.013
14.0;0.0013;0.013
15.0;0.0;0.0
16.0;0.0;0.0
17.0;-0.0;-0.0
18.0;0.0;0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;0.0;0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;0.0;0.0
26.0;0.0014000000000000002;0.014
27.0;0.0016;0.016
28.0;0.0016;0.016
29.0;0.0016;0.016
30.0;0.0016;0.016
31.0;0.0017000000000000001;0.017
32.0;0.0016;0.016
33.0;0.0016;0.016
34.0;0.0016;0.016
35.0;0.0016;0.016
36.0;0.0016;0.016
37.0;0.0029000000000000002;0.029
38.0;0.0032;0.032
39.0;0.0032;0.032
40.0;0.0032;0.032
41.0;0.0032;0.032
42.0;0.0032;0.032
43.0;0.0032;0.032
44.0;0.005000000000000001;0.05
45.0;0.008;0.08
46.0;0.0079;0.079
47.0;0.0079;0.079
48.0;0.0079;0.079
49.0;0.0079;0.079
50.0;0.0079;0.079
51.0;0.0079;0.079
52.0;0.013400000000000002;0.134
53.0;0.016;0.16
54.0;0.016;0.16
55.0;0.016;0.16
56.0;0.016;0.16
57.0;0.016;0.16
58.0;0.016;0.16
59.0;0.017;0.17
60.0;0.032;0.32
61.0;0.032;0.32
62.0;0.032;0.32
63.0;0.032;0.32
64.0;0.032;0.32
65.0;0.032;0.32
66.0;0.032;0.32
67.0;0.0358;0.358
68.0;0.048;0.48
69.0;0.048;0.48
70.0;0.048;0.48
71.0;0.048;0.48
72.0;0.048;0.48
73.0;0.048;0.48
74.0;0.048;0.48
75.0;0.0499;0.499
76.0;0.0639;0.639
77.0;0.064;0.64
78.0;0.0639;0.639
79.0;0.064;0.64
80.0;0.064;0.64
81.0;0.064;0.64
82.0;0.064;0.64
83.0;0.07390000000000001;0.739
84.0;0.0796;0.796
85.0;0.07970000000000001;0.797
86.0;0.07970000000000001;0.797
87.0;0.07970000000000001;0.797
88.0;0.0796;0.796
89.0;0.0796;0.796
90.0;0.0796;0.796
91.0;0.08860000000000001;0.886
92.0;0.0951;0.951
93.0;0.0951;0.951
94.0;0.0951;0.951
95.0;0.095;0.95
96.0;0.095;0.95
97.0;0.095;0.95
98.0;0.0954;0.954
99.0;0.11030000000000001;1.103
100.0;0.11040000000000001;1.104
101.0;0.11040000000000001;1.104
102.0;0.1105;1.105
103.0;0.1105;1.105
104.0;0.1105;1.105
105.0;0.1105;1.105
106.0;0.11040000000000001;1.104
107.0;0.12030000000000002;1.203
108.0;0.1255;1.255
109.0;0.12560000000000002;1.256
110.0;0.1255;1.255
111.0;0.1255;1.255
112.0;0.1255;1.255
113.0;0.1255;1.255
114.0;0.1277;1.277
115.0;0.1402;1.402
116.0;0.1403;1.403
117.0;0.1403;1.403
118.0;0.1403;1.403
119.0;0.1402;1.402
120.0;0.1403;1.403
121.0;0.1402;1.402
122.0;0.1403;1.403
123.0;0.1505;1.505
124.0;0.15280000000000002;1.528
125.0;0.1529;1.529
126.0;0.1529;1.529
127.0;0.15280000000000002;1.528
128.0;0.15280000000000002;1.528
