Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_measured_optical_power_vs_acquisition_duration.jpg;power_meter_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.48190821256038646;0.5434863758055679;1.558;-0.003;323.92060548343443;-0.38585209003214604

Result table values
power_instruction;445_power;445_error
0.0;-3.0;-0.3
1.0;11.0;1.1
2.0;24.0;2.4
5.0;65.0;6.5
10.0;133.0;13.3
20.0;274.0;27.4
30.0;420.0;42.0
40.0;567.0;56.7
50.0;717.0;71.7
60.0;876.0;87.6
70.0;1036.0;103.6
80.0;1199.0;119.9
90.0;1374.0;137.4
100.0;1557.0;155.7
time;measured_optical_power_error;measured_optical_power_average
0.0;1.0E-4;0.001
1.0;2.0E-4;0.002
2.0;2.0E-4;0.002
3.0;-3.0000000000000003E-4;-0.003
4.0;-3.0000000000000003E-4;-0.003
5.0;-3.0000000000000003E-4;-0.003
6.0;-3.0000000000000003E-4;-0.003
7.0;-3.0000000000000003E-4;-0.003
8.0;-3.0000000000000003E-4;-0.003
9.0;-3.0000000000000003E-4;-0.003
10.0;-3.0000000000000003E-4;-0.003
11.0;-3.0000000000000003E-4;-0.003
12.0;-3.0000000000000003E-4;-0.003
13.0;-3.0000000000000003E-4;-0.003
14.0;-3.0000000000000003E-4;-0.003
15.0;-3.0000000000000003E-4;-0.003
16.0;-3.0000000000000003E-4;-0.003
17.0;-3.0000000000000003E-4;-0.003
18.0;-3.0000000000000003E-4;-0.003
19.0;-3.0000000000000003E-4;-0.003
20.0;-3.0000000000000003E-4;-0.003
21.0;-3.0000000000000003E-4;-0.003
22.0;-3.0000000000000003E-4;-0.003
23.0;-3.0000000000000003E-4;-0.003
24.0;-3.0000000000000003E-4;-0.003
25.0;-3.0000000000000003E-4;-0.003
26.0;-3.0000000000000003E-4;-0.003
27.0;-3.0000000000000003E-4;-0.003
28.0;-3.0000000000000003E-4;-0.003
29.0;-3.0000000000000003E-4;-0.003
30.0;-3.0000000000000003E-4;-0.003
31.0;-3.0000000000000003E-4;-0.003
32.0;-3.0000000000000003E-4;-0.003
33.0;-3.0000000000000003E-4;-0.003
34.0;-3.0000000000000003E-4;-0.003
35.0;-3.0000000000000003E-4;-0.003
36.0;-3.0000000000000003E-4;-0.003
37.0;-3.0000000000000003E-4;-0.003
38.0;-3.0000000000000003E-4;-0.003
39.0;-3.0000000000000003E-4;-0.003
40.0;-3.0000000000000003E-4;-0.003
41.0;-3.0000000000000003E-4;-0.003
42.0;-3.0000000000000003E-4;-0.003
43.0;-3.0000000000000003E-4;-0.003
44.0;-3.0000000000000003E-4;-0.003
45.0;-3.0000000000000003E-4;-0.003
46.0;-2.0E-4;-0.002
47.0;-3.0000000000000003E-4;-0.003
48.0;-3.0000000000000003E-4;-0.003
49.0;-3.0000000000000003E-4;-0.003
50.0;-2.0E-4;-0.002
51.0;-3.0000000000000003E-4;-0.003
52.0;-3.0000000000000003E-4;-0.003
53.0;-3.0000000000000003E-4;-0.003
54.0;-3.0000000000000003E-4;-0.003
55.0;7.000000000000001E-4;0.007
56.0;0.0011;0.011
57.0;0.0011;0.011
58.0;0.0011;0.011
59.0;0.0011;0.011
60.0;0.0011;0.011
61.0;0.0011;0.011
62.0;0.0011;0.011
63.0;0.0011;0.011
64.0;0.0011;0.011
65.0;0.0011;0.011
66.0;0.0011;0.011
67.0;0.0016;0.016
68.0;0.0024000000000000002;0.024
69.0;0.0024000000000000002;0.024
70.0;0.0024000000000000002;0.024
71.0;0.0024000000000000002;0.024
72.0;0.0024000000000000002;0.024
73.0;0.0025000000000000005;0.025
74.0;0.0024000000000000002;0.024
75.0;0.0024000000000000002;0.024
76.0;0.0024000000000000002;0.024
77.0;0.0039000000000000003;0.039
78.0;0.006500000000000001;0.065
79.0;0.006500000000000001;0.065
80.0;0.006500000000000001;0.065
81.0;0.006500000000000001;0.065
82.0;0.006500000000000001;0.065
83.0;0.006500000000000001;0.065
84.0;0.006500000000000001;0.065
85.0;0.0064;0.064
86.0;0.006500000000000001;0.065
87.0;0.006500000000000001;0.065
88.0;0.006900000000000001;0.069
89.0;0.013300000000000001;0.133
90.0;0.013300000000000001;0.133
91.0;0.013300000000000001;0.133
92.0;0.013300000000000001;0.133
93.0;0.013300000000000001;0.133
94.0;0.013300000000000001;0.133
95.0;0.013300000000000001;0.133
96.0;0.013300000000000001;0.133
97.0;0.013300000000000001;0.133
98.0;0.013400000000000002;0.134
99.0;0.013300000000000001;0.133
100.0;0.013300000000000001;0.133
101.0;0.013300000000000001;0.133
102.0;0.0216;0.216
103.0;0.027300000000000005;0.273
104.0;0.027300000000000005;0.273
105.0;0.027300000000000005;0.273
106.0;0.027400000000000004;0.274
107.0;0.027400000000000004;0.274
108.0;0.027400000000000004;0.274
109.0;0.027400000000000004;0.274
110.0;0.027400000000000004;0.274
111.0;0.027400000000000004;0.274
112.0;0.027400000000000004;0.274
113.0;0.027300000000000005;0.273
114.0;0.0335;0.335
115.0;0.042;0.42
116.0;0.0421;0.421
117.0;0.0421;0.421
118.0;0.042;0.42
119.0;0.042;0.42
120.0;0.042;0.42
121.0;0.042;0.42
122.0;0.042;0.42
123.0;0.042;0.42
124.0;0.05;0.5
125.0;0.0567;0.567
126.0;0.0567;0.567
127.0;0.0567;0.567
128.0;0.0567;0.567
129.0;0.0567;0.567
130.0;0.0567;0.567
131.0;0.0567;0.567
132.0;0.0567;0.567
133.0;0.0567;0.567
134.0;0.0703;0.703
135.0;0.0718;0.718
136.0;0.0717;0.717
137.0;0.0718;0.718
138.0;0.0718;0.718
139.0;0.0718;0.718
140.0;0.0718;0.718
141.0;0.0717;0.717
142.0;0.0717;0.717
143.0;0.07900000000000001;0.79
144.0;0.08750000000000001;0.875
145.0;0.08750000000000001;0.875
146.0;0.08760000000000001;0.876
147.0;0.08760000000000001;0.876
148.0;0.08750000000000001;0.875
149.0;0.08760000000000001;0.876
150.0;0.08760000000000001;0.876
151.0;0.08760000000000001;0.876
152.0;0.08760000000000001;0.876
153.0;0.08760000000000001;0.876
154.0;0.08760000000000001;0.876
155.0;0.08760000000000001;0.876
156.0;0.08850000000000001;0.885
157.0;0.1034;1.034
158.0;0.1035;1.035
159.0;0.10360000000000001;1.036
160.0;0.10360000000000001;1.036
161.0;0.10360000000000001;1.036
162.0;0.1035;1.035
163.0;0.10360000000000001;1.036
164.0;0.1035;1.035
165.0;0.10360000000000001;1.036
166.0;0.10360000000000001;1.036
167.0;0.1135;1.135
168.0;0.1198;1.198
169.0;0.1199;1.199
170.0;0.1199;1.199
171.0;0.1199;1.199
172.0;0.1199;1.199
173.0;0.12;1.2
174.0;0.12;1.2
175.0;0.12;1.2
176.0;0.12;1.2
177.0;0.12;1.2
178.0;0.13260000000000002;1.326
179.0;0.1373;1.373
180.0;0.13740000000000002;1.374
181.0;0.13740000000000002;1.374
182.0;0.13740000000000002;1.374
183.0;0.13740000000000002;1.374
184.0;0.13740000000000002;1.374
185.0;0.1373;1.373
186.0;0.13740000000000002;1.374
187.0;0.13740000000000002;1.374
188.0;0.13740000000000002;1.374
189.0;0.13740000000000002;1.374
190.0;0.13740000000000002;1.374
191.0;0.13740000000000002;1.374
192.0;0.13740000000000002;1.374
193.0;0.13740000000000002;1.374
194.0;0.1381;1.381
195.0;0.1553;1.553
196.0;0.1557;1.557
197.0;0.1557;1.557
198.0;0.1557;1.557
199.0;0.15580000000000002;1.558
200.0;0.15580000000000002;1.558
201.0;0.1557;1.557
202.0;0.1557;1.557
203.0;0.1557;1.557
204.0;0.15580000000000002;1.558
205.0;0.1557;1.557
206.0;0.1557;1.557
