Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
06-26_639_measured_optical_power_vs_acquisition_duration.jpg;06-26_639_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.0642712765957452;1.03023738117871;2.966;-0.0;278.6883443371;0.0

Result table values
power_instruction;639_power;639_error
0.0;0.0;0.0
1.0;29.0;2.9
5.0;147.0;14.7
10.0;293.0;29.3
20.0;587.0;58.7
30.0;882.0;88.2
40.0;1172.0;117.2
50.0;1464.0;146.4
60.0;1761.0;176.1
70.0;2056.0;205.6
80.0;2351.0;235.1
90.0;2655.0;265.5
100.0;2965.0;296.5
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;0.0;0.0
2.0;0.0;0.0
3.0;0.0;0.0
4.0;0.0;0.0
5.0;-0.0;-0.0
6.0;-0.0;-0.0
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;0.0;0.0
10.0;0.0;0.0
11.0;0.0;0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;-0.0;-0.0
17.0;0.0;0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;0.0;0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;0.0;0.0
24.0;-0.0;-0.0
25.0;0.0;0.0
26.0;-0.0;-0.0
27.0;0.0;0.0
28.0;0.0;0.0
29.0;0.0;0.0
30.0;0.0028000000000000004;0.028
31.0;0.0029000000000000002;0.029
32.0;0.0029000000000000002;0.029
33.0;0.0029000000000000002;0.029
34.0;0.0029000000000000002;0.029
35.0;0.0029000000000000002;0.029
36.0;0.0029000000000000002;0.029
37.0;0.003;0.03
38.0;0.0029000000000000002;0.029
39.0;0.0029000000000000002;0.029
40.0;0.0029000000000000002;0.029
41.0;0.0029000000000000002;0.029
42.0;0.0046;0.046
43.0;0.0059;0.059
44.0;0.0059;0.059
45.0;0.0059;0.059
46.0;0.0059;0.059
47.0;0.0059;0.059
48.0;0.0059;0.059
49.0;0.0059;0.059
50.0;0.0059;0.059
51.0;0.0059;0.059
52.0;0.0059;0.059
53.0;0.0059;0.059
54.0;0.0144;0.144
55.0;0.0147;0.147
56.0;0.0147;0.147
57.0;0.0147;0.147
58.0;0.0147;0.147
59.0;0.0147;0.147
60.0;0.0147;0.147
61.0;0.0147;0.147
62.0;0.0147;0.147
63.0;0.0147;0.147
64.0;0.0147;0.147
65.0;0.0147;0.147
66.0;0.0147;0.147
67.0;0.027900000000000005;0.279
68.0;0.0293;0.293
69.0;0.0293;0.293
70.0;0.0293;0.293
71.0;0.0293;0.293
72.0;0.0293;0.293
73.0;0.0293;0.293
74.0;0.0293;0.293
75.0;0.0293;0.293
76.0;0.0293;0.293
77.0;0.0293;0.293
78.0;0.0293;0.293
79.0;0.0292;0.292
80.0;0.0426;0.426
81.0;0.0587;0.587
82.0;0.0586;0.586
83.0;0.0587;0.587
84.0;0.0587;0.587
85.0;0.0587;0.587
86.0;0.0587;0.587
87.0;0.0587;0.587
88.0;0.0587;0.587
89.0;0.0587;0.587
90.0;0.0587;0.587
91.0;0.06680000000000001;0.668
92.0;0.08810000000000001;0.881
93.0;0.0882;0.882
94.0;0.0882;0.882
95.0;0.0882;0.882
96.0;0.0882;0.882
97.0;0.0882;0.882
98.0;0.0882;0.882
99.0;0.0882;0.882
100.0;0.0882;0.882
101.0;0.0882;0.882
102.0;0.0882;0.882
103.0;0.1059;1.059
104.0;0.1172;1.172
105.0;0.1172;1.172
106.0;0.1172;1.172
107.0;0.1172;1.172
108.0;0.1172;1.172
109.0;0.1172;1.172
110.0;0.1172;1.172
111.0;0.1172;1.172
112.0;0.1172;1.172
113.0;0.1307;1.307
114.0;0.1463;1.463
115.0;0.1464;1.464
116.0;0.1464;1.464
117.0;0.1464;1.464
118.0;0.1464;1.464
119.0;0.1464;1.464
120.0;0.1463;1.463
121.0;0.1463;1.463
122.0;0.1463;1.463
123.0;0.1463;1.463
124.0;0.1463;1.463
125.0;0.1466;1.466
126.0;0.1759;1.759
127.0;0.1761;1.761
128.0;0.1761;1.761
129.0;0.1761;1.761
130.0;0.1761;1.761
131.0;0.1761;1.761
132.0;0.17620000000000002;1.762
133.0;0.17620000000000002;1.762
134.0;0.1761;1.761
135.0;0.1761;1.761
136.0;0.1771;1.771
137.0;0.2056;2.056
138.0;0.2056;2.056
139.0;0.2056;2.056
140.0;0.2056;2.056
141.0;0.2056;2.056
142.0;0.2056;2.056
143.0;0.2056;2.056
144.0;0.2056;2.056
145.0;0.2056;2.056
146.0;0.2056;2.056
147.0;0.2057;2.057
148.0;0.2057;2.057
149.0;0.2057;2.057
150.0;0.2057;2.057
151.0;0.22440000000000004;2.244
152.0;0.2351;2.351
153.0;0.2351;2.351
154.0;0.2351;2.351
155.0;0.2351;2.351
156.0;0.2351;2.351
157.0;0.2351;2.351
158.0;0.2351;2.351
159.0;0.2351;2.351
160.0;0.2351;2.351
161.0;0.2351;2.351
162.0;0.2351;2.351
163.0;0.26280000000000003;2.628
164.0;0.2655;2.655
165.0;0.2655;2.655
166.0;0.2655;2.655
167.0;0.2655;2.655
168.0;0.2655;2.655
169.0;0.2655;2.655
170.0;0.2655;2.655
171.0;0.2656;2.656
172.0;0.2655;2.655
173.0;0.2656;2.656
174.0;0.2656;2.656
175.0;0.2655;2.655
176.0;0.2811;2.811
177.0;0.2965;2.965
178.0;0.2965;2.965
179.0;0.2965;2.965
180.0;0.2965;2.965
181.0;0.2965;2.965
182.0;0.2965;2.965
183.0;0.29660000000000003;2.966
184.0;0.29660000000000003;2.966
185.0;0.29660000000000003;2.966
186.0;0.29660000000000003;2.966
187.0;0.29660000000000003;2.966
