Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meeter_20250805_405nm_measured_optical_power_vs_acquisition_duration.jpg;power_meeter_20250805_405nm_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.0676585365853661;1.4466307730442793;4.248;0.0;397.88002010325755;0.0

Result table values
power_instruction;405_power;405_error
0.0;0.0;0.0
1.0;46.0;4.6
2.0;89.0;8.9
5.0;218.0;21.8
10.0;433.0;43.3
20.0;861.0;86.1
50.0;2137.0;213.7
75.0;3193.0;319.3
100.0;4248.0;424.8
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0026;0.026
1.0;0.0026;0.026
2.0;0.0026;0.026
3.0;0.0027;0.027
4.0;0.0026;0.026
5.0;0.0026;0.026
6.0;0.0026;0.026
7.0;0.0026;0.026
8.0;0.0026;0.026
9.0;0.0026;0.026
10.0;0.0;0.0
11.0;0.0;0.0
12.0;1.0E-4;0.001
13.0;0.0;0.0
14.0;1.0E-4;0.001
15.0;0.0;0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;1.0E-4;0.001
19.0;0.0;0.0
20.0;1.0E-4;0.001
21.0;1.0E-4;0.001
22.0;8.0E-4;0.008
23.0;0.001;0.01
24.0;0.001;0.01
25.0;0.001;0.01
26.0;0.0032;0.032
27.0;0.0045;0.045
28.0;0.0045;0.045
29.0;0.0046;0.046
30.0;0.0045;0.045
31.0;0.0045;0.045
32.0;0.0046;0.046
33.0;0.0045;0.045
34.0;0.0046;0.046
35.0;0.0045;0.045
36.0;0.0046;0.046
37.0;0.0045;0.045
38.0;0.0045;0.045
39.0;0.0045;0.045
40.0;0.007000000000000001;0.07
41.0;0.0089;0.089
42.0;0.0088;0.088
43.0;0.0088;0.088
44.0;0.0089;0.089
45.0;0.0089;0.089
46.0;0.0088;0.088
47.0;0.0089;0.089
48.0;0.0089;0.089
49.0;0.0088;0.088
50.0;0.0089;0.089
51.0;0.0089;0.089
52.0;0.016900000000000002;0.169
53.0;0.0218;0.218
54.0;0.021900000000000003;0.219
55.0;0.0218;0.218
56.0;0.021900000000000003;0.219
57.0;0.0218;0.218
58.0;0.0218;0.218
59.0;0.0218;0.218
60.0;0.0218;0.218
61.0;0.0218;0.218
62.0;0.0218;0.218
63.0;0.0218;0.218
64.0;0.0359;0.359
65.0;0.0434;0.434
66.0;0.0434;0.434
67.0;0.0434;0.434
68.0;0.043300000000000005;0.433
69.0;0.043300000000000005;0.433
70.0;0.0434;0.434
71.0;0.0434;0.434
72.0;0.0434;0.434
73.0;0.0434;0.434
74.0;0.0434;0.434
75.0;0.0434;0.434
76.0;0.0434;0.434
77.0;0.07880000000000001;0.788
78.0;0.08600000000000001;0.86
79.0;0.08610000000000001;0.861
80.0;0.08610000000000001;0.861
81.0;0.08610000000000001;0.861
82.0;0.08610000000000001;0.861
83.0;0.0862;0.862
84.0;0.08610000000000001;0.861
85.0;0.08610000000000001;0.861
86.0;0.08610000000000001;0.861
87.0;0.08910000000000001;0.891
88.0;0.21280000000000002;2.128
89.0;0.2134;2.134
90.0;0.2136;2.136
91.0;0.2137;2.137
92.0;0.2137;2.137
93.0;0.2137;2.137
94.0;0.2138;2.138
95.0;0.2138;2.138
96.0;0.21389999999999998;2.139
97.0;0.2138;2.138
98.0;0.2138;2.138
99.0;0.2311;2.311
100.0;0.3189;3.189
101.0;0.3191;3.191
102.0;0.31920000000000004;3.192
103.0;0.31930000000000003;3.193
104.0;0.31930000000000003;3.193
105.0;0.3194;3.194
106.0;0.3195;3.195
107.0;0.3194;3.194
108.0;0.3194;3.194
109.0;0.3194;3.194
110.0;0.3194;3.194
111.0;0.4152;4.152
112.0;0.4242;4.242
113.0;0.4244;4.244
114.0;0.42450000000000004;4.245
115.0;0.42450000000000004;4.245
116.0;0.42450000000000004;4.245
117.0;0.4247;4.247
118.0;0.42480000000000007;4.248
119.0;0.42480000000000007;4.248
120.0;0.4247;4.247
121.0;0.4247;4.247
122.0;0.4246000000000001;4.246
