Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_2025_08_05_445_measured_optical_power_vs_acquisition_duration.jpg;power_meter_2025_08_05_445_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.427217741935484;0.5724846014188724;1.625;-0.0;380.3680981595091;0.0

Result table values
power_instruction;445_power;445_error
0.0;-0.0;-0.0
1.0;14.0;1.4
2.0;28.0;2.8
5.0;71.0;7.1
10.0;143.0;14.3
20.0;291.0;29.1
50.0;756.0;75.6
75.0;1174.0;117.4
100.0;1625.0;162.5
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0017000000000000001;0.017
1.0;0.0018;0.018
2.0;0.0018;0.018
3.0;0.0018;0.018
4.0;0.0018;0.018
5.0;0.0017000000000000001;0.017
6.0;0.0018;0.018
7.0;0.0018;0.018
8.0;0.0018;0.018
9.0;0.0018;0.018
10.0;-0.0;-0.0
11.0;0.0;0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;0.0;0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;9.0E-4;0.009
24.0;0.0014000000000000002;0.014
25.0;0.0014000000000000002;0.014
26.0;0.0014000000000000002;0.014
27.0;0.0014000000000000002;0.014
28.0;0.0014000000000000002;0.014
29.0;0.0014000000000000002;0.014
30.0;0.0014000000000000002;0.014
31.0;0.0014000000000000002;0.014
32.0;0.0014000000000000002;0.014
33.0;0.0014000000000000002;0.014
34.0;0.0014000000000000002;0.014
35.0;0.0014000000000000002;0.014
36.0;0.0021000000000000003;0.021
37.0;0.0028000000000000004;0.028
38.0;0.0029000000000000002;0.029
39.0;0.0028000000000000004;0.028
40.0;0.0028000000000000004;0.028
41.0;0.0028000000000000004;0.028
42.0;0.0028000000000000004;0.028
43.0;0.0029000000000000002;0.029
44.0;0.0028000000000000004;0.028
45.0;0.0028000000000000004;0.028
46.0;0.0029000000000000002;0.029
47.0;0.0029000000000000002;0.029
48.0;0.0070999999999999995;0.071
49.0;0.0070999999999999995;0.071
50.0;0.0070999999999999995;0.071
51.0;0.0070999999999999995;0.071
52.0;0.0070999999999999995;0.071
53.0;0.0070999999999999995;0.071
54.0;0.0070999999999999995;0.071
55.0;0.0070999999999999995;0.071
56.0;0.0070999999999999995;0.071
57.0;0.0070999999999999995;0.071
58.0;0.0070999999999999995;0.071
59.0;0.012700000000000001;0.127
60.0;0.0143;0.143
61.0;0.0143;0.143
62.0;0.0143;0.143
63.0;0.0143;0.143
64.0;0.0144;0.144
65.0;0.0144;0.144
66.0;0.0143;0.143
67.0;0.0143;0.143
68.0;0.0143;0.143
69.0;0.0143;0.143
70.0;0.0241;0.241
71.0;0.0291;0.291
72.0;0.0291;0.291
73.0;0.0291;0.291
74.0;0.0291;0.291
75.0;0.0291;0.291
76.0;0.028999999999999998;0.29
77.0;0.0291;0.291
78.0;0.028999999999999998;0.29
79.0;0.0291;0.291
80.0;0.0291;0.291
81.0;0.0497;0.497
82.0;0.07550000000000001;0.755
83.0;0.0756;0.756
84.0;0.0756;0.756
85.0;0.0756;0.756
86.0;0.0756;0.756
87.0;0.0756;0.756
88.0;0.0756;0.756
89.0;0.0756;0.756
90.0;0.07550000000000001;0.755
91.0;0.07550000000000001;0.755
92.0;0.07550000000000001;0.755
93.0;0.09260000000000002;0.926
94.0;0.11730000000000002;1.173
95.0;0.1174;1.174
96.0;0.1174;1.174
97.0;0.1174;1.174
98.0;0.1174;1.174
99.0;0.11750000000000001;1.175
100.0;0.11750000000000001;1.175
101.0;0.11750000000000001;1.175
102.0;0.11750000000000001;1.175
103.0;0.11750000000000001;1.175
104.0;0.1534;1.534
105.0;0.16240000000000002;1.624
106.0;0.1625;1.625
107.0;0.1625;1.625
108.0;0.1625;1.625
109.0;0.1625;1.625
110.0;0.1625;1.625
111.0;0.1625;1.625
112.0;0.1625;1.625
113.0;0.1625;1.625
114.0;0.1625;1.625
115.0;0.1625;1.625
116.0;0.16240000000000002;1.624
117.0;0.16240000000000002;1.624
118.0;0.16240000000000002;1.624
119.0;0.10389999999999999;1.039
120.0;0.0;0.0
121.0;0.0;0.0
122.0;-0.0;-0.0
123.0;-0.0;-0.0
