Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_514_measured_optical_power_vs_acquisition_duration.jpg;power_meter_514_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.7449322033898302;1.0379424232062364;3.088;-0.002;414.80284862688006;-0.12961762799739152

Result table values
power_instruction;514_power;514_error
0.0;-0.0;-0.0
1.0;29.0;2.9
2.0;58.0;5.8
5.0;144.0;14.4
10.0;288.0;28.8
20.0;585.0;58.5
50.0;1487.0;148.7
75.0;2279.0;227.9
100.0;3086.0;308.6
time;measured_optical_power_error;measured_optical_power_average
0.0;-2.0E-4;-0.002
1.0;-2.0E-4;-0.002
2.0;-2.0E-4;-0.002
3.0;-2.0E-4;-0.002
4.0;2.0E-4;0.002
5.0;0.0012000000000000001;0.012
6.0;0.0012000000000000001;0.012
7.0;0.0012000000000000001;0.012
8.0;0.0012000000000000001;0.012
9.0;0.0012000000000000001;0.012
10.0;0.0012000000000000001;0.012
11.0;0.0012000000000000001;0.012
12.0;0.0012000000000000001;0.012
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;-0.0;-0.0
17.0;-0.0;-0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;-0.0;-0.0
24.0;-0.0;-0.0
25.0;-0.0;-0.0
26.0;-0.0;-0.0
27.0;-0.0;-0.0
28.0;4.0E-4;0.004
29.0;0.0029000000000000002;0.029
30.0;0.0029000000000000002;0.029
31.0;0.0029000000000000002;0.029
32.0;0.0029000000000000002;0.029
33.0;0.0029000000000000002;0.029
34.0;0.0029000000000000002;0.029
35.0;0.0029000000000000002;0.029
36.0;0.0029000000000000002;0.029
37.0;0.0029000000000000002;0.029
38.0;0.0029000000000000002;0.029
39.0;0.0029000000000000002;0.029
40.0;0.0031000000000000003;0.031
41.0;0.0058000000000000005;0.058
42.0;0.0058000000000000005;0.058
43.0;0.0058000000000000005;0.058
44.0;0.0058000000000000005;0.058
45.0;0.0058000000000000005;0.058
46.0;0.0057;0.057
47.0;0.0057;0.057
48.0;0.0057;0.057
49.0;0.0058000000000000005;0.058
50.0;0.0058000000000000005;0.058
51.0;0.0057;0.057
52.0;0.0121;0.121
53.0;0.0144;0.144
54.0;0.0144;0.144
55.0;0.0144;0.144
56.0;0.0144;0.144
57.0;0.0144;0.144
58.0;0.0144;0.144
59.0;0.0144;0.144
60.0;0.0144;0.144
61.0;0.0144;0.144
62.0;0.0144;0.144
63.0;0.0251;0.251
64.0;0.0288;0.288
65.0;0.0288;0.288
66.0;0.0288;0.288
67.0;0.0288;0.288
68.0;0.0288;0.288
69.0;0.0288;0.288
70.0;0.0288;0.288
71.0;0.0288;0.288
72.0;0.0288;0.288
73.0;0.031100000000000003;0.311
74.0;0.0584;0.584
75.0;0.058499999999999996;0.585
76.0;0.058499999999999996;0.585
77.0;0.058499999999999996;0.585
78.0;0.058499999999999996;0.585
79.0;0.058499999999999996;0.585
80.0;0.058499999999999996;0.585
81.0;0.058499999999999996;0.585
82.0;0.058499999999999996;0.585
83.0;0.058499999999999996;0.585
84.0;0.0705;0.705
85.0;0.14850000000000002;1.485
86.0;0.14870000000000003;1.487
87.0;0.14870000000000003;1.487
88.0;0.14870000000000003;1.487
89.0;0.14870000000000003;1.487
90.0;0.14870000000000003;1.487
91.0;0.14870000000000003;1.487
92.0;0.14870000000000003;1.487
93.0;0.14870000000000003;1.487
94.0;0.14870000000000003;1.487
95.0;0.2171;2.171
96.0;0.2279;2.279
97.0;0.2279;2.279
98.0;0.2279;2.279
99.0;0.2279;2.279
100.0;0.2279;2.279
101.0;0.2279;2.279
102.0;0.2279;2.279
103.0;0.2279;2.279
104.0;0.2279;2.279
105.0;0.2279;2.279
106.0;0.2279;2.279
107.0;0.2586;2.586
108.0;0.30820000000000003;3.082
109.0;0.3084;3.084
110.0;0.3085;3.085
111.0;0.3086;3.086
112.0;0.3086;3.086
113.0;0.30870000000000003;3.087
114.0;0.30870000000000003;3.087
115.0;0.3088;3.088
116.0;0.3088;3.088
117.0;0.3088;3.088
