Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_2025_08_05_594_measured_optical_power_vs_acquisition_duration.jpg;power_meter_2025_08_05_594_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.34447887323943666;0.46419880745435216;1.385;-0.001;402.34688036634225;-0.14450867052020477

Result table values
power_instruction;594_power;594_error
0.0;0.0;0.0
1.0;14.0;1.4
2.0;28.0;2.8
5.0;69.0;6.9
10.0;137.0;13.7
20.0;275.0;27.5
50.0;686.0;68.6
75.0;1036.0;103.6
100.0;1385.0;138.5
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;0.0;0.0
8.0;9.0E-4;0.009
9.0;9.0E-4;0.009
10.0;9.0E-4;0.009
11.0;9.0E-4;0.009
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;-0.0;-0.0
16.0;0.0;0.0
17.0;0.0;0.0
18.0;-0.0;-0.0
19.0;-0.0;-0.0
20.0;0.0;0.0
21.0;-0.0;-0.0
22.0;-0.0;-0.0
23.0;0.0;0.0
24.0;0.0;0.0
25.0;0.0;0.0
26.0;0.0;0.0
27.0;0.0;0.0
28.0;0.0;0.0
29.0;0.0;0.0
30.0;-0.0;-0.0
31.0;0.0;0.0
32.0;-0.0;-0.0
33.0;-0.0;-0.0
34.0;-0.0;-0.0
35.0;-0.0;-0.0
36.0;-0.0;-0.0
37.0;0.0;0.0
38.0;-0.0;-0.0
39.0;0.0013;0.013
40.0;0.0014000000000000002;0.014
41.0;0.0014000000000000002;0.014
42.0;0.0014000000000000002;0.014
43.0;0.0014000000000000002;0.014
44.0;0.0014000000000000002;0.014
45.0;0.0014000000000000002;0.014
46.0;0.0014000000000000002;0.014
47.0;0.0014000000000000002;0.014
48.0;0.0014000000000000002;0.014
49.0;0.0014000000000000002;0.014
50.0;0.0482;0.482
51.0;0.0713;0.713
52.0;0.0714;0.714
53.0;0.0714;0.714
54.0;0.044700000000000004;0.447
55.0;0.0028000000000000004;0.028
56.0;0.0028000000000000004;0.028
57.0;0.0028000000000000004;0.028
58.0;0.0028000000000000004;0.028
59.0;0.0028000000000000004;0.028
60.0;0.0028000000000000004;0.028
61.0;0.0028000000000000004;0.028
62.0;0.0028000000000000004;0.028
63.0;0.0028000000000000004;0.028
64.0;0.0028000000000000004;0.028
65.0;0.0028000000000000004;0.028
66.0;0.0047;0.047
67.0;0.006900000000000001;0.069
68.0;0.0068000000000000005;0.068
69.0;0.006900000000000001;0.069
70.0;0.006900000000000001;0.069
71.0;0.006900000000000001;0.069
72.0;0.006900000000000001;0.069
73.0;0.006900000000000001;0.069
74.0;0.006900000000000001;0.069
75.0;0.006900000000000001;0.069
76.0;0.006900000000000001;0.069
77.0;0.006900000000000001;0.069
78.0;0.006900000000000001;0.069
79.0;0.0094;0.094
80.0;0.013700000000000002;0.137
81.0;0.013700000000000002;0.137
82.0;0.013700000000000002;0.137
83.0;0.013700000000000002;0.137
84.0;0.013700000000000002;0.137
85.0;0.013700000000000002;0.137
86.0;0.013700000000000002;0.137
87.0;0.013700000000000002;0.137
88.0;0.013700000000000002;0.137
89.0;0.013700000000000002;0.137
90.0;0.013700000000000002;0.137
91.0;0.013700000000000002;0.137
92.0;0.053500000000000006;0.535
93.0;0.1384;1.384
94.0;0.1384;1.384
95.0;0.1384;1.384
96.0;0.0623;0.623
97.0;0.027500000000000004;0.275
98.0;0.027500000000000004;0.275
99.0;0.027500000000000004;0.275
100.0;0.027500000000000004;0.275
101.0;0.027500000000000004;0.275
102.0;0.027500000000000004;0.275
103.0;0.027500000000000004;0.275
104.0;0.027500000000000004;0.275
105.0;0.027500000000000004;0.275
106.0;0.027500000000000004;0.275
107.0;0.027500000000000004;0.275
108.0;0.0605;0.605
109.0;0.06860000000000001;0.686
110.0;0.06860000000000001;0.686
111.0;0.06860000000000001;0.686
112.0;0.06860000000000001;0.686
113.0;0.06860000000000001;0.686
114.0;0.06860000000000001;0.686
115.0;0.06860000000000001;0.686
116.0;0.06860000000000001;0.686
117.0;0.06860000000000001;0.686
118.0;0.06860000000000001;0.686
119.0;0.06860000000000001;0.686
120.0;0.0878;0.878
121.0;0.10360000000000001;1.036
122.0;0.10360000000000001;1.036
123.0;0.10360000000000001;1.036
124.0;0.10360000000000001;1.036
125.0;0.10360000000000001;1.036
126.0;0.10360000000000001;1.036
127.0;0.10360000000000001;1.036
128.0;0.10360000000000001;1.036
129.0;0.10360000000000001;1.036
130.0;0.10360000000000001;1.036
131.0;0.11699999999999999;1.17
132.0;0.1385;1.385
133.0;0.1385;1.385
134.0;0.1385;1.385
135.0;0.1385;1.385
136.0;0.1385;1.385
137.0;0.1385;1.385
138.0;0.1385;1.385
139.0;0.1385;1.385
140.0;0.1385;1.385
141.0;0.1385;1.385
