Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
power_meter_2025_08_05_639_measured_optical_power_vs_acquisition_duration.jpg;power_meter_2025_08_05_639_measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.6926534653465348;1.0879638399061966;3.446;0.0;497.50707567397575;0.0

Result table values
power_instruction;639_power;639_error
0.0;0.0;0.0
1.0;34.0;3.4
2.0;68.0;6.8
5.0;170.0;17.0
10.0;339.0;33.9
20.0;681.0;68.1
50.0;1699.0;169.9
100.0;3444.0;344.4
time;measured_optical_power_error;measured_optical_power_average
0.0;0.0;0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-0.0;-0.0
4.0;-0.0;-0.0
5.0;0.0;0.0
6.0;0.0;0.0
7.0;2.0E-4;0.002
8.0;8.0E-4;0.008
9.0;8.0E-4;0.008
10.0;8.0E-4;0.008
11.0;8.0E-4;0.008
12.0;8.0E-4;0.008
13.0;-0.0;-0.0
14.0;0.0;0.0
15.0;0.0;0.0
16.0;-0.0;-0.0
17.0;0.0;0.0
18.0;0.0;0.0
19.0;-0.0;-0.0
20.0;-0.0;-0.0
21.0;0.0;0.0
22.0;0.0;0.0
23.0;-0.0;-0.0
24.0;0.0023;0.023
25.0;0.0034000000000000002;0.034
26.0;0.0034000000000000002;0.034
27.0;0.0034000000000000002;0.034
28.0;0.0034000000000000002;0.034
29.0;0.0034000000000000002;0.034
30.0;0.0034000000000000002;0.034
31.0;0.0034000000000000002;0.034
32.0;0.0034000000000000002;0.034
33.0;0.0053;0.053
34.0;0.0068000000000000005;0.068
35.0;0.0068000000000000005;0.068
36.0;0.0068000000000000005;0.068
37.0;0.0068000000000000005;0.068
38.0;0.0068000000000000005;0.068
39.0;0.0068000000000000005;0.068
40.0;0.0068000000000000005;0.068
41.0;0.0068000000000000005;0.068
42.0;0.0068000000000000005;0.068
43.0;0.0068000000000000005;0.068
44.0;0.0068000000000000005;0.068
45.0;0.0087;0.087
46.0;0.017;0.17
47.0;0.017;0.17
48.0;0.017;0.17
49.0;0.017;0.17
50.0;0.017;0.17
51.0;0.017;0.17
52.0;0.017;0.17
53.0;0.017;0.17
54.0;0.017;0.17
55.0;0.017;0.17
56.0;0.017;0.17
57.0;0.020300000000000002;0.203
58.0;0.033900000000000007;0.339
59.0;0.033900000000000007;0.339
60.0;0.033900000000000007;0.339
61.0;0.033900000000000007;0.339
62.0;0.033900000000000007;0.339
63.0;0.033900000000000007;0.339
64.0;0.033900000000000007;0.339
65.0;0.033900000000000007;0.339
66.0;0.033900000000000007;0.339
67.0;0.033900000000000007;0.339
68.0;0.05330000000000001;0.533
69.0;0.068;0.68
70.0;0.068;0.68
71.0;0.06810000000000001;0.681
72.0;0.06810000000000001;0.681
73.0;0.06810000000000001;0.681
74.0;0.06810000000000001;0.681
75.0;0.06810000000000001;0.681
76.0;0.06810000000000001;0.681
77.0;0.06810000000000001;0.681
78.0;0.06810000000000001;0.681
79.0;0.11910000000000001;1.191
80.0;0.1698;1.698
81.0;0.1698;1.698
82.0;0.1698;1.698
83.0;0.1698;1.698
84.0;0.16990000000000002;1.699
85.0;0.16990000000000002;1.699
86.0;0.17;1.7
87.0;0.17;1.7
88.0;0.16990000000000002;1.699
89.0;0.1698;1.698
90.0;0.3326;3.326
91.0;0.34340000000000004;3.434
92.0;0.34380000000000005;3.438
93.0;0.3441;3.441
94.0;0.34440000000000004;3.444
95.0;0.3446;3.446
96.0;0.3446;3.446
97.0;0.34450000000000003;3.445
98.0;0.34440000000000004;3.444
99.0;0.34440000000000004;3.444
100.0;0.34430000000000005;3.443
